County/City,Ward,Pct,"Mark Robert Warner","Daniel Mac Arthur Gade","All Others","Total Votes Cast"
"Chesapeake City",-,"54 - Pughsville (CD 3)",320,161,1,482
"Chesapeake City",-,"55 - Georgetown East (CD 3)",110,70,0,180
"Chesapeake City",-,"56 - Green Tree (CD 3)",190,243,2,435
"Chesapeake City",-,"57 - Cypress (CD 3)",265,240,2,507
"Chesapeake City",-,"58 - Expressway (CD 4)",139,78,0,217
"Chesapeake City",-,"59 - Clearfield (CD 4)",190,382,1,573
"Chesapeake City",-,"60 - Parker Road (CD 4)",100,399,1,500
"Chesapeake City",-,"61 - Centerville (CD 4)",164,733,0,897
"Chesapeake City",-,"62 - Fentress (CD 4)",191,695,1,887
"Chesapeake City",-,"63 - Poplar Branch (CD 4)",65,358,1,424
"Chesapeake City",-,"64 - Deep Creek Ii (CD 4)",188,310,0,498
"Chesapeake City",-,"65 - Waterway Ii (CD 4)",165,322,0,487
"Chesapeake City",-,"AB - Central Absentee Precinct (CD 3)","27,875","11,892",33,"39,800"
"Chesapeake City",-,"Ab - Central Absentee Precinct (CD 4)","26,543","23,854",47,"50,444"
"Chesapeake City",-,"Provisional (CD 3)",184,84,2,270
"Chesapeake City",-,"Provisional (CD 4)",155,148,1,304
"Chesterfield County",-,"101 - Bellwood (CD 4)",343,426,2,771
"Chesterfield County",-,"102 - South Chester (CD 4)",462,586,1,"1,049"
"Chesterfield County",-,"103 - Enon (CD 4)",454,958,0,"1,412"
"Chesterfield County",-,"104 - North Chester (CD 4)",322,757,2,"1,081"
"Chesterfield County",-,"105 - Drewrys Bluff (CD 7)",423,341,0,764
"Chesterfield County",-,"106 - Harrowgate (CD 4)",531,694,3,"1,228"
"Chesterfield County",-,"107 - Wells (CD 4)",430,521,3,954
"Chesterfield County",-,"108 - Ecoff (CD 4)",303,578,0,881
"Chesterfield County",-,"109 - Elizabeth Scott (CD 4)",517,793,0,"1,310"
"Chesterfield County",-,"110 - Dutch Gap (CD 4)",232,486,2,720
"Chesterfield County",-,"111 - Iron Bridge (CD 4)",131,309,0,440
"Chesterfield County",-,"112 - Carver (CD 4)",278,379,2,659
"Chesterfield County",-,"113 - Iron Bridge North (CD 4)",236,287,2,525
"Chesterfield County",-,"201 - Gates (CD 4)",250,407,1,658
"Chesterfield County",-,"202 - Beulah (CD 7)",424,329,1,754
"Chesterfield County",-,"203 - Bird (CD 4)",121,198,0,319
"Chesterfield County",-,"204 - Jacobs (CD 7)",198,337,2,537
"Chesterfield County",-,"205 - Falling Creek (CD 7)",357,186,1,544
"Chesterfield County",-,"206 - Belmont (CD 7)",398,95,1,494
"Chesterfield County",-,"207 - Chippenham (CD 7)",199,101,1,301
"Chesterfield County",-,"208 - Meadowbrook (CD 7)",339,189,0,528
"Chesterfield County",-,"209 - Salem Church (CD 4)",434,611,3,"1,048"
"Chesterfield County",-,"210 - Five Forks (CD 7)",460,388,2,850
"Chesterfield County",-,"211 - Nash (CD 4)",178,623,0,801
"Chesterfield County",-,"212 - St. Luke's (CD 7)",172,280,1,453
"Chesterfield County",-,"213 - Southside (CD 7)",244,110,2,356
"Chesterfield County",-,"214 - Hopkins (CD 7)",110,16,0,126
"Chesterfield County",-,"215 - North Bird (CD 7)",186,138,0,324
"Chesterfield County",-,"216 - Ridgedale (CD 7)",357,146,0,503
"Chesterfield County",-,"301 - Ettrick (CD 4)",454,162,0,616
"Chesterfield County",-,"302 - Deer Run (CD 7)",142,317,0,459
"Chesterfield County",-,"303 - Matoaca (CD 4)",275,545,2,822
"Chesterfield County",-,"304 - Winfrees Store (CD 4)",117,689,2,808
"Chesterfield County",-,"305 - Beach (CD 4)",81,348,1,430
"Chesterfield County",-,"306 - Winterpock (CD 7)",175,916,2,"1,093"
"Chesterfield County",-,"307 - Cosby (CD 7)",465,982,2,"1,449"
"Chesterfield County",-,"308 - South Manchester (CD 7)",113,146,0,259
"Chesterfield County",-,"309 - Skinquarter (CD 7)",155,542,2,699
"Chesterfield County",-,"310 - Tomahawk (CD 7)",293,670,0,963
"Chesterfield County",-,"313 - Woolridge (CD 7)",337,832,2,"1,171"
"Chesterfield County",-,"314 - Longhouse (CD 4)",67,372,3,442
"Chesterfield County",-,"315 - Bailey Bridge (CD 7)",193,746,1,940
"Chesterfield County",-,"316 - Spring Run (CD 7)",374,801,0,"1,175"
"Chesterfield County",-,"317 - Birkdale (CD 7)",275,659,0,934
"Chesterfield County",-,"318 - West Beach (CD 7)",92,284,1,377
"Chesterfield County",-,"319 - Magnolia (CD 7)",296,860,2,"1,158"
"Chesterfield County",-,"401 - Harbour Pointe (CD 7)",174,397,0,571
"Chesterfield County",-,"402 - Genito (CD 7)",130,183,1,314
"Chesterfield County",-,"403 - Brandermill (CD 7)",301,531,3,835
"Chesterfield County",-,"404 - Providence (CD 7)",313,369,1,683
"Chesterfield County",-,"405 - La Prade (CD 7)",168,308,0,476
"Chesterfield County",-,"406 - Smoketree (CD 7)",197,424,0,621
"Chesterfield County",-,"407 - Monacan (CD 7)",131,296,0,427
"Chesterfield County",-,"408 - Reams (CD 7)",362,377,1,740
"Chesterfield County",-,"409 - Manchester (CD 7)",298,304,1,603
"Chesterfield County",-,"410 - Wagstaff (CD 7)",215,313,2,530
"Chesterfield County",-,"411 - Swift Creek (CD 7)",291,557,1,849
"Chesterfield County",-,"412 - Clover Hill (CD 7)",268,492,3,763
"Chesterfield County",-,"413 - Shenandoah (CD 7)",345,442,1,788
"Chesterfield County",-,"414 - Crenshaw (CD 7)",478,807,3,"1,288"
"Chesterfield County",-,"415 - Evergreen (CD 7)",253,447,3,703
"Chesterfield County",-,"416 - Evergreen West (CD 7)",214,311,1,526
"Chesterfield County",-,"417 - Edgewater (CD 7)",155,295,1,451
"Chesterfield County",-,"501 - Huguenot (CD 7)",352,404,3,759
"Chesterfield County",-,"502 - Crestwood (CD 7)",189,269,1,459
"Chesterfield County",-,"503 - Midlothian (CD 7)",228,440,0,668
"Chesterfield County",-,"504 - Robious (CD 7)",256,730,1,987
"Chesterfield County",-,"505 - Bon Air (CD 7)",254,441,2,697
"Chesterfield County",-,"506 - Greenfield (CD 7)",425,487,4,916
"Chesterfield County",-,"507 - Salisbury (CD 7)",279,876,1,"1,156"
"Chesterfield County",-,"508 - Belgrade (CD 7)",275,403,2,680
"Chesterfield County",-,"509 - Cranbeck (CD 7)",333,326,0,659
"Chesterfield County",-,"510 - Sycamore (CD 7)",222,428,0,650
"Chesterfield County",-,"511 - Black Heath (CD 7)",211,498,0,709
"Chesterfield County",-,"513 - Beaufont (CD 7)",281,160,0,441
"Chesterfield County",-,"514 - Watkins (CD 7)",275,573,1,849
"Chesterfield County",-,"515 - Davis (CD 7)",487,190,0,677
"Chesterfield County",-,"516 - Pocoshock (CD 7)",222,149,1,372
"Chesterfield County",-,"517 - Roseland (CD 7)",217,498,0,715
"Chesterfield County",-,"518 - Midlothian North (CD 7)",225,599,2,826
"Chesterfield County",-,"Ab - Central Absentee Precinct (CD 4)","21,206","16,896",24,"38,126"
"Chesterfield County",-,"Ab - Central Absentee Precinct (CD 7)","63,928","40,065",79,"104,072"
"Chesterfield County",-,"Provisional (CD 4)",113,61,0,174
"Chesterfield County",-,"Provisional (CD 7)",304,172,0,476
"Clarke County",-,"101 - Russell",124,543,0,667
"Clarke County",-,"201 - Berryville",177,346,1,524
"Clarke County",-,"301 - Millwood",106,374,1,481
"Clarke County",-,"302 - Pine Grove",84,198,1,283
"Clarke County",-,"401 - White Post",216,567,0,783
"Clarke County",-,"501 - Buckmarsh",103,373,0,476
"Clarke County",-,"502 - Blue Ridge",76,220,0,296
"Clarke County",-,"Ab - Central Absentee Precinct","3,159","2,586",5,"5,750"
"Clarke County",-,Provisional,7,7,0,14
"Colonial Heights City",-,"1 - First",205,417,1,623
"Colonial Heights City",-,"2 - Second",192,423,0,615
"Colonial Heights City",-,"3 - Third",199,451,0,650
"Colonial Heights City",-,"4 - Fourth",211,460,0,671
"Colonial Heights City",-,"5 - Fifth",153,565,1,719
"Colonial Heights City",-,"Ab - Central Absentee Precinct","2,173","3,467",7,"5,647"
"Colonial Heights City",-,Provisional,10,5,0,15
"Covington City",-,"101 - Precinct 1-1",108,147,1,256
"Covington City",-,"201 - Precinct 2-1",89,154,1,244
"Covington City",-,"301 - Precinct 3-1",113,110,0,223
"Covington City",-,"401 - Precinct 4-1",114,248,0,362
"Covington City",-,"501 - Precinct 5-1",107,268,0,375
"Covington City",-,"Ab - Central Absentee Precinct",626,459,0,"1,085"
"Covington City",-,Provisional,0,0,0,0
"Craig County",-,"101 - Court House",61,280,1,342
"Craig County",-,"201 - Ammendale Precinct",65,361,0,426
"Craig County",-,"301 - Givens & Reynolds Store",66,228,2,296
"Craig County",-,"303 - Marshalls Store",48,146,1,195
"Craig County",-,"401 - Barbours Creek",44,150,0,194
"Craig County",-,"402 - Paint Bank",12,31,0,43
"Craig County",-,"403 - Craig Springs",36,154,0,190
"Craig County",-,"501 - Craig City",52,287,0,339
"Craig County",-,"AB - Central Absentee Precinct",371,736,0,"1,107"
"Craig County",-,Provisional,2,8,1,11
"Culpeper County",-,"101 - West Fairfax",414,721,0,"1,135"
"Culpeper County",-,"201 - East Fairfax",435,547,1,983
"Culpeper County",-,"302 - Eggbornsville",132,662,1,795
"Culpeper County",-,"303 - Cardova",149,554,0,703
"Culpeper County",-,"304 - Willow Shade",112,190,1,303
"Culpeper County",-,"401 - Eldorado",175,703,0,878
"Culpeper County",-,"402 - Browns Store",213,954,1,"1,168"
"Culpeper County",-,"501 - Jeffersonton",230,919,1,"1,150"
"Culpeper County",-,"502 - Rixeyville",198,825,2,"1,025"
"Culpeper County",-,"601 - Mitchells",64,164,0,228
"Culpeper County",-,"602 - Pearl Sample",204,657,1,862
"Culpeper County",-,"603 - South Ridge",126,202,0,328
"Culpeper County",-,"702 - Brandy Station",240,917,2,"1,159"
"Culpeper County",-,"703 - Lignum",141,500,0,641
"Culpeper County",-,"704 - Richardsville",91,328,3,422
"Culpeper County",-,"Ab - Central Absentee Precinct","8,141","6,698",3,"14,842"
"Culpeper County",-,Provisional,58,49,0,107
"Cumberland County",-,"101 - Precinct 1",205,539,0,744
"Cumberland County",-,"201 - Precinct 2",134,424,0,558
"Cumberland County",-,"301 - Precinct 3",176,221,0,397
"Cumberland County",-,"401 - Precinct 4",153,414,2,569
"Cumberland County",-,"501 - Precinct 5",204,322,1,527
"Cumberland County",-,"Ab - Central Absentee Precinct","1,441","1,019",0,"2,460"
"Cumberland County",-,Provisional,4,8,0,12
"Danville City",-,"1 - Ward One",180,45,0,225
"Danville City",-,"2 - Ward Two",143,83,0,226
"Danville City",-,"3 - Ward Three",267,107,0,374
"Danville City",-,"4 - Ward Four",463,364,0,827
"Danville City",-,"6 - Ward Six",210,31,1,242
"Danville City",-,"7 - Ward Seven",358,70,0,428
"Danville City",-,"8 - Ward Eight",299,111,0,410
"Danville City",-,"9 - Ward Nine",232,162,0,394
"Danville City",-,"10 - Ward Ten",298,191,1,490
"Danville City",-,"11 - Ward Eleven",405,151,1,557
"Danville City",-,"12 - Ward Twelve",382,231,1,614
"Danville City",-,"13 - Ward Thirteen",388,213,0,601
"Danville City",-,"14 - Ward Fourteen",84,5,0,89
"Danville City",-,"15 - Ward Fifteen",305,302,0,607
"Danville City",-,"16 - Ward Sixteen",303,439,0,742
"Danville City",-,"17 - Ward Seventeen",170,344,0,514
"Danville City",-,"Ab - Central Absentee Precinct","7,923","3,806",10,"11,739"
"Danville City",-,Provisional,109,25,0,134
"Dickenson County",-,"101 - South Clintwood",100,418,0,518
"Dickenson County",-,"201 - Nora",67,239,0,306
"Dickenson County",-,"202 - Frying Pan",32,112,0,144
"Dickenson County",-,"203 - Clinchco",84,277,1,362
"Dickenson County",-,"301 - West Dante",23,175,0,198
"Dickenson County",-,"302 - Herald",34,312,1,347
"Dickenson County",-,"303 - Ridge",69,306,0,375
"Dickenson County",-,"401 - Haysi-colley",238,583,1,822
"Dickenson County",-,"501 - Tarpon",52,119,0,171
"Dickenson County",-,"502 - North Clintwood",84,398,2,484
"Dickenson County",-,"Ab - Central Absentee Precinct","1,269","2,202",3,"3,474"
"Dickenson County",-,Provisional,0,1,0,1
"Dinwiddie County",-,"101 - White Oak",52,362,0,414
"Dinwiddie County",-,"102 - Rocky Run",81,385,0,466
"Dinwiddie County",-,"103 - Church Road",79,635,0,714
"Dinwiddie County",-,"201 - Rohoic",188,201,1,390
"Dinwiddie County",-,"202 - Sutherland",239,647,1,887
"Dinwiddie County",-,"301 - Reams",96,326,0,422
"Dinwiddie County",-,"302 - New Hope",135,371,1,507
"Dinwiddie County",-,"303 - Little Zion",234,324,1,559
"Dinwiddie County",-,"401 - Dinwiddie",145,413,1,559
"Dinwiddie County",-,"402 - Mckenney",161,303,0,464
"Dinwiddie County",-,"403 - Cherry Hill",118,192,0,310
"Dinwiddie County",-,"501 - Edgehill",72,44,0,116
"Dinwiddie County",-,"502 - Chesdin",490,366,0,856
"Dinwiddie County",-,"Ab - Central Absentee Precinct","4,344","3,841",8,"8,193"
"Dinwiddie County",-,Provisional,11,4,0,15
"Emporia City",-,"101 - Precinct 1-1",163,63,1,227
"Emporia City",-,"201 - Precinct 2-1",113,9,0,122
"Emporia City",-,"301 - Precinct 3-1",99,103,0,202
"Emporia City",-,"401 - Precinct 4-1",118,114,0,232
"Emporia City",-,"501 - Precinct 5-1",117,7,0,124
"Emporia City",-,"601 - District 6",82,133,0,215
"Emporia City",-,"701 - District 7",137,45,0,182
"Emporia City",-,"AB - Central Absentee Precinct",789,238,1,"1,028"
"Emporia City",-,Provisional,0,0,0,0
"Essex County",-,"101 - Greater Tappahannock",239,219,0,458
"Essex County",-,"201 - North",300,203,0,503
"Essex County",-,"301 - South",227,514,1,742
"Essex County",-,"401 - Central",206,344,0,550
"Essex County",-,"Ab - Central Absentee Precinct","2,215","1,631",1,"3,847"
"Essex County",-,Provisional,7,6,0,13
"Fairfax County",-,"104 - Chapel (CD 11)",315,372,0,687
"Fairfax County",-,"105 - Fairview (CD 11)",689,631,3,"1,323"
"Fairfax County",-,"106 - Heritage (CD 11)",790,437,2,"1,229"
"Fairfax County",-,"108 - Kings Park (CD 11)",424,401,3,828
"Fairfax County",-,"109 - Little Run (CD 11)",234,188,0,422
"Fairfax County",-,"110 - North Springfield (CD 11)",686,666,4,"1,356"
"Fairfax County",-,"113 - Canterbury (CD 11)",529,560,0,"1,089"
"Fairfax County",-,"114 - Olde Creek (CD 11)",338,318,0,656
"Fairfax County",-,"115 - Ravensworth (CD 11)",348,396,2,746
"Fairfax County",-,"116 - Wakefield (CD 11)",356,336,1,693
"Fairfax County",-,"117 - Woodson (CD 11)",330,388,1,719
"Fairfax County",-,"118 - Lake Braddock (CD 11)",676,486,1,"1,163"
"Fairfax County",-,"119 - Laurel (CD 11)",600,606,3,"1,209"
"Fairfax County",-,"120 - Sideburn (CD 11)",375,562,2,939
"Fairfax County",-,"121 - Villa (CD 11)",393,366,3,762
"Fairfax County",-,"123 - Robinson (CD 11)",470,538,1,"1,009"
"Fairfax County",-,"125 - Signal Hill (CD 11)",418,424,2,844
"Fairfax County",-,"126 - Bonnie Brae (CD 11)",450,313,0,763
"Fairfax County",-,"127 - Burke Centre (CD 11)",731,555,4,"1,290"
"Fairfax County",-,"128 - Cardinal (CD 11)",448,333,2,783
"Fairfax County",-,"129 - Keene Mill (CD 11)",320,288,1,609
"Fairfax County",-,"130 - Terra Centre (CD 11)",422,377,1,800
"Fairfax County",-,"131 - Eagle View (CD 11)",419,440,3,862
"Fairfax County",-,"132 - Monument (CD 11)",343,270,2,615
"Fairfax County",-,"133 - Danbury (CD 11)",197,125,1,323
"Fairfax County",-,"134 - University (CD 11)",273,65,0,338
"Fairfax County",-,"201 - Armstrong (CD 11)",461,394,4,859
"Fairfax County",-,"202 - Flint Hill (CD 11)",295,410,2,707
"Fairfax County",-,"203 - Floris (CD 11)",464,467,1,932
"Fairfax County",-,"204 - Madison (CD 11)",150,104,1,255
"Fairfax County",-,"208 - Reston #1 (CD 11)",561,362,1,924
"Fairfax County",-,"209 - Reston #2 (CD 11)",628,278,2,908
"Fairfax County",-,"213 - Vienna #1 (CD 11)",453,489,2,944
"Fairfax County",-,"214 - Vienna #2 (CD 11)",318,376,1,695
"Fairfax County",-,"216 - Vienna #4 (CD 11)",210,190,0,400
"Fairfax County",-,"218 - Vienna #6 (CD 11)",229,235,2,466
"Fairfax County",-,"219 - Westbriar (CD 11)",410,389,1,800
"Fairfax County",-,"220 - Dogwood (CD 11)",706,427,3,"1,136"
"Fairfax County",-,"221 - Hunters Woods (CD 11)",336,300,0,636
"Fairfax County",-,"222 - Reston #3 (CD 11)",365,166,0,531
"Fairfax County",-,"223 - Glade (CD 11)",476,328,1,805
"Fairfax County",-,"224 - South Lakes (CD 11)",588,449,1,"1,038"
"Fairfax County",-,"225 - Hughes (CD 11)",593,345,1,939
"Fairfax County",-,"226 - Wolftrap (CD 11)",403,494,0,897
"Fairfax County",-,"227 - Sunrise Valley (CD 11)",237,224,1,462
"Fairfax County",-,"229 - Fox Mill (CD 10)",544,684,3,"1,231"
"Fairfax County",-,"233 - North Point (CD 11)",357,475,2,834
"Fairfax County",-,"234 - Aldrin (CD 11)",331,305,1,637
"Fairfax County",-,"235 - Frying Pan (CD 11)",407,294,4,705
"Fairfax County",-,"236 - Stuart (CD 11)",258,193,0,451
"Fairfax County",-,"237 - Mcnair (CD 11)",560,292,2,854
"Fairfax County",-,"238 - Cameron Glen (CD 11)",236,283,0,519
"Fairfax County",-,"240 - Colvin (CD 10)",230,311,0,541
"Fairfax County",-,"301 - Chain Bridge (CD 10)",229,384,0,613
"Fairfax County",-,"302 - Chesterbrook (CD 8)",173,232,2,407
"Fairfax County",-,"303 - Churchill (CD 10)",185,224,0,409
"Fairfax County",-,"304 - Cooper (CD 10)",159,263,1,423
"Fairfax County",-,"305 - El Nido (CD 8)",229,273,1,503
"Fairfax County",-,"306 - Great Falls (CD 10)",198,377,2,577
"Fairfax County",-,"307 - Haycock (CD 8)",270,281,1,552
"Fairfax County",-,"309 - Kenmore (CD 10)",292,365,0,657
"Fairfax County",-,"310 - Kirby (CD 8)",222,243,1,466
"Fairfax County",-,"311 - Langley (CD 10)",167,289,1,457
"Fairfax County",-,"312 - Longfellow (CD 8)",243,290,0,533
"Fairfax County",-,"314 - Mclean (CD 10)",133,208,1,342
"Fairfax County",-,"315 - Pimmit (CD 8)",430,386,2,818
"Fairfax County",-,"316 - Salona #1 (CD 8)",72,119,1,192
"Fairfax County",-,"317 - Westhampton (CD 8)",194,240,1,435
"Fairfax County",-,"318 - Westmoreland (CD 8)",178,171,0,349
"Fairfax County",-,"319 - Herndon #1 (CD 11)",543,498,1,"1,042"
"Fairfax County",-,"320 - Herndon #2 (CD 11)",593,421,4,"1,018"
"Fairfax County",-,"321 - Clearview (CD 10)",502,563,3,"1,068"
"Fairfax County",-,"322 - Forestville (CD 10)",320,601,2,923
"Fairfax County",-,"323 - Shouse (CD 10)",299,324,0,623
"Fairfax County",-,"324 - Herndon #3 (CD 11)",542,378,0,920
"Fairfax County",-,"325 - Hutchison (CD 11)",551,182,1,734
"Fairfax County",-,"327 - Sugarland (CD 10)",397,487,0,884
"Fairfax County",-,"328 - Hickory (CD 10)",226,425,2,653
"Fairfax County",-,"329 - Seneca (CD 10)",395,566,2,963
"Fairfax County",-,"331 - Spring Hill (CD 10)",183,232,1,416
"Fairfax County",-,"332 - Coates (CD 11)",702,425,5,"1,132"
"Fairfax County",-,"333 - Salona #2 (CD 8)",155,166,1,322
"Fairfax County",-,"401 - Bush Hill (CD 8)",554,497,1,"1,052"
"Fairfax County",-,"402 - Cameron (CD 8)",267,166,0,433
"Fairfax County",-,"403 - Forestdale (CD 8)",249,153,1,403
"Fairfax County",-,"404 - Franconia (CD 8)",486,365,0,851
"Fairfax County",-,"405 - Groveton (CD 8)",414,164,1,579
"Fairfax County",-,"406 - Hayfield (CD 8)",328,436,1,765
"Fairfax County",-,"408 - Mount Eagle (CD 8)",524,230,0,754
"Fairfax County",-,"409 - Pioneer (CD 8)",845,454,0,"1,299"
"Fairfax County",-,"410 - Rose Hill (CD 8)",736,602,2,"1,340"
"Fairfax County",-,"411 - Virginia Hills (CD 8)",531,315,2,848
"Fairfax County",-,"413 - Fairfield (CD 8)",650,140,1,791
"Fairfax County",-,"415 - Crestwood (CD 8)",653,498,3,"1,154"
"Fairfax County",-,"417 - Garfield (CD 8)",841,486,3,"1,330"
"Fairfax County",-,"418 - Lynbrook (CD 8)",578,280,2,860
"Fairfax County",-,"419 - Lane (CD 8)",596,370,0,966
"Fairfax County",-,"420 - Villages (CD 8)",610,407,2,"1,019"
"Fairfax County",-,"421 - Kingstowne (CD 8)",475,340,1,816
"Fairfax County",-,"422 - Van Dorn (CD 8)",541,337,0,878
"Fairfax County",-,"423 - Clermont (CD 8)",519,384,2,905
"Fairfax County",-,"424 - Huntley (CD 8)",474,386,0,860
"Fairfax County",-,"426 - Greenspring (CD 11)",348,230,0,578
"Fairfax County",-,"427 - Island Creek (CD 8)",495,315,1,811
"Fairfax County",-,"428 - Pinewood (CD 8)",610,167,2,779
"Fairfax County",-,"429 - Hybla Valley (CD 8)",836,185,4,"1,025"
"Fairfax County",-,"501 - Baileys (CD 8)",652,254,1,907
"Fairfax County",-,"502 - Barcroft (CD 11)",171,151,0,322
"Fairfax County",-,"503 - Belvedere (CD 11)",213,168,0,381
"Fairfax County",-,"504 - Bristow (CD 11)",570,291,1,862
"Fairfax County",-,"505 - Glen Forest (CD 8)",554,271,1,826
"Fairfax County",-,"506 - Holmes #1 (CD 8)",161,64,0,225
"Fairfax County",-,"507 - Lincolnia (CD 8)",517,284,3,804
"Fairfax County",-,"508 - Masonville (CD 11)",372,335,1,708
"Fairfax County",-,"509 - Plaza (CD 8)",432,86,1,519
"Fairfax County",-,"510 - Parklawn (CD 8)",390,232,0,622
"Fairfax County",-,"511 - Ravenwood (CD 11)",359,285,1,645
"Fairfax County",-,"512 - Sleepy Hollow (CD 11)",287,202,1,490
"Fairfax County",-,"513 - Saint Albans (CD 11)",253,164,0,417
"Fairfax County",-,"513 - Saint Albans (CD 8)",133,103,0,236
"Fairfax County",-,"514 - Crossroads (CD 8)",116,33,1,150
"Fairfax County",-,"515 - Westlawn (CD 8)",378,214,0,592
"Fairfax County",-,"516 - Weyanoke (CD 8)",635,305,4,944
"Fairfax County",-,"517 - Willston (CD 8)",367,207,0,574
"Fairfax County",-,"518 - Columbia (CD 11)",504,349,5,858
"Fairfax County",-,"519 - Hummer (CD 11)",290,256,3,549
"Fairfax County",-,"520 - Skyline (CD 8)",512,160,0,672
"Fairfax County",-,"521 - Brook Hill (CD 8)",400,331,1,732
"Fairfax County",-,"522 - Camelot (CD 11)",224,234,0,458
"Fairfax County",-,"523 - Poe (CD 8)",394,294,0,688
"Fairfax County",-,"525 - Walnut Hill (CD 8)",487,402,3,892
"Fairfax County",-,"526 - Bren Mar (CD 8)",695,322,3,"1,020"
"Fairfax County",-,"527 - Edsall (CD 8)",463,318,3,784
"Fairfax County",-,"528 - Ridgelea (CD 11)",221,199,1,421
"Fairfax County",-,"530 - Holmes #2 (CD 11)",385,133,0,518
"Fairfax County",-,"601 - Belle Haven (CD 8)",342,341,1,684
"Fairfax County",-,"602 - Belleview (CD 8)",257,288,0,545
"Fairfax County",-,"604 - Bucknell (CD 8)",791,316,3,"1,110"
"Fairfax County",-,"605 - Fort Hunt (CD 8)",330,462,0,792
"Fairfax County",-,"606 - Hollin Hall (CD 8)",325,409,0,734
"Fairfax County",-,"607 - Huntington (CD 8)",558,346,2,906
"Fairfax County",-,"608 - Kirkside (CD 8)",297,196,1,494
"Fairfax County",-,"609 - Marlan (CD 8)",207,278,0,485
"Fairfax County",-,"610 - Sherwood (CD 8)",351,200,3,554
"Fairfax County",-,"611 - Stratford (CD 8)",399,497,1,897
"Fairfax County",-,"612 - Waynewood (CD 8)",272,264,2,538
"Fairfax County",-,"613 - Westgate (CD 8)",355,781,1,"1,137"
"Fairfax County",-,"614 - Riverside (CD 8)",276,380,0,656
"Fairfax County",-,"615 - Woodley (CD 8)",476,405,2,883
"Fairfax County",-,"616 - Gunston (CD 8)",424,587,0,"1,011"
"Fairfax County",-,"617 - Lorton (CD 8)",443,157,0,600
"Fairfax County",-,"618 - Newington (CD 11)",905,754,3,"1,662"
"Fairfax County",-,"619 - Belvoir (CD 8)",456,319,0,775
"Fairfax County",-,"621 - Grosvenor (CD 8)",434,241,2,677
"Fairfax County",-,"622 - Lorton Station (CD 8)",741,296,3,"1,040"
"Fairfax County",-,"623 - Alban (CD 8)",628,364,5,997
"Fairfax County",-,"626 - Saratoga (CD 8)",601,481,1,"1,083"
"Fairfax County",-,"627 - Woodlawn (CD 8)",844,440,1,"1,285"
"Fairfax County",-,"628 - Laurel Hill (CD 11)",723,354,1,"1,078"
"Fairfax County",-,"629 - South County (CD 11)",349,361,1,711
"Fairfax County",-,"630- Army (CD 8)",125,121,1,247
"Fairfax County",-,"701 - Blake (CD 11)",471,382,3,856
"Fairfax County",-,"703 - Fort Buffalo (CD 8)",310,205,3,518
"Fairfax County",-,"704 - Freedom Hill (CD 11)",293,244,2,539
"Fairfax County",-,"705 - Graham - Greenway (CD 8)",468,361,2,831
"Fairfax County",-,"707 - Mantua (CD 11)",264,262,1,527
"Fairfax County",-,"708 - Marshall (CD 8)",433,348,2,783
"Fairfax County",-,"709 - Mosby (CD 11)",473,315,3,791
"Fairfax County",-,"710 - Pine Spring (CD 8)",354,218,1,573
"Fairfax County",-,"711 - Price (CD 11)",293,279,0,572
"Fairfax County",-,"712 - Shreve (CD 8)",175,176,0,351
"Fairfax County",-,"713 - Timber Lane (CD 8)",498,296,3,797
"Fairfax County",-,"714 - Walker (CD 11)",400,356,2,758
"Fairfax County",-,"717 - Woodburn (CD 11)",276,189,0,465
"Fairfax County",-,"718 - Pine Ridge (CD 11)",307,268,2,577
"Fairfax County",-,"720 - Thoreau (CD 11)",294,363,0,657
"Fairfax County",-,"721 - Merrifield (CD 11)",496,288,0,784
"Fairfax County",-,"723 - Gallows East (CD 11)",234,152,2,388
"Fairfax County",-,"726 - Magarity (CD 8)",443,319,2,764
"Fairfax County",-,"727 - Oakton (CD 11)",234,349,2,585
"Fairfax County",-,"729 - Nottoway (CD 11)",198,246,0,444
"Fairfax County",-,"730 - Penderbrook (CD 11)",586,481,3,"1,070"
"Fairfax County",-,"731 - Tysons (CD 11)",461,358,2,821
"Fairfax County",-,"732 - Oak Marr (CD 11)",275,468,2,745
"Fairfax County",-,"733 - Kilmer (CD 11)",426,318,2,746
"Fairfax County",-,"734 - Hunters Branch (CD 11)",143,116,0,259
"Fairfax County",-,"735 - Rotonda (CD 11)",325,195,0,520
"Fairfax County",-,"801 - Burke (CD 11)",759,553,2,"1,314"
"Fairfax County",-,"802 - Cedar Lake (CD 11)",150,115,1,266
"Fairfax County",-,"803 - Clifton (CD 10)",271,794,0,"1,065"
"Fairfax County",-,"804 - Colchester (CD 10)",228,354,1,583
"Fairfax County",-,"805 - Fairfax Station (CD 10)",241,331,2,574
"Fairfax County",-,"806 - Sydenstricker (CD 11)",512,484,1,997
"Fairfax County",-,"807 - Hunt Valley (CD 11)",342,374,2,718
"Fairfax County",-,"811 - Pohick (CD 11)",377,271,0,648
"Fairfax County",-,"812 - Valley (CD 11)",473,412,2,887
"Fairfax County",-,"815 - Woodyard (CD 10)",344,571,0,915
"Fairfax County",-,"824 - Orange (CD 11)",620,636,3,"1,259"
"Fairfax County",-,"825 - Cherry Run (CD 11)",416,488,1,905
"Fairfax County",-,"827 - Irving (CD 11)",351,373,0,724
