County/City,Ward,Pct,"Barack Obama","John McCain","Ralph Nader","Bob Barr","Chuck Baldwin","Cynthia McKinney","All Others","Total Votes Cast"
"Dinwiddie County",-,"Provisional Votes (CD 4)",1,3,0,0,0,0,0,4
"Emporia City",-,"101 - Precinct 1-1 (CD 4)",314,91,0,1,0,0,0,406
"Emporia City",-,"201 - Precinct 2-1 (CD 4)",252,32,1,0,1,0,0,286
"Emporia City",-,"301 - Precinct 3-1 (CD 4)",194,214,1,1,1,1,0,412
"Emporia City",-,"401 - Precinct 4-1 (CD 4)",264,210,1,0,0,0,0,475
"Emporia City",-,"501 - Precinct 5-1 (CD 4)",287,8,0,1,0,1,0,297
"Emporia City",-,"601 - District 6 (CD 4)",169,252,1,4,1,0,0,427
"Emporia City",-,"701 - District 7 (CD 4)",222,90,1,0,0,0,1,314
"Emporia City",-,"Provisional Votes (CD 4)",0,0,0,0,0,0,0,0
"Essex County",-,"101 - Greater Tappahannock (CD 1)",560,518,6,3,2,1,0,"1,090"
"Essex County",-,"201 - North (CD 1)",881,322,2,4,3,2,2,"1,216"
"Essex County",-,"301 - South (CD 1)",503,596,4,3,2,2,1,"1,111"
"Essex County",-,"401 - Central (CD 1)",611,708,3,2,2,1,1,"1,328"
"Essex County",-,"Ab - Central Absentee Precinct (CD 1)",379,235,2,2,0,0,1,619
"Essex County",-,"Provisional Votes (CD 1)",0,0,0,0,0,0,0,0
"Fairfax County",-,"102 - Bristow (CD 11)",842,521,4,3,1,0,1,"1,372"
"Fairfax County",-,"104 - Chapel (CD 11)",794,744,2,3,0,0,2,"1,545"
"Fairfax County",-,"105 - Fairview (CD 11)","1,751","1,293",6,8,9,1,7,"3,075"
"Fairfax County",-,"106 - Heritage (CD 11)","1,633",766,8,9,3,2,6,"2,427"
"Fairfax County",-,"108 - Kings Park (CD 11)","1,122",903,8,2,4,0,5,"2,044"
"Fairfax County",-,"109 - Olde Creek (CD 11)",788,728,4,3,3,1,1,"1,528"
"Fairfax County",-,"110 - North Springfield #1 (CD 11)",919,659,8,2,4,1,3,"1,596"
"Fairfax County",-,"111 - North Springfield #2 (CD 11)",631,467,2,3,2,2,1,"1,108"
"Fairfax County",-,"113 - Oak Hill (CD 11)",761,684,4,3,2,0,5,"1,459"
"Fairfax County",-,"115 - Ravensworth (CD 11)",578,536,5,3,1,0,1,"1,124"
"Fairfax County",-,"116 - Wakefield (CD 11)",886,641,4,7,2,1,1,"1,542"
"Fairfax County",-,"117 - Woodson (CD 11)","1,116",773,1,8,5,1,7,"1,911"
"Fairfax County",-,"118 - Lake Braddock (CD 11)","1,735","1,070",8,17,5,0,2,"2,837"
"Fairfax County",-,"119 - Laurel (CD 11)","1,441","1,136",9,7,6,0,3,"2,602"
"Fairfax County",-,"120 - Sideburn (CD 11)","1,047","1,167",7,5,2,0,2,"2,230"
"Fairfax County",-,"121 - Villa (CD 11)",705,604,5,6,4,1,4,"1,329"
"Fairfax County",-,"122 - Long Branch (CD 11)",585,465,3,4,1,0,1,"1,059"
"Fairfax County",-,"123 - Robinson (CD 11)","1,550","1,242",10,9,6,0,4,"2,821"
"Fairfax County",-,"124 - Olley (CD 11)",619,563,7,6,1,1,0,"1,197"
"Fairfax County",-,"125 - Signal Hill (CD 11)","1,081",948,5,11,1,2,8,"2,056"
"Fairfax County",-,"126 - Bonnie Brae (CD 11)",943,595,4,9,0,2,1,"1,554"
"Fairfax County",-,"127 - Burke Centre (CD 11)","1,671","1,113",3,12,5,0,3,"2,807"
"Fairfax County",-,"128 - Cardinal (CD 11)",865,566,9,4,3,1,2,"1,450"
"Fairfax County",-,"129 - Keene Mill (CD 11)",610,445,1,1,4,0,1,"1,062"
"Fairfax County",-,"130 - Terra Centre (CD 11)",888,717,5,4,3,1,2,"1,620"
"Fairfax County",-,"202 - Flint Hill (CD 11)","1,373","1,149",8,8,3,1,5,"2,547"
"Fairfax County",-,"203 - Floris (CD 10)","1,320","1,109",4,11,1,1,3,"2,449"
"Fairfax County",-,"208 - Reston #1 (CD 8)","1,270",462,8,2,7,4,2,"1,755"
"Fairfax County",-,"209 - Reston #2 (CD 8)","1,343",539,5,9,4,3,5,"1,908"
"Fairfax County",-,"213 - Vienna #1 (CD 11)","1,467",995,13,10,4,1,4,"2,494"
"Fairfax County",-,"214 - Vienna #2 (CD 11)","1,134",879,6,8,4,3,4,"2,038"
"Fairfax County",-,"216 - Vienna #4 (CD 11)",620,368,3,9,2,0,4,"1,006"
"Fairfax County",-,"218 - Vienna #6 (CD 11)",877,490,8,0,1,0,6,"1,382"
"Fairfax County",-,"219 - Westbriar (CD 8)","1,261","1,004",8,8,2,0,3,"2,286"
"Fairfax County",-,"220 - Dogwood (CD 8)","1,635",723,11,7,3,0,4,"2,383"
"Fairfax County",-,"221 - Hunters Woods (CD 8)","1,024",670,2,8,2,0,6,"1,712"
"Fairfax County",-,"222 - Reston #3 (CD 8)","1,049",362,6,1,3,1,6,"1,428"
"Fairfax County",-,"223 - Glade (CD 8)","1,630",788,6,8,5,1,8,"2,446"
"Fairfax County",-,"224 - South Lakes (CD 8)","1,800",858,7,8,1,1,6,"2,681"
"Fairfax County",-,"225 - Terraset (CD 8)","1,691",665,11,11,3,3,6,"2,390"
"Fairfax County",-,"226 - Wolftrap (CD 8)","1,195","1,067",8,7,1,4,6,"2,288"
"Fairfax County",-,"227 - Sunrise Valley (CD 8)",660,502,4,2,2,0,1,"1,171"
"Fairfax County",-,"229 - Fox Mill (CD 10)","1,636","1,375",13,7,4,1,3,"3,039"
"Fairfax County",-,"233 - North Point (CD 8)","1,887","1,223",3,4,6,3,9,"3,135"
"Fairfax County",-,"234 - Aldrin (CD 8)","1,825","1,181",7,5,6,1,6,"3,031"
"Fairfax County",-,"235 - Frying Pan (CD 10)","1,204",652,2,8,1,0,7,"1,874"
"Fairfax County",-,"236 - Stuart (CD 10)",560,341,1,1,2,2,3,910
"Fairfax County",-,"237 - Mcnair (CD 10)","2,612","1,150",15,9,1,1,9,"3,797"
"Fairfax County",-,"238 - Cameron Glen (CD 8)","1,011",690,7,5,2,2,1,"1,718"
"Fairfax County",-,"301 - Chain Bridge (CD 10)",997,850,4,5,1,1,1,"1,859"
"Fairfax County",-,"302 - Chesterbrook (CD 10)",772,619,7,4,1,1,1,"1,405"
"Fairfax County",-,"303 - Churchill (CD 10)",495,391,3,2,1,0,1,893
"Fairfax County",-,"304 - Cooper (CD 10)",613,683,0,2,0,0,2,"1,300"
"Fairfax County",-,"305 - El Nido (CD 10)",730,486,7,3,1,0,5,"1,232"
"Fairfax County",-,"306 - Great Falls (CD 10)",639,673,1,3,0,0,1,"1,317"
"Fairfax County",-,"307 - Haycock (CD 10)",847,618,1,1,2,0,2,"1,471"
"Fairfax County",-,"309 - Kenmore (CD 10)","1,032","1,077",0,5,6,1,0,"2,121"
"Fairfax County",-,"310 - Kirby (CD 10)",800,480,3,5,1,0,6,"1,295"
"Fairfax County",-,"311 - Langley (CD 10)",648,610,1,0,0,1,4,"1,264"
"Fairfax County",-,"312 - Longfellow (CD 10)",905,635,2,5,3,1,3,"1,554"
"Fairfax County",-,"314 - Mclean (CD 10)",724,608,4,6,2,1,1,"1,346"
"Fairfax County",-,"315 - Pimmit (CD 8)","1,300",784,14,13,3,3,4,"2,121"
"Fairfax County",-,"316 - Salona (CD 10)",876,615,5,4,3,0,2,"1,505"
"Fairfax County",-,"317 - Westhampton (CD 8)",814,515,7,2,1,0,2,"1,341"
"Fairfax County",-,"318 - Westmoreland (CD 10)",545,330,4,3,0,0,1,883
"Fairfax County",-,"319 - Herndon #1 (CD 10)","1,391",944,7,10,4,1,2,"2,359"
"Fairfax County",-,"320 - Herndon #2 (CD 10)","1,573",763,7,11,1,1,4,"2,360"
"Fairfax County",-,"321 - Clearview (CD 10)","1,684","1,255",3,8,8,2,5,"2,965"
"Fairfax County",-,"322 - Forestville (CD 10)",855,"1,045",8,4,4,0,2,"1,918"
"Fairfax County",-,"323 - Shouse (CD 10)",783,659,6,2,7,3,1,"1,461"
"Fairfax County",-,"324 - Herndon #3 (CD 10)","1,444",672,9,11,3,1,3,"2,143"
"Fairfax County",-,"325 - Hutchison (CD 10)","1,092",399,1,4,6,1,4,"1,507"
"Fairfax County",-,"327 - Sugarland (CD 10)","1,091",934,6,8,2,2,2,"2,045"
"Fairfax County",-,"328 - Hickory (CD 10)",920,957,10,3,2,1,6,"1,899"
"Fairfax County",-,"329 - Seneca (CD 10)","1,063","1,103",5,2,2,1,4,"2,180"
"Fairfax County",-,"330 - Colvin (CD 10)",759,763,4,2,3,0,4,"1,535"
"Fairfax County",-,"331 - Spring Hill (CD 10)",620,631,4,3,2,0,0,"1,260"
"Fairfax County",-,"401 - Bush Hill (CD 8)","1,168",875,7,7,3,2,9,"2,071"
"Fairfax County",-,"402 - Cameron (CD 8)",416,264,2,3,4,0,1,690
"Fairfax County",-,"404 - Franconia (CD 8)","1,320",817,8,8,1,3,5,"2,162"
"Fairfax County",-,"405 - Groveton (CD 8)","2,425",630,6,5,2,2,2,"3,072"
"Fairfax County",-,"406 - Hayfield (CD 8)",990,902,7,4,2,1,5,"1,911"
"Fairfax County",-,"408 - Mount Eagle (CD 8)",645,225,4,3,3,2,1,883
"Fairfax County",-,"409 - Pioneer (CD 8)","1,873",998,12,4,6,3,7,"2,903"
"Fairfax County",-,"410 - Rose Hill (CD 8)","1,517","1,097",5,9,2,3,6,"2,639"
"Fairfax County",-,"411 - Virginia Hills (CD 8)",499,313,4,2,2,0,4,824
"Fairfax County",-,"413 - Fairfield (CD 8)","2,368",493,4,7,7,4,3,"2,886"
"Fairfax County",-,"415 - Crestwood (CD 11)",868,650,1,3,2,1,4,"1,529"
"Fairfax County",-,"417 - Garfield (CD 11)","1,331",794,7,7,4,3,2,"2,148"
"Fairfax County",-,"418 - Lynbrook (CD 11)",729,452,4,1,5,0,1,"1,192"
"Fairfax County",-,"419 - Lane (CD 8)","1,380",674,6,5,0,1,2,"2,068"
"Fairfax County",-,"420 - Villages (CD 8)","1,337",775,8,7,1,1,9,"2,138"
"Fairfax County",-,"421 - Kingstowne (CD 8)","1,456",825,3,5,6,1,2,"2,298"
"Fairfax County",-,"422 - Van Dorn (CD 8)","1,396",797,8,11,1,1,4,"2,218"
"Fairfax County",-,"423 - Clermont (CD 8)",984,665,8,4,3,1,3,"1,668"
"Fairfax County",-,"424 - Huntley (CD 8)","1,096",633,12,8,2,2,7,"1,760"
"Fairfax County",-,"425 - Wilton (CD 8)",826,391,6,2,1,0,2,"1,228"
"Fairfax County",-,"426 - Greenspring (CD 11)",749,601,1,1,2,0,0,"1,354"
"Fairfax County",-,"427 - Island Creek (CD 8)","1,078",634,4,2,1,1,5,"1,725"
"Fairfax County",-,"501 - Baileys (CD 8)","1,333",509,6,6,1,1,0,"1,856"
"Fairfax County",-,"502 - Barcroft (CD 11)",925,640,5,7,1,0,4,"1,582"
"Fairfax County",-,"503 - Belvedere (CD 11)",573,308,7,0,0,0,3,891
"Fairfax County",-,"505 - Glen Forest #1 (CD 8)",673,209,1,2,0,0,3,888
"Fairfax County",-,"506 - Holmes #1 (CD 11)",135,63,0,0,0,0,0,198
"Fairfax County",-,"506 - Holmes #1 (CD 8)",159,75,0,1,0,0,1,236
"Fairfax County",-,"507 - Lincolnia (CD 8)","1,233",562,4,2,4,1,4,"1,810"
"Fairfax County",-,"508 - Masonville (CD 11)",724,533,5,1,1,0,5,"1,269"
"Fairfax County",-,"510 - Parklawn (CD 8)",758,520,4,5,5,2,1,"1,295"
"Fairfax County",-,"511 - Ravenwood (CD 11)",627,366,5,4,2,2,4,"1,010"
"Fairfax County",-,"512 - Sleepy Hollow (CD 11)",536,391,5,4,1,1,2,940
"Fairfax County",-,"513 - Saint Albans (CD 11)",874,571,1,6,5,0,4,"1,461"
"Fairfax County",-,"515 - Westlawn (CD 8)",593,344,8,2,2,1,2,952
"Fairfax County",-,"516 - Weyanoke (CD 8)","1,021",397,8,4,1,1,2,"1,434"
"Fairfax County",-,"517 - Willston (CD 8)",752,409,4,3,3,0,0,"1,171"
"Fairfax County",-,"518 - Columbia (CD 11)",955,662,9,2,6,0,8,"1,642"
"Fairfax County",-,"519 - Hummer (CD 11)",663,527,3,3,3,1,4,"1,204"
"Fairfax County",-,"520 - Skyline (CD 8)","1,614",469,11,9,1,0,3,"2,107"
"Fairfax County",-,"521 - Brook Hill (CD 11)",741,602,8,5,3,0,2,"1,361"
"Fairfax County",-,"522 - Camelot (CD 11)",507,461,3,2,2,1,1,977
"Fairfax County",-,"523 - Poe (CD 11)",956,563,1,1,0,0,4,"1,525"
"Fairfax County",-,"524 - Whittier (CD 8)",714,423,2,6,3,0,1,"1,149"
"Fairfax County",-,"525 - Walnut Hill #1 (CD 8)",282,263,0,2,1,0,1,549
"Fairfax County",-,"526 - Bren Mar (CD 8)","1,344",661,7,6,7,1,2,"2,028"
"Fairfax County",-,"527 - Edsall (CD 8)",613,423,7,8,2,0,1,"1,054"
"Fairfax County",-,"528 - Ridgelea (CD 11)",435,413,2,4,2,0,2,858
"Fairfax County",-,"529 - Glen Forest #2 (CD 8)",701,332,5,2,0,0,2,"1,042"
"Fairfax County",-,"530 - Holmes #2 (CD 11)",716,265,2,3,2,0,1,989
"Fairfax County",-,"531 - Leewood (CD 11)",378,232,1,1,2,0,1,615
"Fairfax County",-,"601 - Belle Haven (CD 8)",828,637,5,3,1,2,3,"1,479"
"Fairfax County",-,"602 - Belleview (CD 8)",908,556,4,6,1,0,6,"1,481"
"Fairfax County",-,"604 - Bucknell (CD 8)","1,689",625,8,10,1,4,3,"2,340"
"Fairfax County",-,"605 - Fort Hunt (CD 11)",688,713,5,4,3,1,1,"1,415"
"Fairfax County",-,"606 - Hollin Hall (CD 8)",579,528,1,6,2,0,4,"1,120"
"Fairfax County",-,"607 - Huntington (CD 8)","1,424",650,10,10,2,1,6,"2,103"
"Fairfax County",-,"608 - Kirkside (CD 8)",790,384,1,1,4,1,4,"1,185"
"Fairfax County",-,"609 - Marlan (CD 8)",734,593,3,9,1,3,3,"1,346"
"Fairfax County",-,"610 - Sherwood (CD 8)","1,125",624,2,5,1,1,3,"1,761"
"Fairfax County",-,"611 - Stratford (CD 11)","1,016",951,6,2,1,3,4,"1,983"
"Fairfax County",-,"612 - Waynewood (CD 11)",464,471,1,1,1,1,2,941
"Fairfax County",-,"613 - Westgate (CD 11)",851,"1,217",6,12,1,0,3,"2,090"
"Fairfax County",-,"614 - Whitman (CD 11)",557,698,9,7,1,2,2,"1,276"
"Fairfax County",-,"615 - Woodley (CD 11)","1,044",795,6,2,2,2,5,"1,856"
"Fairfax County",-,"616 - Gunston (CD 11)","1,113",967,7,10,3,1,0,"2,101"
"Fairfax County",-,"617 - Lorton (CD 11)","1,019",235,1,1,1,1,1,"1,259"
"Fairfax County",-,"618 - Newington (CD 11)","2,010","1,233",10,2,6,4,10,"3,275"
"Fairfax County",-,"619 - Belvoir (CD 8)","1,046",673,6,1,1,1,4,"1,732"
"Fairfax County",-,"621 - Grosvenor (CD 8)",820,293,3,2,3,0,3,"1,124"
"Fairfax County",-,"622 - Lorton Station (CD 11)","1,549",585,3,6,3,2,2,"2,150"
"Fairfax County",-,"623 - Alban (CD 11)",523,344,3,2,0,0,2,874
"Fairfax County",-,"624 - Hunt (CD 11)","1,293","1,138",7,4,2,0,2,"2,446"
"Fairfax County",-,"625 - Lorton Center (CD 11)",753,471,3,1,0,4,2,"1,234"
"Fairfax County",-,"626 - Saratoga (CD 11)","2,013","1,303",8,16,5,4,10,"3,359"
"Fairfax County",-,"627 - Woodlawn (CD 8)","1,833",642,11,4,3,0,4,"2,497"
"Fairfax County",-,"628 - Laurel Hill (CD 11)","2,237","1,445",7,7,3,1,4,"3,704"
"Fairfax County",-,"701 - Blake (CD 11)","1,741","1,000",9,12,4,2,10,"2,778"
"Fairfax County",-,"703 - Fort Buffalo (CD 8)",841,401,5,5,0,2,3,"1,257"
"Fairfax County",-,"704 - Freedom Hill (CD 11)",793,561,6,0,1,0,3,"1,364"
"Fairfax County",-,"705 - Graham (CD 8)",541,277,0,0,2,0,1,821
"Fairfax County",-,"706 - Greenway (CD 8)",759,407,6,5,4,1,2,"1,184"
"Fairfax County",-,"707 - Mantua (CD 11)",820,581,2,7,1,0,2,"1,413"
"Fairfax County",-,"708 - Marshall (CD 8)","1,929",969,9,14,3,3,8,"2,935"
"Fairfax County",-,"709 - Mosby (CD 11)","1,781",948,11,19,6,5,6,"2,776"
"Fairfax County",-,"710 - Pine Spring (CD 8)","1,111",504,7,10,2,4,1,"1,639"
"Fairfax County",-,"711 - Price (CD 11)",783,503,1,5,1,1,0,"1,294"
"Fairfax County",-,"712 - Shreve (CD 8)",602,384,3,6,4,0,3,"1,002"
"Fairfax County",-,"713 - Timber Lane (CD 8)","1,278",670,6,2,3,2,1,"1,962"
"Fairfax County",-,"714 - Walker (CD 11)","1,325",872,12,7,2,1,11,"2,230"
"Fairfax County",-,"717 - Woodburn (CD 8)",801,454,6,4,3,0,5,"1,273"
"Fairfax County",-,"718 - Pine Ridge (CD 11)",920,537,8,5,2,0,8,"1,480"
"Fairfax County",-,"719 - Stenwood (CD 11)",383,289,3,5,0,1,2,683
"Fairfax County",-,"720 - Thoreau (CD 11)",650,485,5,2,0,2,2,"1,146"
"Fairfax County",-,"721 - Merrifield (CD 11)","1,455",737,3,17,4,0,6,"2,222"
"Fairfax County",-,"726 - Magarity (CD 8)","1,446",790,10,7,1,1,7,"2,262"
"Fairfax County",-,"727 - Oakton (CD 11)",764,811,1,4,1,0,6,"1,587"
"Fairfax County",-,"728 - Walnut Hill #2 (CD 8)",351,232,1,1,0,1,1,587
"Fairfax County",-,"729 - Nottoway (CD 11)","1,370","1,008",11,11,6,0,12,"2,418"
"Fairfax County",-,"730 - Penderbrook (CD 11)","1,260",912,5,10,0,2,4,"2,193"
"Fairfax County",-,"731 - Tysons (CD 8)","1,022",616,6,8,2,0,5,"1,659"
"Fairfax County",-,"732 - Oak Marr (CD 11)","1,083","1,011",1,5,3,2,5,"2,110"
"Fairfax County",-,"733 - Kilmer (CD 11)","1,400",870,14,7,1,1,3,"2,296"
"Fairfax County",-,"801 - Burke (CD 11)","1,671","1,078",6,17,3,0,7,"2,782"
"Fairfax County",-,"803 - Clifton (CD 11)","1,056","1,618",4,6,3,2,2,"2,691"
"Fairfax County",-,"805 - Fairfax Station (CD 11)",976,"1,299",3,9,4,0,6,"2,297"
"Fairfax County",-,"811 - Pohick (CD 11)","1,367","1,010",5,4,1,2,3,"2,392"
"Fairfax County",-,"812 - Valley (CD 11)","1,001",802,7,4,3,4,3,"1,824"
"Fairfax County",-,"815 - Woodyard (CD 11)",641,882,2,3,1,0,1,"1,530"
"Fairfax County",-,"824 - Orange (CD 11)","1,339","1,274",7,12,4,1,9,"2,646"
"Fairfax County",-,"825 - Cherry Run (CD 11)",959,932,3,3,1,2,4,"1,904"
"Fairfax County",-,"827 - Irving (CD 11)",846,787,9,5,7,2,3,"1,659"
"Fairfax County",-,"833 - White Oaks (CD 11)","1,159",824,8,5,5,3,1,"2,005"
"Fairfax County",-,"838 - Sangster (CD 11)",694,815,3,3,2,1,0,"1,518"
"Fairfax County",-,"839 - Silverbrook (CD 11)","1,101","1,145",6,5,1,1,5,"2,264"
"Fairfax County",-,"840 - West Springfield (CD 11)",992,915,3,4,1,1,4,"1,920"
"Fairfax County",-,"841 - Popes Head (CD 11)",917,"1,195",5,7,0,0,3,"2,127"
"Fairfax County",-,"842 - Parkway (CD 11)",680,811,5,6,1,0,1,"1,504"
"Fairfax County",-,"843 - Fair Lakes (CD 10)","1,203",803,5,1,4,1,0,"2,017"
"Fairfax County",-,"844 - Centerpointe (CD 10)","1,509",864,8,10,4,0,3,"2,398"
"Fairfax County",-,"845 - Fountainhead (CD 11)","1,070","1,402",6,6,4,1,9,"2,498"
"Fairfax County",-,"846 - Greenbriar East (CD 10)","1,248",924,12,9,4,0,2,"2,199"
"Fairfax County",-,"847 - Greenbriar West (CD 10)",836,765,3,8,8,0,5,"1,625"
"Fairfax County",-,"848 - Fair Oaks (CD 11)",663,375,2,3,1,0,3,"1,047"
"Fairfax County",-,"849 - Newgate (CD 11)","1,363","1,749",7,5,3,1,5,"3,133"
"Fairfax County",-,"850 - South Run (CD 11)",416,492,3,1,0,2,3,917
"Fairfax County",-,"851 - Willow Springs (CD 11)","1,465","1,419",2,4,3,1,3,"2,897"
"Fairfax County",-,"852 - Monument (CD 11)","1,202",793,5,9,3,2,0,"2,014"
"Fairfax County",-,"853 - Eagle View (CD 11)","1,137",894,7,21,2,0,1,"2,062"
"Fairfax County",-,"901 - Centre Ridge (CD 10)","1,420",805,7,8,1,1,5,"2,247"
"Fairfax County",-,"902 - Brookfield (CD 10)","1,513",921,5,5,5,2,5,"2,456"
"Fairfax County",-,"903 - Cub Run (CD 10)","1,225","1,114",9,8,5,3,10,"2,374"
"Fairfax County",-,"904 - Dulles (CD 10)",609,582,2,3,4,1,2,"1,203"
"Fairfax County",-,"905 - Franklin (CD 10)","1,340","1,044",2,8,5,1,5,"2,405"
"Fairfax County",-,"908 - Kinross (CD 10)","1,658","1,437",10,4,3,2,7,"3,121"
"Fairfax County",-,"910 - London Towne East (CD 10)",585,384,4,0,2,0,1,976
"Fairfax County",-,"911 - Navy (CD 10)","1,141",900,3,5,2,1,3,"2,055"
"Fairfax County",-,"913 - Rocky Run (CD 10)","1,314","1,329",7,7,3,1,2,"2,663"
"Fairfax County",-,"914 - Vale (CD 11)",967,"1,050",9,7,0,0,1,"2,034"
"Fairfax County",-,"915 - Virginia Run (CD 10)",744,"1,102",5,4,2,0,3,"1,860"
"Fairfax County",-,"916 - Waples Mill (CD 11)","1,335","1,422",7,8,4,2,8,"2,786"
"Fairfax County",-,"917 - Stone (CD 10)","1,333",950,9,13,6,3,4,"2,318"
"Fairfax County",-,"918 - Centreville (CD 11)","1,796","1,083",4,10,6,2,3,"2,904"
"Fairfax County",-,"919 - Green Trails (CD 11)","1,881","1,195",6,5,2,2,6,"3,097"
"Fairfax County",-,"920 - Lees Corner East (CD 10)",959,764,0,4,2,0,3,"1,732"
"Fairfax County",-,"921 - Deer Park (CD 10)","1,022","1,094",4,9,3,2,5,"2,139"
"Fairfax County",-,"923 - Bull Run (CD 10)",585,811,2,1,5,1,1,"1,406"
"Fairfax County",-,"924 - London Towne West (CD 10)","1,220",490,2,1,7,0,0,"1,720"
"Fairfax County",-,"925 - Old Mill (CD 10)",924,596,2,0,1,0,7,"1,530"
"Fairfax County",-,"926 - Powell (CD 11)","1,507",852,5,5,2,2,6,"2,379"
"Fairfax County",-,"927 - Lees Corner West (CD 10)","1,223",958,6,9,4,1,5,"2,206"
"Fairfax County",-,"928 - Poplar Tree (CD 10)",985,891,4,2,1,0,3,"1,886"
"Fairfax County",-,"Ab - Central Absentee Precinct (CD 10)","16,657","8,623",51,54,20,9,57,"25,471"
"Fairfax County",-,"Ab - Central Absentee Precinct (CD 11)","29,332","15,960",126,103,45,8,92,"45,666"
"Fairfax County",-,"Ab - Central Absentee Precinct (CD 8)","21,497","7,610",59,71,25,16,49,"29,327"
"Fairfax County",-,"Provisional Votes (CD 10)",59,35,1,0,0,1,2,98
"Fairfax County",-,"Provisional Votes (CD 11)",131,89,1,1,0,0,0,222
"Fairfax County",-,"Provisional Votes (CD 8)",128,51,0,0,0,0,0,179
"Fairfax City",-,"1 - One (CD 11)",810,491,4,4,7,2,4,"1,322"
"Fairfax City",-,"2 - Two (CD 11)",730,635,3,10,1,0,8,"1,387"
"Fairfax City",-,"3 - Three (CD 11)","1,048",863,6,7,2,1,4,"1,931"
"Fairfax City",-,"4 - Four (CD 11)",885,680,5,7,4,0,5,"1,586"
"Fairfax City",-,"5 - Five (CD 11)",781,560,8,8,2,1,0,"1,360"
"Fairfax City",-,"6 - Six (CD 11)",830,588,1,2,4,0,3,"1,428"
"Fairfax City",-,"Ab - Central Absentee Precinct (CD 11)","1,487",869,6,10,2,0,1,"2,375"
"Fairfax City",-,"Provisional Votes (CD 11)",4,5,0,0,0,0,0,9
"Falls Church City",-,"1 - First Ward (CD 8)",931,410,11,8,2,1,0,"1,363"
"Falls Church City",-,"2 - Second Ward (CD 8)",524,260,4,2,1,0,3,794
"Falls Church City",-,"3 - Third Ward (CD 8)",506,292,1,7,2,2,1,811
"Falls Church City",-,"4 - Fourth Ward (CD 8)",596,310,3,7,1,0,1,918
"Falls Church City",-,"5 - Fifth Ward (CD 8)",502,303,2,2,1,0,5,815
"Falls Church City",-,"Ab - Central Absentee Precinct (CD 8)","1,634",392,6,5,2,1,4,"2,044"
"Falls Church City",-,"Provisional Votes (CD 8)",2,3,0,0,0,0,0,5
"Fauquier County",-,"101 - Kettle Run (CD 1)",466,782,3,5,1,0,0,"1,257"
"Fauquier County",-,"102 - Catlett (CD 1)",663,"1,245",7,6,6,0,5,"1,932"
"Fauquier County",-,"103 - Casanova (CD 1)",427,469,2,1,3,1,0,903
"Fauquier County",-,"104 - Lois (CD 1)",296,513,6,1,1,0,2,819
"Fauquier County",-,"105 - Opal (CD 1)",324,580,0,2,0,0,3,909
"Fauquier County",-,"201 - Courthouse (CD 10)",883,854,3,7,7,2,11,"1,767"
"Fauquier County",-,"202 - Airlie (CD 10)",515,723,4,5,2,1,5,"1,255"
"Fauquier County",-,"203 - Baldwin Ridge (CD 1)",851,"1,160",6,9,4,1,4,"2,035"
"Fauquier County",-,"204 - Warrenton (CD 10)",805,816,3,1,2,0,6,"1,633"
"Fauquier County",-,"301 - Morrisville (CD 1)",413,763,2,1,3,1,6,"1,189"
"Fauquier County",-,"302 - Remington (CD 1)",886,"1,112",4,2,3,1,8,"2,016"
"Fauquier County",-,"303 - Bealeton (CD 1)",915,"1,044",7,1,4,2,4,"1,977"
"Fauquier County",-,"401 - Marshall (CD 10)",818,"1,027",10,8,3,3,1,"1,870"
"Fauquier County",-,"402 - Leeds (CD 10)",810,832,2,8,3,0,6,"1,661"
"Fauquier County",-,"403 - Waterloo (CD 1)","1,141","1,718",8,6,4,2,5,"2,884"
"Fauquier County",-,"501 - The Plains (CD 10)",749,780,5,3,1,0,8,"1,546"
"Fauquier County",-,"502 - New Baltimore (CD 10)","1,134","1,941",16,14,6,0,4,"3,115"
"Fauquier County",-,"503 - Broad Run (CD 10)",520,979,3,2,4,3,3,"1,514"
"Fauquier County",-,"Ab - Central Absentee Precinct (CD 1)",866,895,5,7,2,3,4,"1,782"
"Fauquier County",-,"Ab - Central Absentee Precinct (CD 10)","1,130",991,10,9,3,1,4,"2,148"
"Fauquier County",-,"Provisional Votes (CD 1)",1,0,0,0,0,0,0,1
"Fauquier County",-,"Provisional Votes (CD 10)",3,3,0,0,0,0,0,6
"Floyd County",-,"101 - Locust Grove (CD 9)",510,756,10,2,3,2,1,"1,284"
"Floyd County",-,"201 - Little River (CD 9)",638,832,12,4,9,3,4,"1,502"
"Floyd County",-,"301 - Courthouse (CD 9)",576,739,8,4,6,1,0,"1,334"
"Floyd County",-,"401 - Burks Fork (CD 9)",431,839,11,10,3,3,4,"1,301"
"Floyd County",-,"501 - Indian Valley (CD 9)",386,853,6,4,10,1,2,"1,262"
"Floyd County",-,"Ab - Central Absentee Precinct (CD 9)",396,422,3,7,3,0,2,833
"Floyd County",-,"Provisional Votes (CD 9)",0,0,0,0,0,0,0,0
"Fluvanna County",-,"101 - Palmyra (CD 5)",627,698,1,3,1,0,0,"1,330"
"Fluvanna County",-,"201 - Columbia (CD 5)",860,737,6,6,2,2,2,"1,615"
"Fluvanna County",-,"301 - Fork Union (CD 5)",843,568,3,7,3,1,2,"1,427"
"Fluvanna County",-,"401 - Cunningham (CD 5)",603,"1,198",4,4,2,1,2,"1,814"
