County/City,Ward,Pct,"Glenn Allen Youngkin","Terence Richard McAuliffe","Princess Latece Teira Blanding","All Others","Total Votes Cast"
"Fairfax County",-,"128 - Cardinal (CD 11)",347,596,8,4,955
"Fairfax County",-,"129 - Keene Mill (CD 11)",323,461,7,2,793
"Fairfax County",-,"130 - Terra Centre (CD 11)",424,679,6,3,"1,112"
"Fairfax County",-,"131 - Eagle View (CD 11)",559,726,8,4,"1,297"
"Fairfax County",-,"132 - Monument (CD 11)",414,742,7,0,"1,163"
"Fairfax County",-,"133 - Danbury (CD 11)",127,229,3,0,359
"Fairfax County",-,"134 - University (CD 11)",60,314,7,0,381
"Fairfax County",-,"201 - Armstrong (CD 11)",455,888,11,1,"1,355"
"Fairfax County",-,"202 - Flint Hill (CD 11)",577,736,2,2,"1,317"
"Fairfax County",-,"203 - Floris (CD 11)",674,933,5,4,"1,616"
"Fairfax County",-,"204 - Madison (CD 11)",127,216,5,0,348
"Fairfax County",-,"208 - Reston #1 (CD 11)",454,929,14,0,"1,397"
"Fairfax County",-,"209 - Reston #2 (CD 11)",357,926,11,3,"1,297"
"Fairfax County",-,"213 - Vienna #1 (CD 11)",679,"1,038",7,1,"1,725"
"Fairfax County",-,"214 - Vienna #2 (CD 11)",567,844,8,2,"1,421"
"Fairfax County",-,"216 - Vienna #4 (CD 11)",285,390,6,1,682
"Fairfax County",-,"218 - Vienna #6 (CD 11)",386,550,4,2,942
"Fairfax County",-,"219 - Westbriar (CD 11)",554,815,7,0,"1,376"
"Fairfax County",-,"220 - Dogwood (CD 11)",494,934,10,2,"1,440"
"Fairfax County",-,"221 - Hunters Woods (CD 11)",413,745,7,1,"1,166"
"Fairfax County",-,"222 - Reston #3 (CD 11)",182,633,8,0,823
"Fairfax County",-,"223 - Glade (CD 11)",415,"1,030",9,1,"1,455"
"Fairfax County",-,"224 - South Lakes (CD 11)",546,"1,330",12,4,"1,892"
"Fairfax County",-,"225 - Hughes (CD 11)",381,955,11,2,"1,349"
"Fairfax County",-,"226 - Wolftrap (CD 11)",695,962,6,2,"1,665"
"Fairfax County",-,"227 - Sunrise Valley (CD 11)",314,487,5,1,807
"Fairfax County",-,"229 - Fox Mill (CD 10)",787,"1,083",11,1,"1,882"
"Fairfax County",-,"233 - North Point (CD 11)",595,732,6,3,"1,336"
"Fairfax County",-,"234 - Aldrin (CD 11)",394,653,6,3,"1,056"
"Fairfax County",-,"235 - Frying Pan (CD 11)",388,774,8,1,"1,171"
"Fairfax County",-,"236 - Stuart (CD 11)",232,379,5,0,616
"Fairfax County",-,"237 - Mcnair (CD 11)",344,789,9,4,"1,146"
"Fairfax County",-,"238 - Cameron Glen (CD 11)",397,577,3,2,979
"Fairfax County",-,"240 - Colvin (CD 10)",490,507,3,0,"1,000"
"Fairfax County",-,"301 - Chain Bridge (CD 10)",574,569,4,1,"1,148"
"Fairfax County",-,"302 - Chesterbrook (CD 8)",377,541,0,1,919
"Fairfax County",-,"303 - Churchill (CD 10)",273,362,1,1,637
"Fairfax County",-,"304 - Cooper (CD 10)",380,349,2,2,733
"Fairfax County",-,"305 - El Nido (CD 8)",383,562,4,1,950
"Fairfax County",-,"306 - Great Falls (CD 10)",435,329,3,3,770
"Fairfax County",-,"307 - Haycock (CD 8)",431,663,4,1,"1,099"
"Fairfax County",-,"309 - Kenmore (CD 10)",605,598,7,5,"1,215"
"Fairfax County",-,"310 - Kirby (CD 8)",337,483,1,1,822
"Fairfax County",-,"311 - Langley (CD 10)",405,388,5,0,798
"Fairfax County",-,"312 - Longfellow (CD 8)",361,554,0,1,916
"Fairfax County",-,"314 - Mclean (CD 10)",337,455,0,0,792
"Fairfax County",-,"315 - Pimmit (CD 8)",503,677,5,4,"1,189"
"Fairfax County",-,"316 - Salona #1 (CD 8)",167,179,0,2,348
"Fairfax County",-,"317 - Westhampton (CD 8)",296,495,7,0,798
"Fairfax County",-,"318 - Westmoreland (CD 8)",236,365,0,0,601
"Fairfax County",-,"319 - Herndon #1 (CD 11)",571,837,12,4,"1,424"
"Fairfax County",-,"320 - Herndon #2 (CD 11)",498,761,15,2,"1,276"
"Fairfax County",-,"321 - Clearview (CD 10)",741,979,18,2,"1,740"
"Fairfax County",-,"322 - Forestville (CD 10)",649,476,2,0,"1,127"
"Fairfax County",-,"323 - Shouse (CD 10)",408,560,1,1,970
"Fairfax County",-,"324 - Herndon #3 (CD 11)",431,715,9,1,"1,156"
"Fairfax County",-,"325 - Hutchison (CD 11)",190,546,7,0,743
"Fairfax County",-,"327 - Sugarland (CD 10)",641,834,4,1,"1,480"
"Fairfax County",-,"328 - Hickory (CD 10)",526,494,1,0,"1,021"
"Fairfax County",-,"329 - Seneca (CD 10)",668,599,3,3,"1,273"
"Fairfax County",-,"331 - Spring Hill (CD 10)",370,404,0,2,776
"Fairfax County",-,"332 - Coates (CD 11)",448,893,15,3,"1,359"
"Fairfax County",-,"333 - Salona #2 (CD 8)",281,389,3,1,674
"Fairfax County",-,"401 - Bush Hill (CD 8)",575,910,4,4,"1,493"
"Fairfax County",-,"402 - Cameron (CD 8)",160,365,1,1,527
"Fairfax County",-,"403 - Forestdale (CD 8)",185,331,5,1,522
"Fairfax County",-,"404 - Franconia (CD 8)",477,895,7,0,"1,379"
"Fairfax County",-,"405 - Groveton (CD 8)",190,463,5,0,658
"Fairfax County",-,"406 - Hayfield (CD 8)",497,657,6,1,"1,161"
"Fairfax County",-,"408 - Mount Eagle (CD 8)",232,731,12,2,977
"Fairfax County",-,"409 - Pioneer (CD 8)",500,827,4,2,"1,333"
"Fairfax County",-,"410 - Rose Hill (CD 8)",713,"1,064",6,3,"1,786"
"Fairfax County",-,"411 - Virginia Hills (CD 8)",338,633,9,2,982
"Fairfax County",-,"413 - Fairfield (CD 8)",156,569,3,1,729
"Fairfax County",-,"415 - Crestwood (CD 8)",486,644,12,4,"1,146"
"Fairfax County",-,"417 - Garfield (CD 8)",515,811,8,0,"1,334"
"Fairfax County",-,"418 - Lynbrook (CD 8)",303,457,2,1,763
"Fairfax County",-,"419 - Lane #1 (CD 8)",139,310,2,0,451
"Fairfax County",-,"420 - Villages (CD 8)",595,"1,091",9,2,"1,697"
"Fairfax County",-,"421 - Kingstowne (CD 8)",437,823,10,1,"1,271"
"Fairfax County",-,"422 - Van Dorn (CD 8)",421,899,12,1,"1,333"
"Fairfax County",-,"423 - Clermont (CD 8)",449,716,7,1,"1,173"
"Fairfax County",-,"424 - Huntley (CD 8)",412,739,4,0,"1,155"
"Fairfax County",-,"426 - Greenspring (CD 11)",292,674,2,2,970
"Fairfax County",-,"427 - Island Creek (CD 8)",394,784,1,3,"1,182"
"Fairfax County",-,"428 - Pinewood (CD 8)",197,690,11,2,900
"Fairfax County",-,"429 - Hybla Valley (CD 8)",217,720,11,2,950
"Fairfax County",-,"430 - Lane #2 (CD 8)",275,581,8,0,864
"Fairfax County",-,"501 - Baileys #1 (CD 8)",227,488,5,0,720
"Fairfax County",-,"502 - Barcroft (CD 11)",197,366,2,0,565
"Fairfax County",-,"503 - Belvedere (CD 11)",210,385,3,2,600
"Fairfax County",-,"504 - Bristow (CD 11)",348,564,7,2,921
"Fairfax County",-,"505 - Glen Forest (CD 8)",338,676,12,0,"1,026"
"Fairfax County",-,"506 - Holmes #1 (CD 8)",64,121,1,0,186
"Fairfax County",-,"507 - Lincolnia (CD 8)",351,752,5,1,"1,109"
"Fairfax County",-,"508 - Masonville (CD 11)",430,697,6,1,"1,134"
"Fairfax County",-,"509 - Plaza (CD 8)",102,395,4,0,501
"Fairfax County",-,"510 - Parklawn (CD 8)",309,497,2,2,810
"Fairfax County",-,"511 - Ravenwood (CD 11)",348,636,12,3,999
"Fairfax County",-,"512 - Sleepy Hollow (CD 11)",249,395,1,0,645
"Fairfax County",-,"513 - Saint Albans (CD 11)",329,544,4,2,879
"Fairfax County",-,"513 - Saint Albans (CD 8)",21,52,1,0,74
"Fairfax County",-,"514 - Crossroads (CD 8)",82,323,1,0,406
"Fairfax County",-,"515 - Westlawn (CD 8)",244,394,3,0,641
"Fairfax County",-,"516 - Weyanoke #1 (CD 8)",246,321,6,0,573
"Fairfax County",-,"517 - Willston (CD 8)",222,370,2,2,596
"Fairfax County",-,"518 - Columbia (CD 11)",398,566,7,1,972
"Fairfax County",-,"519 - Hummer (CD 11)",319,446,4,0,769
"Fairfax County",-,"520 - Skyline (CD 8)",183,531,2,0,716
"Fairfax County",-,"521 - Brook Hill (CD 8)",379,452,4,1,836
"Fairfax County",-,"522 - Camelot #1 (CD 11)",77,110,1,0,188
"Fairfax County",-,"523 - Poe (CD 8)",406,546,6,2,960
"Fairfax County",-,"525 - Walnut Hill (CD 8)",491,714,9,3,"1,217"
"Fairfax County",-,"526 - Bren Mar (CD 8)",400,931,9,2,"1,342"
"Fairfax County",-,"527 - Edsall (CD 8)",382,522,8,2,914
"Fairfax County",-,"528 - Ridgelea (CD 11)",261,369,8,0,638
"Fairfax County",-,"530 - Holmes #2 (CD 11)",160,441,4,0,605
"Fairfax County",-,"531 - Baileys #2 (CD 8)",130,280,3,0,413
"Fairfax County",-,"532 - Weyanoke #2 (CD 8)",199,393,4,1,597
"Fairfax County",-,"534 - Camelot #2 (CD 11)",237,336,3,0,576
"Fairfax County",-,"601 - Belle Haven (CD 8)",381,445,6,0,832
"Fairfax County",-,"602 - Belleview (CD 8)",379,512,5,3,899
"Fairfax County",-,"604 - Bucknell (CD 8)",325,763,9,1,"1,098"
"Fairfax County",-,"605 - Fort Hunt (CD 8)",467,513,4,2,986
"Fairfax County",-,"606 - Hollin Hall (CD 8)",470,584,4,1,"1,059"
"Fairfax County",-,"607 - Huntington (CD 8)",336,782,15,3,"1,136"
"Fairfax County",-,"608 - Kirkside (CD 8)",216,487,0,0,703
"Fairfax County",-,"609 - Marlan (CD 8)",385,431,2,2,820
"Fairfax County",-,"610 - Sherwood (CD 8)",218,434,1,0,653
"Fairfax County",-,"611 - Stratford (CD 8)",505,631,6,2,"1,144"
"Fairfax County",-,"612 - Waynewood (CD 8)",264,333,3,0,600
"Fairfax County",-,"613 - Westgate (CD 8)",808,645,7,0,"1,460"
"Fairfax County",-,"614 - Riverside (CD 8)",396,464,3,2,865
"Fairfax County",-,"615 - Woodley (CD 8)",445,614,6,3,"1,068"
"Fairfax County",-,"616 - Gunston (CD 8)",665,556,6,1,"1,228"
"Fairfax County",-,"617 - Lorton (CD 8)",268,543,1,0,812
"Fairfax County",-,"618 - Newington (CD 11)",876,"1,325",14,5,"2,220"
"Fairfax County",-,"619 - Belvoir (CD 8)",455,713,4,0,"1,172"
"Fairfax County",-,"621 - Grosvenor (CD 8)",223,563,4,4,794
"Fairfax County",-,"622 - Lorton Station (CD 8)",338,903,15,0,"1,256"
"Fairfax County",-,"623 - Alban (CD 8)",431,810,15,5,"1,261"
"Fairfax County",-,"626 - Saratoga (CD 8)",608,821,5,4,"1,438"
"Fairfax County",-,"627 - Woodlawn (CD 8)",393,832,12,0,"1,237"
"Fairfax County",-,"628 - Laurel Hill (CD 11)",523,"1,145",16,5,"1,689"
"Fairfax County",-,"629 - South County (CD 11)",614,812,11,2,"1,439"
"Fairfax County",-,"630 - Army (CD 8)",133,199,1,0,333
"Fairfax County",-,"701 - Blake (CD 11)",533,981,10,1,"1,525"
"Fairfax County",-,"703 - Fort Buffalo (CD 8)",241,514,4,1,760
"Fairfax County",-,"704 - Freedom Hill (CD 11)",362,603,1,0,966
"Fairfax County",-,"705 - Graham - Greenway (CD 8)",436,933,7,2,"1,378"
"Fairfax County",-,"707 - Mantua (CD 11)",357,634,3,0,994
"Fairfax County",-,"708 - Marshall (CD 8)",481,941,8,8,"1,438"
"Fairfax County",-,"709 - Mosby (CD 11)",379,717,11,3,"1,110"
"Fairfax County",-,"710 - Pine Spring (CD 8)",263,591,7,2,863
"Fairfax County",-,"711 - Price (CD 11)",342,506,5,3,856
"Fairfax County",-,"712 - Shreve (CD 8)",238,408,4,1,651
"Fairfax County",-,"713 - Timber Lane (CD 8)",364,874,13,2,"1,253"
"Fairfax County",-,"714 - Walker (CD 11)",458,764,6,0,"1,228"
"Fairfax County",-,"717 - Woodburn (CD 11)",232,520,5,1,758
"Fairfax County",-,"718 - Pine Ridge (CD 11)",344,497,11,1,853
"Fairfax County",-,"720 - Thoreau (CD 11)",490,754,12,1,"1,257"
"Fairfax County",-,"721 - Merrifield (CD 11)",379,953,11,1,"1,344"
"Fairfax County",-,"723 - Gallows East (CD 11)",170,415,7,1,593
"Fairfax County",-,"726 - Magarity (CD 8)",432,827,7,1,"1,267"
"Fairfax County",-,"727 - Oakton (CD 11)",473,575,1,5,"1,054"
"Fairfax County",-,"729 - Nottoway (CD 11)",363,600,3,2,968
"Fairfax County",-,"730 - Penderbrook (CD 11)",580,938,3,0,"1,521"
"Fairfax County",-,"731 - Tysons (CD 11)",390,672,7,1,"1,070"
"Fairfax County",-,"732 - Oak Marr (CD 11)",711,722,9,1,"1,443"
"Fairfax County",-,"733 - Kilmer (CD 11)",523,942,10,1,"1,476"
"Fairfax County",-,"734 - Hunters Branch (CD 11)",211,382,4,0,597
"Fairfax County",-,"735 - Rotonda (CD 11)",193,334,4,2,533
"Fairfax County",-,"801 - Burke (CD 11)",708,"1,019",12,2,"1,741"
"Fairfax County",-,"802 - Cedar Lake (CD 11)",173,276,6,0,455
"Fairfax County",-,"803 - Clifton (CD 10)","1,055",694,5,1,"1,755"
"Fairfax County",-,"804 - Colchester (CD 10)",443,379,5,1,828
"Fairfax County",-,"805 - Fairfax Station (CD 10)",399,394,1,1,795
"Fairfax County",-,"806 - Sydenstricker (CD 11)",604,868,4,1,"1,477"
"Fairfax County",-,"807 - Hunt Valley (CD 11)",427,555,7,1,990
"Fairfax County",-,"811 - Pohick (CD 11)",305,519,0,1,825
"Fairfax County",-,"812 - Valley (CD 11)",512,679,17,2,"1,210"
"Fairfax County",-,"815 - Woodyard (CD 10)",633,535,3,3,"1,174"
"Fairfax County",-,"824 - Orange (CD 11)",744,929,16,4,"1,693"
"Fairfax County",-,"825 - Cherry Run (CD 11)",571,690,5,1,"1,267"
"Fairfax County",-,"827 - Irving (CD 11)",409,650,3,1,"1,063"
"Fairfax County",-,"833 - White Oaks (CD 11)",540,758,2,3,"1,303"
"Fairfax County",-,"838 - Sangster (CD 10)",486,514,9,1,"1,010"
"Fairfax County",-,"839 - Silverbrook (CD 10)",769,874,6,1,"1,650"
"Fairfax County",-,"840 - West Springfield (CD 11)",527,775,4,0,"1,306"
"Fairfax County",-,"841 - Popes Head (CD 10)",404,348,2,1,755
"Fairfax County",-,"842 - Parkway (CD 11)",533,451,3,0,987
"Fairfax County",-,"843 - Fair Lakes (CD 11)",529,796,8,1,"1,334"
"Fairfax County",-,"844 - Centerpointe (CD 11)",298,477,6,2,783
"Fairfax County",-,"845 - Fountainhead (CD 10)",983,775,9,3,"1,770"
"Fairfax County",-,"846 - Greenbriar East (CD 11)",491,781,10,0,"1,282"
"Fairfax County",-,"847 - Greenbriar West (CD 10)",433,571,2,3,"1,009"
"Fairfax County",-,"848 - Fair Oaks (CD 11)",446,639,9,2,"1,096"
"Fairfax County",-,"849 - Newgate (CD 10)","1,065",996,12,2,"2,075"
"Fairfax County",-,"850 - South Run (CD 10)",616,557,1,2,"1,176"
"Fairfax County",-,"851 - Willow Springs (CD 11)",533,589,3,2,"1,127"
"Fairfax County",-,"901 - Centre Ridge (CD 11)",419,664,8,0,"1,091"
"Fairfax County",-,"902 - Brookfield (CD 10)",637,887,6,1,"1,531"
"Fairfax County",-,"903 - Cub Run (CD 10)",716,823,7,0,"1,546"
"Fairfax County",-,"904 - Stonecroft (CD 10)",319,258,3,1,581
"Fairfax County",-,"905 - Franklin (CD 10)",171,271,3,0,445
"Fairfax County",-,"908 - Hidden Meadow (CD 10)",481,587,1,2,"1,071"
"Fairfax County",-,"909 - Oak Hill (CD 10)",408,562,1,1,972
"Fairfax County",-,"910 - London Towne (CD 11)",481,854,13,2,"1,350"
"Fairfax County",-,"911 - Navy (CD 10)",631,799,10,3,"1,443"
"Fairfax County",-,"913 - Rocky Run (CD 10)",818,847,6,2,"1,673"
"Fairfax County",-,"914 - Vale (CD 10)",475,507,5,1,988
"Fairfax County",-,"915 - Virginia Run (CD 10)",701,512,3,0,"1,216"
"Fairfax County",-,"916 - Waples Mill (CD 10)",885,927,4,0,"1,816"
"Fairfax County",-,"917 - Stone North (CD 10)",325,454,2,1,782
"Fairfax County",-,"918 - Centreville (CD 11)",592,928,7,1,"1,528"
"Fairfax County",-,"919 - Green Trails (CD 11)",615,967,8,2,"1,592"
"Fairfax County",-,"920 - Chantilly (CD 10)",472,640,4,0,"1,116"
"Fairfax County",-,"921 - Deer Park (CD 10)",659,660,5,0,"1,324"
"Fairfax County",-,"923 - Bull Run (CD 10)",593,476,4,1,"1,074"
"Fairfax County",-,"924 - Spindle (CD 11)",212,354,9,0,575
"Fairfax County",-,"925 - Old Mill (CD 10)",328,404,6,0,738
"Fairfax County",-,"926 - Powell (CD 11)",694,924,9,2,"1,629"
"Fairfax County",-,"927 - Armfield (CD 10)",346,462,2,1,811
"Fairfax County",-,"928 - Poplar Tree (CD 10)",590,627,9,1,"1,227"
"Fairfax County",-,"929 - Difficult Run (CD 10)",201,182,0,0,383
"Fairfax County",-,"930 - Lees Corner (CD 10)",389,539,8,0,936
"Fairfax County",-,"931 - Carson (CD 10)",380,647,4,2,"1,033"
"Fairfax County",-,"932 - Stone South (CD 10)",206,380,5,1,592
"Fairfax County",-,"933 - Compton (CD 11)",132,171,5,0,308
"Fairfax County",-,"##ab - Central Absentee Precinct (CD 10)","2,437","8,938",48,16,"11,439"
"Fairfax County",-,"##ab - Central Absentee Precinct (CD 11)","4,571","24,362",256,24,"29,213"
"Fairfax County",-,"##ab - Central Absentee Precinct (CD 8)","2,642","14,109",133,17,"16,901"
"Fairfax County",-,"##ev - Central Absentee Precinct (CD 10)","10,471","15,308",49,9,"25,837"
"Fairfax County",-,"##ev - Central Absentee Precinct (CD 11)","15,841","36,461",148,33,"52,483"
"Fairfax County",-,"##ev - Central Absentee Precinct (CD 8)","8,895","22,291",88,26,"31,300"
"Fairfax County",-,"##pe - Central Absentee Precinct (CD 10)",490,"1,153",11,2,"1,656"
"Fairfax County",-,"##pe - Central Absentee Precinct (CD 11)",851,"3,409",61,5,"4,326"
"Fairfax County",-,"##pe - Central Absentee Precinct (CD 8)",527,"2,166",31,5,"2,729"
"Fairfax County",-,"Provisional (CD 10)",81,185,3,2,269
"Fairfax County",-,"Provisional (CD 11)",234,641,11,0,886
"Fairfax County",-,"Provisional (CD 8)",116,406,4,2,526
"Fairfax City",-,"1 - One",338,542,4,1,885
"Fairfax City",-,"2 - Two",422,488,5,1,916
"Fairfax City",-,"3 - Three",513,643,9,1,"1,166"
"Fairfax City",-,"4 - Four",346,439,6,4,795
"Fairfax City",-,"5 - Five",323,516,3,0,842
"Fairfax City",-,"6 - Six",378,536,3,0,917
"Fairfax City",-,"##ab - Central Absentee Precinct",212,"1,135",15,2,"1,364"
"Fairfax City",-,"##ev - Central Absentee Precinct","1,056","2,116",11,3,"3,186"
"Fairfax City",-,"##pe - Central Absentee Precinct",10,31,2,0,43
"Fairfax City",-,Provisional,8,19,1,0,28
"Falls Church City",-,"1 - First Ward",332,811,10,0,"1,153"
"Falls Church City",-,"2 - Second Ward",286,597,6,3,892
"Falls Church City",-,"3 - Third Ward",343,743,11,3,"1,100"
"Falls Church City",-,"##ab - Central Absentee Precinct",112,833,6,0,951
"Falls Church City",-,"##ev - Central Absentee Precinct",508,"2,368",9,0,"2,885"
"Falls Church City",-,"##pe - Central Absentee Precinct",7,21,0,0,28
"Falls Church City",-,Provisional,2,15,0,0,17
"Fauquier County",-,"101 - Kettle Run (CD 5)",458,110,6,1,575
"Fauquier County",-,"102 - Catlett (CD 1)","1,110",212,4,0,"1,326"
"Fauquier County",-,"103 - Casanova (CD 5)",474,156,3,0,633
"Fauquier County",-,"104 - Lois (CD 1)",487,121,0,0,608
"Fauquier County",-,"105 - Opal (CD 5)",515,119,2,2,638
"Fauquier County",-,"106 - Baldwin Ridge (CD 5)",561,224,3,1,789
"Fauquier County",-,"201 - Courthouse (CD 5)",807,524,10,1,"1,342"
"Fauquier County",-,"202 - Airlie (CD 5)",728,314,11,0,"1,053"
"Fauquier County",-,"203 - Warrenton (CD 5)",741,493,3,0,"1,237"
"Fauquier County",-,"301 - Morrisville (CD 1)",786,158,4,0,948
"Fauquier County",-,"302 - Remington (CD 5)",969,333,9,0,"1,311"
"Fauquier County",-,"303 - Bealeton (CD 1)","1,083",441,7,0,"1,531"
"Fauquier County",-,"401 - Marshall (CD 5)",849,387,3,1,"1,240"
"Fauquier County",-,"402 - Leeds (CD 5)",798,408,5,0,"1,211"
"Fauquier County",-,"403 - Waterloo (CD 5)",896,263,7,1,"1,167"
"Fauquier County",-,"404 - Springs Valley (CD 5)",416,170,4,0,590
"Fauquier County",-,"501 - The Plains (CD 5)",702,440,2,2,"1,146"
"Fauquier County",-,"502 - New Baltimore (CD 5)",873,302,10,0,"1,185"
"Fauquier County",-,"503 - Broad Run (CD 5)",692,234,3,2,931
"Fauquier County",-,"504 - Vint Hill (CD 5)","1,101",405,3,1,"1,510"
"Fauquier County",-,"##ab - Central Absentee Precinct (CD 1)",115,218,5,0,338
"Fauquier County",-,"##ab - Central Absentee Precinct (CD 5)",700,"1,437",28,0,"2,165"
"Fauquier County",-,"##ev - Central Absentee Precinct (CD 1)","1,170",571,2,0,"1,743"
"Fauquier County",-,"##ev - Central Absentee Precinct (CD 5)","5,174","3,459",16,2,"8,651"
"Fauquier County",-,"##pe - Central Absentee Precinct (CD 1)",6,10,0,0,16
"Fauquier County",-,"##pe - Central Absentee Precinct (CD 5)",13,27,5,0,45
"Fauquier County",-,"Provisional (CD 1)",2,5,0,0,7
"Fauquier County",-,"Provisional (CD 5)",26,29,1,0,56
"Floyd County",-,"101 - Locust Grove",819,243,11,0,"1,073"
"Floyd County",-,"201 - Little River",825,259,16,2,"1,102"
"Floyd County",-,"301 - Courthouse",553,231,5,2,791
"Floyd County",-,"401 - Burks Fork",826,191,3,1,"1,021"
"Floyd County",-,"501 - Indian Valley",963,155,6,1,"1,125"
"Floyd County",-,"##ab - Central Absentee Precinct",165,310,7,0,482
"Floyd County",-,"##ev - Central Absentee Precinct","1,074",798,11,0,"1,883"
"Floyd County",-,"##pe - Central Absentee Precinct",2,11,0,0,13
"Floyd County",-,Provisional,3,5,0,0,8
"Fluvanna County",-,"101 - Palmyra",902,536,10,3,"1,451"
"Fluvanna County",-,"201 - Columbia",842,386,5,2,"1,235"
"Fluvanna County",-,"301 - Fork Union",803,427,9,0,"1,239"
"Fluvanna County",-,"401 - Cunningham","1,123",295,8,0,"1,426"
"Fluvanna County",-,"501 - Rivanna",719,480,10,1,"1,210"
"Fluvanna County",-,"##ab - Central Absentee Precinct",240,925,11,1,"1,177"
"Fluvanna County",-,"##ev - Central Absentee Precinct","2,419","2,226",11,2,"4,658"
"Fluvanna County",-,"##pe - Central Absentee Precinct",11,29,1,0,41
"Fluvanna County",-,Provisional,9,8,0,0,17
"Franklin County",-,"102 - Burnt Chimney","1,056",238,9,1,"1,304"
"Franklin County",-,"103 - Scruggs","1,650",428,6,1,"2,085"
"Franklin County",-,"201 - Glade Hill",977,154,1,0,"1,132"
"Franklin County",-,"202 - Penhook",624,184,1,0,809
"Franklin County",-,"203 - Hodgesville",153,34,2,0,189
"Franklin County",-,"204 - Dudley",554,121,3,0,678
"Franklin County",-,"301 - Snow Creek",450,78,1,0,529
"Franklin County",-,"302 - Fork Mountain",416,70,5,0,491
"Franklin County",-,"303 - Sontag",579,215,3,1,798
"Franklin County",-,"304 - Dickinson",279,95,1,0,375
"Franklin County",-,"401 - Henry",791,100,4,0,895
"Franklin County",-,"402 - Ferrum",393,102,6,0,501
"Franklin County",-,"403 - Endicott",452,71,1,0,524
"Franklin County",-,"501 - Waidsboro",477,110,3,0,590
"Franklin County",-,"502 - Callaway",730,130,4,0,864
"Franklin County",-,"503 - Bowmans",391,109,0,0,500
"Franklin County",-,"504 - Gogginsville",601,141,4,0,746
"Franklin County",-,"601 - Boones Mill",882,189,5,0,"1,076"
"Franklin County",-,"602 - Bonbrook",867,158,5,0,"1,030"
"Franklin County",-,"603 - Coopers Cove",663,117,5,0,785
"Franklin County",-,"701 - Rocky Mount East",651,234,2,0,887
"Franklin County",-,"702 - Rocky Mount West",431,193,3,0,627
"Franklin County",-,"703 - Rocky Mount South",378,155,2,1,536
"Franklin County",-,"##ab - Central Absentee Precinct",512,811,11,1,"1,335"
"Franklin County",-,"##ev - Central Absentee Precinct","2,851","1,628",12,5,"4,496"
"Franklin County",-,"##pe - Central Absentee Precinct",30,22,2,0,54
"Franklin County",-,Provisional,4,7,1,0,12
"Franklin City",-,"101 - Precinct 1-1",340,113,1,0,454
"Franklin City",-,"201 - Precinct 2-1",264,162,3,0,429
"Franklin City",-,"301 - Precinct 3-1",33,233,1,0,267
"Franklin City",-,"401 - Precinct 4-1",31,159,1,0,191
"Franklin City",-,"501 - Precinct 5-1",15,199,2,0,216
"Franklin City",-,"601 - Precinct 6-1",190,148,1,1,340
"Franklin City",-,"##ab - Central Absentee Precinct",38,168,2,0,208
"Franklin City",-,"##ev - Central Absentee Precinct",358,494,3,0,855
"Franklin City",-,"##pe - Central Absentee Precinct",0,2,0,0,2
"Franklin City",-,Provisional,1,2,0,0,3
"Frederick County",-,"101 - Russells",966,198,3,0,"1,167"
"Frederick County",-,"102 - Gore","1,263",266,4,1,"1,534"
"Frederick County",-,"103 - Kernstown","1,014",314,2,1,"1,331"
"Frederick County",-,"104 - Cedar Creek",689,190,3,2,884
"Frederick County",-,"201 - Gainesborough",726,95,5,0,826
"Frederick County",-,"202 - Albin",896,220,2,1,"1,119"
"Frederick County",-,"203 - Redland","1,261",315,3,0,"1,579"
"Frederick County",-,"204 - Nain",800,199,2,1,"1,002"
"Frederick County",-,"301 - Clear Brook",670,126,6,1,803
"Frederick County",-,"302 - Neff's Town","1,119",603,12,1,"1,735"
"Frederick County",-,"303 - White Hall","1,209",376,4,1,"1,590"
"Frederick County",-,"401 - Carpers Valley",753,321,6,0,"1,080"
"Frederick County",-,"402 - Shenandoah",608,192,3,0,803
"Frederick County",-,"403 - Parkin's Mill",928,334,7,1,"1,270"
"Frederick County",-,"404 - Armel",787,368,4,1,"1,160"
"Frederick County",-,"501 - Stephens City",951,440,5,1,"1,397"
"Frederick County",-,"502 - Newtown","1,239",434,5,1,"1,679"
"Frederick County",-,"503 - Canterburg","1,166",490,7,0,"1,663"
"Frederick County",-,"601 - Millbrook",597,230,3,1,831
"Frederick County",-,"602 - Ash Hollow",658,327,6,0,991
"Frederick County",-,"603 - Greenwood","1,326",566,9,0,"1,901"
"Frederick County",-,"##ab - Central Absentee Precinct",749,"1,577",18,3,"2,347"
"Frederick County",-,"##ev - Central Absentee Precinct","4,604","2,884",10,2,"7,500"
"Frederick County",-,"##pe - Central Absentee Precinct",62,76,1,0,139
"Frederick County",-,Provisional,22,23,0,0,45
"Fredericksburg City",-,"101 - Precinct 1 - District One",743,828,18,4,"1,593"
"Fredericksburg City",-,"201 - Precinct 1 - District Two",560,750,28,6,"1,344"
"Fredericksburg City",-,"301 - Precinct 1 - District Three",582,589,11,1,"1,183"
"Fredericksburg City",-,"401 - Precinct 1 - District Four",192,507,12,0,711
"Fredericksburg City",-,"402 - Precinct 2 - District Four",237,332,10,3,582
"Fredericksburg City",-,"##ab - Central Absentee Precinct",187,839,12,0,"1,038"
"Fredericksburg City",-,"##ev - Central Absentee Precinct",993,"1,535",22,3,"2,553"
"Fredericksburg City",-,"##pe - Central Absentee Precinct",3,9,0,0,12
