County/City,Ward,Pct,"Mark Robert Warner","Edward Walter Gillespie","Robert Christopher Sarvis","All Others","Total Votes Cast"
,,,Democratic,Republican,Libertarian
"Prince William County",-,"710 - Powells Creek (CD 11)",528,134,14,1,677
"Prince William County",-,"711 - Grayson (CD 11)",532,263,16,0,811
"Prince William County",-,"712 - Leesylvania (CD 11)",580,402,22,0,"1,004"
"Prince William County",-,"Ab - Central Absentee Precinct (CD 1)","1,113","1,322",33,1,"2,469"
"Prince William County",-,"Ab - Central Absentee Precinct (CD 10)",669,884,14,0,"1,567"
"Prince William County",-,"Ab - Central Absentee Precinct (CD 11)","1,174",748,27,0,"1,949"
"Prince William County",-,"Provisional (CD 1)",9,3,0,0,12
"Prince William County",-,"Provisional (CD 10)",7,2,0,0,9
"Prince William County",-,"Provisional (CD 11)",10,8,0,0,18
"Pulaski County",-,"101 - Belspring",158,187,8,0,353
"Pulaski County",-,"102 - New River",532,513,17,3,"1,065"
"Pulaski County",-,"103 - West Cloyd",207,285,9,1,502
"Pulaski County",-,"201 - Draper",232,398,16,1,647
"Pulaski County",-,"202 - South Pulaski",54,68,6,0,128
"Pulaski County",-,"203 - Newbern",385,498,27,1,911
"Pulaski County",-,"301 - Dublin",303,556,21,0,880
"Pulaski County",-,"302 - Hiwassee",47,133,4,1,185
"Pulaski County",-,"304 - Snowville",170,350,15,1,536
"Pulaski County",-,"401 - Massie",445,724,29,0,"1,198"
"Pulaski County",-,"402 - Walker",104,271,10,0,385
"Pulaski County",-,"501 - Robinson",535,648,32,0,"1,215"
"Pulaski County",-,"Ab - Central Absentee Precinct",125,165,4,0,294
"Pulaski County",-,Provisional,4,0,0,0,4
"Radford City",-,"1 - East Precinct",415,308,23,4,750
"Radford City",-,"2 - Central Precinct",534,431,29,1,995
"Radford City",-,"3 - West Precinct",427,464,27,2,920
"Radford City",-,"Ab - Central Absentee Precinct",70,53,3,0,126
"Rappahannock County",-,"101 - Washington",265,289,5,1,560
"Rappahannock County",-,"201 - Amissville",180,365,12,0,557
"Rappahannock County",-,"301 - Sperryville",246,239,9,0,494
"Rappahannock County",-,"401 - Scrabble",200,249,12,3,464
"Rappahannock County",-,"501 - Chester Gap",65,153,5,0,223
"Rappahannock County",-,"502 - Flint Hill",143,169,7,0,319
"Rappahannock County",-,"Ab - Central Absentee Precinct",113,66,3,0,182
"Rappahannock County",-,Provisional,1,1,0,0,2
"Richmond County",-,"101 - Precinct 1-1",295,152,9,0,456
"Richmond County",-,"201 - Precinct 2-1",94,244,8,0,346
"Richmond County",-,"301 - Precinct 3-1",152,242,3,0,397
"Richmond County",-,"401 - Precinct 4-1",143,230,6,2,381
"Richmond County",-,"501 - Precinct 5-1",133,279,10,0,422
"Richmond County",-,"Ab - Central Absentee Precinct",26,47,0,0,73
"Richmond County",-,Provisional,1,0,0,0,1
"Richmond City",-,"101 - One Hundred One (CD 7)",545,554,33,0,"1,132"
"Richmond City",-,"102 - One Hundred Two (CD 7)",307,378,19,1,705
"Richmond City",-,"104 - One Hundred Four (CD 7)",469,615,28,0,"1,112"
"Richmond City",-,"105 - One Hundred Five (CD 7)",460,395,35,1,891
"Richmond City",-,"106 - One Hundred Six (CD 7)",378,829,15,0,"1,222"
"Richmond City",-,"111 - One Hundred Eleven (CD 7)",450,351,36,0,837
"Richmond City",-,"112 - One Hundred Twelve (CD 7)",381,274,24,0,679
"Richmond City",-,"113 - One Hundred Thirteen (CD 3)",638,195,43,1,877
"Richmond City",-,"114 - One Hundred Fourteen (CD 3)",733,275,86,0,"1,094"
"Richmond City",-,"203 - Two Hundred Three (CD 3)",759,195,29,1,984
"Richmond City",-,"204 - Two Hundred Four (CD 3)",575,244,44,1,864
"Richmond City",-,"206 - Two Hundred Six (CD 3)",425,80,39,0,544
