block_geoid20,total_population_2020,voting_age_population_2020
510010904022076,0,0
510010904022077,0,0
510010904022078,4,4
510010904022079,0,0
510010904022080,0,0
510010904022081,0,0
510010904022082,0,0
510010904022083,0,0
510010904022084,0,0
510010904022085,0,0
510010904022086,0,0
510010904022087,0,0
510010904022088,0,0
510010904022089,56,43
510010904022090,0,0
510010905001000,0,0
510010905001001,0,0
510010905001002,0,0
510010905001003,0,0
510010905001004,0,0
510010905001005,0,0
510010905001006,0,0
510010905001007,0,0
510010905001008,58,52
510010905001009,0,0
510010905001010,0,0
510010905001011,0,0
510010905001012,0,0
510010905001013,0,0
510010905001014,7,5
510010905001015,34,28
510010905001016,45,37
510010905001017,0,0
510010905001018,27,18
510010905001019,20,14
510010905001020,22,18
510010905001021,11,11
510010905001022,2,2
510010905001023,0,0
510010905001024,42,35
510010905001025,0,0
510010905001026,0,0
510010905001027,24,23
510010905001028,19,18
510010905001029,2,2
510010905001030,12,10
510010905001031,20,11
510010905001032,14,14
510010905001033,15,14
510010905001034,12,7
510010905001035,27,22
510010905001036,1,0
510010905001037,0,0
510010905001038,7,5
510010905001039,101,80
510010905001040,26,18
510010905001041,0,0
510010905001042,0,0
510010905001043,25,21
510010905001044,5,2
510010905001045,25,9
510010905002000,12,6
510010905002001,30,30
510010905002002,22,18
510010905002003,25,21
510010905002004,13,11
510010905002005,0,0
510010905002006,16,7
510010905002007,24,14
510010905002008,23,16
510010905002009,0,0
510010905002010,10,9
510010905002011,32,20
510010905002012,22,22
510010905002013,16,14
510010905002014,13,11
510010905002015,10,7
510010905002016,0,0
510010905002017,21,19
510010905002018,12,9
510010905002019,0,0
510010905002020,42,34
510010905002021,24,18
510010905002022,11,10
510010905002023,2,0
510010905002024,6,5
510010905002025,12,4
510010905002026,0,0
510010905002027,1,1
510010905002028,4,3
510010905002029,5,5
510010905002030,7,7
510010905002031,9,7
510010905002032,22,17
510010905002033,4,4
510010905002034,21,17
510010905002035,12,7
510010905002036,0,0
510010905002037,6,6
510010905002038,22,20
510010905002039,8,7
510010905002040,13,9
510010905002041,7,6
510010905002042,5,5
510010905002043,35,29
510010905002044,9,9
510010905002045,12,6
510010905002046,19,18
510010905002047,5,4
510010905002048,1,1
510010905002049,9,6
510010905002050,7,6
510010905002051,17,16
510010905002052,9,9
510010905002053,0,0
510010905002054,2,1
510010905002055,6,5
510010905002056,0,0
510010905002057,11,10
510010905002058,10,8
510010905002059,7,7
510010905002060,3,2
510010905002061,11,5
510010905002062,16,15
510010905002063,14,13
510010905002064,22,17
510010905002065,9,8
510010905002066,22,19
510010905002067,11,7
510010905002068,0,0
510010905002069,5,2
510010905002070,18,16
510010905002071,20,9
510010905002072,15,15
510010905002073,34,30
510010905002074,14,12
510010905002075,7,6
510010905002076,0,0
510010905002077,47,38
510010905002078,8,7
510010905002079,12,12
510010905002080,11,11
510010905002081,11,8
510010905002082,11,8
510010905002083,7,7
510010905002084,71,65
510010905002085,7,7
510010905002086,27,18
510010905002087,4,4
510010905002088,9,8
510010905002089,36,30
510010905003000,10,10
510010905003001,13,5
510010905003002,24,13
510010905003003,0,0
510010905003004,11,11
510010905003005,31,25
510010905003006,35,26
510010905003007,3,3
510010905003008,33,21
510010905003009,0,0
510010905003010,0,0
510010905003011,16,14
510010905003012,97,53
510010905003013,7,7
510010905003014,4,2
510010905003015,0,0
510010905003016,0,0
510010905003017,19,16
510010905003018,0,0
510010905003019,5,4
510010905003020,9,8
510010905003021,27,17
510010905003022,8,6
510010905003023,34,19
510010905003024,5,5
510010905003025,18,12
510010905003026,7,6
510010905003027,66,57
510010905003028,4,0
510010905003029,24,22
510010905003030,2,1
510010905003031,8,6
510010905003032,14,11
510010905003033,9,7
510010905003034,9,0
510010905003035,6,6
510010905003036,25,19
510010905003037,22,14
510010905003038,0,0
510010905003039,0,0
510010905003040,0,0
510010905003041,21,20
510010905003042,56,41
510010905003043,1,1
510010905003044,9,8
510010905003045,24,14
510010905003046,0,0
510010905003047,3,2
510010905003048,31,21
510010905003049,0,0
510010905003050,0,0
510010905003051,21,13
510010905003052,0,0
510010905003053,6,6
510010905003054,2,2
510010905003055,0,0
510010905003056,17,14
510010905003057,4,4
510010905003058,16,16
510010905003059,11,8
510010905003060,22,14
510010905003061,12,11
510010905003062,0,0
510010905003063,14,12
510010905003064,2,2
510010905003065,14,6
510010905003066,0,0
510010905003067,0,0
510010905003068,0,0
510010905003069,4,1
510010905003070,38,31
510010906001000,0,0
510010906001001,0,0
510010906001002,0,0
510010906001003,0,0
510010906001004,0,0
510010906001005,0,0
510010906001006,0,0
510010906001007,0,0
510010906001008,0,0
510010906001009,0,0
510010906001010,0,0
510010906001011,0,0
510010906001012,2,2
510010906001013,0,0
510010906001014,0,0
510010906001015,0,0
510010906001016,0,0
510010906001017,0,0
510010906001018,0,0
510010906001019,0,0
510010906001020,0,0
510010906001021,0,0
510010906001022,0,0
510010906001023,0,0
510010906001024,0,0
510010906001025,0,0
510010906001026,0,0
510010906001027,0,0
510010906001028,0,0
510010906001029,136,111
510010906001030,0,0
510010906001031,0,0
510010906001032,0,0
510010906001033,0,0
510010906001034,0,0
510010906001035,0,0
510010906001036,0,0
510010906001037,0,0
510010906001038,0,0
510010906001039,0,0
510010906001040,0,0
510010906001041,71,70
510010906001042,33,30
510010906001043,28,25
510010906001044,76,60
510010906001045,17,11
510010906001046,44,33
510010906001047,22,17
510010906001048,0,0
510010906001049,9,3
510010906001050,0,0
510010906002000,0,0
510010906002001,0,0
510010906002002,0,0
510010906002003,0,0
510010906002004,0,0
510010906002005,0,0
510010906002006,0,0
510010906002007,0,0
510010906002008,0,0
510010906002009,0,0
510010906002010,0,0
510010906002011,0,0
510010906002012,0,0
510010906002013,0,0
510010906002014,0,0
510010906002015,0,0
510010906002016,0,0
510010906002017,0,0
510010906002018,0,0
510010906002019,0,0
510010906002020,0,0
