County/City,Ward,Pct,"Barack Obama","Willard M. Romney","Gary Johnson","Virgil Hamlin Goode, Jr.","Jill Stein","All Others","Total Votes Cast"
"Fairfax County",-,"128 - Cardinal (CD 11)",919,584,15,1,7,3,"1,529"
"Fairfax County",-,"129 - Keene Mill (CD 11)",668,431,13,0,4,2,"1,118"
"Fairfax County",-,"130 - Terra Centre (CD 11)",898,726,22,5,4,9,"1,664"
"Fairfax County",-,"131 - Eagle View (CD 11)","1,301",921,30,2,3,1,"2,258"
"Fairfax County",-,"132 - Monument (CD 11)","1,382",899,16,5,6,3,"2,311"
"Fairfax County",-,"133 - Danbury (CD 11)",273,170,7,0,2,3,455
"Fairfax County",-,"134 - University (CD 11)","1,187",354,42,3,8,4,"1,598"
"Fairfax County",-,"202 - Flint Hill (CD 11)","1,058",997,10,3,6,4,"2,078"
"Fairfax County",-,"203 - Floris (CD 11)","1,407","1,105",17,3,4,2,"2,538"
"Fairfax County",-,"204 - Madison (CD 11)",412,196,3,0,1,2,614
"Fairfax County",-,"208 - Reston #1 (CD 11)","1,396",488,12,1,13,5,"1,915"
"Fairfax County",-,"209 - Reston #2 (CD 11)","1,462",596,22,5,6,4,"2,095"
"Fairfax County",-,"213 - Vienna #1 (CD 11)","1,568","1,111",24,7,12,9,"2,731"
"Fairfax County",-,"214 - Vienna #2 (CD 11)","1,221",932,18,6,3,1,"2,181"
"Fairfax County",-,"216 - Vienna #4 (CD 11)",620,406,14,4,8,5,"1,057"
"Fairfax County",-,"218 - Vienna #6 (CD 11)","1,003",562,9,2,5,2,"1,583"
"Fairfax County",-,"219 - Westbriar (CD 11)","1,347","1,033",13,3,3,7,"2,406"
"Fairfax County",-,"220 - Dogwood (CD 11)","1,831",747,21,3,13,2,"2,617"
"Fairfax County",-,"221 - Hunters Woods (CD 11)","1,091",712,17,1,1,0,"1,822"
"Fairfax County",-,"222 - Reston #3 (CD 11)","1,075",375,20,1,4,1,"1,476"
"Fairfax County",-,"223 - Glade (CD 11)","1,724",800,29,7,9,5,"2,574"
"Fairfax County",-,"224 - South Lakes (CD 11)","1,994",961,33,3,4,10,"3,005"
"Fairfax County",-,"225 - Terraset (CD 11)","1,804",680,35,6,14,6,"2,545"
"Fairfax County",-,"226 - Wolftrap (CD 11)","1,260","1,167",15,0,2,2,"2,446"
"Fairfax County",-,"227 - Sunrise Valley (CD 11)",677,542,9,0,1,3,"1,232"
"Fairfax County",-,"229 - Fox Mill (CD 10)","1,717","1,440",29,4,8,5,"3,203"
"Fairfax County",-,"233 - North Point (CD 11)","1,846","1,318",32,1,1,7,"3,205"
"Fairfax County",-,"234 - Aldrin (CD 11)","1,797","1,318",22,5,10,4,"3,156"
"Fairfax County",-,"235 - Frying Pan (CD 11)","1,312",657,18,1,4,5,"1,997"
"Fairfax County",-,"236 - Stuart (CD 11)",569,337,6,0,4,2,918
"Fairfax County",-,"237 - Mcnair (CD 11)","1,655",778,33,2,5,8,"2,481"
"Fairfax County",-,"238 - Cameron Glen (CD 11)","1,056",862,24,2,3,2,"1,949"
"Fairfax County",-,"240 - Colvin (CD 10)",688,898,16,3,2,3,"1,610"
"Fairfax County",-,"301 - Chain Bridge (CD 10)",947,928,12,0,2,7,"1,896"
"Fairfax County",-,"302 - Chesterbrook (CD 8)",770,705,8,2,7,2,"1,494"
"Fairfax County",-,"303 - Churchill (CD 10)",513,425,6,0,2,0,946
"Fairfax County",-,"304 - Cooper (CD 10)",592,732,4,0,2,0,"1,330"
"Fairfax County",-,"305 - El Nido (CD 8)",748,543,11,1,8,2,"1,313"
"Fairfax County",-,"306 - Great Falls (CD 10)",593,759,5,0,2,3,"1,362"
"Fairfax County",-,"307 - Haycock (CD 8)",919,655,11,5,2,3,"1,595"
"Fairfax County",-,"309 - Kenmore (CD 10)",988,"1,212",17,3,2,1,"2,223"
"Fairfax County",-,"310 - Kirby (CD 8)",765,559,9,3,6,0,"1,342"
"Fairfax County",-,"311 - Langley (CD 10)",590,672,6,1,2,8,"1,279"
"Fairfax County",-,"312 - Longfellow (CD 8)",974,658,12,1,5,1,"1,651"
"Fairfax County",-,"314 - Mclean (CD 10)",832,643,9,1,3,1,"1,489"
"Fairfax County",-,"315 - Pimmit (CD 8)","1,390",790,30,5,5,6,"2,226"
"Fairfax County",-,"316 - Salona #1 (CD 8)",304,290,2,1,0,1,598
"Fairfax County",-,"317 - Westhampton (CD 8)",874,551,13,2,6,1,"1,447"
"Fairfax County",-,"318 - Westmoreland (CD 8)",524,377,8,1,3,1,914
"Fairfax County",-,"319 - Herndon #1 (CD 11)","1,512",968,25,4,9,11,"2,529"
"Fairfax County",-,"320 - Herndon #2 (CD 11)","1,784",818,29,4,8,6,"2,649"
"Fairfax County",-,"321 - Clearview (CD 10)","1,659","1,318",36,1,6,6,"3,026"
"Fairfax County",-,"322 - Forestville (CD 10)",773,"1,210",7,0,4,3,"1,997"
"Fairfax County",-,"323 - Shouse (CD 10)",801,637,11,4,3,1,"1,457"
"Fairfax County",-,"324 - Herndon #3 (CD 11)","1,583",750,29,3,11,2,"2,378"
"Fairfax County",-,"325 - Hutchison (CD 11)","1,134",381,16,4,2,14,"1,551"
"Fairfax County",-,"327 - Sugarland (CD 10)","1,121","1,000",20,1,3,7,"2,152"
"Fairfax County",-,"328 - Hickory (CD 10)",926,"1,084",17,2,6,4,"2,039"
"Fairfax County",-,"329 - Seneca (CD 10)","1,047","1,170",12,1,3,1,"2,234"
"Fairfax County",-,"331 - Spring Hill (CD 10)",662,702,8,0,0,2,"1,374"
"Fairfax County",-,"332 - Coates (CD 11)","1,386",549,18,5,4,2,"1,964"
"Fairfax County",-,"333 - Salona #2 (CD 8)",548,430,10,2,1,1,992
"Fairfax County",-,"401 - Bush Hill (CD 8)","1,261",883,19,2,7,2,"2,174"
"Fairfax County",-,"402 - Cameron (CD 8)",452,279,6,3,4,1,745
"Fairfax County",-,"404 - Franconia (CD 8)","1,410",821,16,6,4,5,"2,262"
"Fairfax County",-,"405 - Groveton (CD 8)",899,271,15,3,6,4,"1,198"
"Fairfax County",-,"406 - Hayfield (CD 8)",818,790,10,5,3,1,"1,627"
"Fairfax County",-,"408 - Mount Eagle (CD 8)","1,179",387,22,2,1,9,"1,600"
"Fairfax County",-,"409 - Pioneer (CD 8)","2,234",954,21,11,11,13,"3,244"
"Fairfax County",-,"410 - Rose Hill (CD 8)","1,702","1,089",21,7,2,6,"2,827"
"Fairfax County",-,"411 - Virginia Hills (CD 8)",953,530,16,5,4,2,"1,510"
"Fairfax County",-,"413 - Fairfield (CD 8)","1,238",184,7,1,3,3,"1,436"
"Fairfax County",-,"415 - Crestwood (CD 8)","1,027",626,11,4,3,8,"1,679"
"Fairfax County",-,"417 - Garfield (CD 8)","1,479",745,19,2,3,1,"2,249"
"Fairfax County",-,"418 - Lynbrook (CD 8)",933,440,11,3,5,1,"1,393"
"Fairfax County",-,"419 - Lane (CD 8)","1,490",618,14,6,2,4,"2,134"
"Fairfax County",-,"420 - Villages (CD 8)","1,668",964,24,4,7,4,"2,671"
"Fairfax County",-,"421 - Kingstowne (CD 8)","1,466",822,24,2,6,4,"2,324"
"Fairfax County",-,"422 - Van Dorn (CD 8)","1,541",740,14,1,6,3,"2,305"
"Fairfax County",-,"423 - Clermont (CD 8)","1,008",741,12,5,14,1,"1,781"
"Fairfax County",-,"424 - Huntley (CD 8)","1,134",661,16,4,10,7,"1,832"
"Fairfax County",-,"426 - Greenspring (CD 11)",789,639,2,2,3,0,"1,435"
"Fairfax County",-,"427 - Island Creek (CD 8)","1,095",644,8,0,5,2,"1,754"
"Fairfax County",-,"428 - Pinewood (CD 8)","1,513",329,14,7,3,3,"1,869"
"Fairfax County",-,"429 - Hybla Valley (CD 8)","1,819",346,5,2,3,6,"2,181"
"Fairfax County",-,"501 - Baileys (CD 8)","1,501",499,13,1,7,3,"2,024"
"Fairfax County",-,"502 - Barcroft (CD 11)",511,304,5,0,2,0,822
"Fairfax County",-,"503 - Belvedere (CD 11)",640,341,8,0,5,1,995
"Fairfax County",-,"504 - Bristow (CD 11)","1,105",465,5,1,13,4,"1,593"
"Fairfax County",-,"505 - Glen Forest (CD 8)","1,259",500,17,2,6,5,"1,789"
"Fairfax County",-,"506 - Holmes (CD 11)",508,227,8,0,3,3,749
"Fairfax County",-,"506 - Holmes (CD 8)",673,175,7,3,0,0,858
"Fairfax County",-,"507 - Lincolnia (CD 8)","1,345",568,12,6,6,3,"1,940"
"Fairfax County",-,"508 - Masonville (CD 11)","1,142",642,24,3,4,4,"1,819"
"Fairfax County",-,"510 - Parklawn (CD 8)",917,511,14,3,4,2,"1,451"
"Fairfax County",-,"511 - Ravenwood (CD 11)",988,610,15,0,3,3,"1,619"
"Fairfax County",-,"512 - Sleepy Hollow (CD 11)",574,357,10,1,4,4,950
"Fairfax County",-,"513 - Saint Albans (CD 11)",698,360,7,2,2,1,"1,070"
"Fairfax County",-,"513 - Saint Albans (CD 8)",314,239,5,0,0,1,559
"Fairfax County",-,"515 - Westlawn (CD 8)",743,358,10,2,4,5,"1,122"
"Fairfax County",-,"516 - Weyanoke (CD 8)","1,407",524,14,1,11,2,"1,959"
"Fairfax County",-,"517 - Willston (CD 8)",857,292,12,5,2,3,"1,171"
"Fairfax County",-,"518 - Columbia (CD 11)","1,100",601,8,2,9,3,"1,723"
"Fairfax County",-,"519 - Hummer (CD 11)",756,506,17,1,4,4,"1,288"
"Fairfax County",-,"520 - Skyline (CD 8)","2,058",544,18,2,4,1,"2,627"
"Fairfax County",-,"521 - Brook Hill (CD 8)",875,548,11,3,4,3,"1,444"
"Fairfax County",-,"522 - Camelot (CD 11)",515,510,6,2,3,1,"1,037"
"Fairfax County",-,"523 - Poe (CD 8)","1,067",608,10,3,3,3,"1,694"
"Fairfax County",-,"525 - Walnut Hill (CD 8)","1,531",812,20,5,8,3,"2,379"
"Fairfax County",-,"526 - Bren Mar (CD 8)","1,599",586,10,1,8,4,"2,208"
"Fairfax County",-,"527 - Edsall (CD 8)",894,488,13,8,3,1,"1,407"
"Fairfax County",-,"528 - Ridgelea (CD 11)",428,403,7,0,1,1,840
"Fairfax County",-,"601 - Belle Haven (CD 8)",768,648,8,0,1,0,"1,425"
"Fairfax County",-,"602 - Belleview (CD 8)",971,590,18,2,1,3,"1,585"
"Fairfax County",-,"604 - Bucknell (CD 8)","1,808",551,14,4,9,4,"2,390"
"Fairfax County",-,"605 - Fort Hunt (CD 8)",773,805,11,2,3,0,"1,594"
"Fairfax County",-,"606 - Hollin Hall (CD 8)",886,774,13,2,3,5,"1,683"
"Fairfax County",-,"607 - Huntington (CD 8)","1,579",670,16,6,17,4,"2,292"
"Fairfax County",-,"608 - Kirkside (CD 8)",861,412,5,2,1,4,"1,285"
"Fairfax County",-,"609 - Marlan (CD 8)",794,642,16,0,3,3,"1,458"
"Fairfax County",-,"610 - Sherwood (CD 8)",914,406,10,3,0,3,"1,336"
"Fairfax County",-,"611 - Stratford (CD 8)",982,923,12,1,3,3,"1,924"
"Fairfax County",-,"612 - Waynewood (CD 8)",452,474,7,1,2,2,938
"Fairfax County",-,"613 - Westgate (CD 8)","1,124","1,424",10,5,4,2,"2,569"
"Fairfax County",-,"614 - Riverside (CD 8)",663,729,6,0,2,4,"1,404"
"Fairfax County",-,"615 - Woodley (CD 8)","1,093",753,11,3,1,6,"1,867"
"Fairfax County",-,"616 - Gunston (CD 8)",856,818,8,3,5,6,"1,696"
"Fairfax County",-,"617 - Lorton (CD 8)","1,181",316,3,2,3,0,"1,505"
"Fairfax County",-,"618 - Newington (CD 11)","2,089","1,231",30,8,8,9,"3,375"
"Fairfax County",-,"619 - Belvoir (CD 8)","1,089",660,22,2,11,4,"1,788"
"Fairfax County",-,"621 - Grosvenor (CD 8)","1,020",406,14,2,8,3,"1,453"
"Fairfax County",-,"622 - Lorton Station (CD 8)","1,720",570,22,3,7,0,"2,322"
"Fairfax County",-,"623 - Alban (CD 8)",586,322,6,1,4,5,924
"Fairfax County",-,"625 - Lorton Center (CD 8)",862,495,9,2,0,2,"1,370"
"Fairfax County",-,"626 - Saratoga (CD 8)","2,122","1,287",32,8,5,14,"3,468"
"Fairfax County",-,"627 - Woodlawn (CD 8)","1,728",578,14,2,6,6,"2,334"
"Fairfax County",-,"628 - Laurel Hill (CD 11)","1,685",708,19,3,1,2,"2,418"
"Fairfax County",-,"629 - South County (CD 11)","1,019",920,15,1,1,5,"1,961"
"Fairfax County",-,"701 - Blake (CD 11)","1,919","1,071",28,5,9,3,"3,035"
"Fairfax County",-,"703 - Fort Buffalo (CD 8)",870,299,15,2,6,3,"1,195"
"Fairfax County",-,"704 - Freedom Hill (CD 11)",846,603,7,2,5,1,"1,464"
"Fairfax County",-,"705 - Graham - Greenway (CD 8)","1,649",720,32,3,11,10,"2,425"
"Fairfax County",-,"707 - Mantua (CD 11)",862,611,18,3,2,2,"1,498"
"Fairfax County",-,"708 - Marshall (CD 8)","2,091","1,012",36,3,15,7,"3,164"
"Fairfax County",-,"709 - Mosby (CD 11)","1,424",675,26,6,5,3,"2,139"
"Fairfax County",-,"710 - Pine Spring (CD 8)","1,106",518,25,5,4,4,"1,662"
"Fairfax County",-,"711 - Price (CD 11)",812,523,17,1,4,2,"1,359"
"Fairfax County",-,"712 - Shreve (CD 8)",657,362,4,3,3,1,"1,030"
"Fairfax County",-,"713 - Timber Lane (CD 8)","1,511",621,16,2,7,4,"2,161"
"Fairfax County",-,"714 - Walker (CD 11)","1,424",833,29,6,9,6,"2,307"
"Fairfax County",-,"717 - Woodburn (CD 11)",847,473,19,1,5,3,"1,348"
"Fairfax County",-,"718 - Pine Ridge (CD 11)",956,554,20,3,2,8,"1,543"
"Fairfax County",-,"719 - Stenwood (CD 11)",412,324,5,1,5,2,749
"Fairfax County",-,"720 - Thoreau (CD 11)",700,532,13,4,2,2,"1,253"
"Fairfax County",-,"721 - Merrifield (CD 11)","1,731",776,46,3,4,7,"2,567"
"Fairfax County",-,"726 - Magarity (CD 11)",0,0,0,0,0,0,0
"Fairfax County",-,"726 - Magarity (CD 8)","1,468",792,33,1,6,10,"2,310"
"Fairfax County",-,"727 - Oakton (CD 11)",842,881,15,0,2,2,"1,742"
"Fairfax County",-,"729 - Nottoway (CD 11)","1,465",922,24,3,12,4,"2,430"
"Fairfax County",-,"730 - Penderbrook (CD 11)","1,303",947,21,1,4,5,"2,281"
"Fairfax County",-,"731 - Tysons (CD 11)","1,101",673,15,0,4,8,"1,801"
"Fairfax County",-,"732 - Oak Marr (CD 11)","1,229","1,174",19,1,3,7,"2,433"
"Fairfax County",-,"733 - Kilmer (CD 11)","1,679",965,22,1,2,1,"2,670"
"Fairfax County",-,"734 - Hunters Branch (CD 11)",779,399,19,0,0,4,"1,201"
"Fairfax County",-,"801 - Burke (CD 11)","1,943","1,092",26,8,7,4,"3,080"
"Fairfax County",-,"802 - Cedar Lake (CD 11)",514,328,7,0,1,4,854
"Fairfax County",-,"803 - Clifton (CD 10)","1,056","1,723",21,2,2,5,"2,809"
"Fairfax County",-,"804 - Colchester (CD 10)",583,656,14,1,1,0,"1,255"
"Fairfax County",-,"805 - Fairfax Station (CD 10)",465,625,8,0,1,0,"1,099"
"Fairfax County",-,"806 - Sydenstricker (CD 11)","1,151","1,009",17,3,2,2,"2,184"
"Fairfax County",-,"807 - Hunt Valley (CD 11)",780,699,5,0,3,3,"1,490"
"Fairfax County",-,"811 - Pohick (CD 11)",897,470,17,2,5,2,"1,393"
"Fairfax County",-,"812 - Valley (CD 11)","1,057",799,14,2,7,4,"1,883"
"Fairfax County",-,"815 - Woodyard (CD 10)",752,"1,107",15,1,2,2,"1,879"
"Fairfax County",-,"824 - Orange (CD 11)","1,357","1,305",22,6,3,6,"2,699"
"Fairfax County",-,"825 - Cherry Run (CD 11)",952,883,14,2,3,2,"1,856"
"Fairfax County",-,"827 - Irving (CD 11)",911,766,14,4,8,7,"1,710"
"Fairfax County",-,"833 - White Oaks (CD 11)","1,281",791,26,2,8,5,"2,113"
"Fairfax County",-,"838 - Sangster (CD 10)",716,794,10,3,3,1,"1,527"
"Fairfax County",-,"839 - Silverbrook (CD 10)","1,066","1,315",13,0,4,6,"2,404"
"Fairfax County",-,"840 - West Springfield (CD 11)","1,100",865,19,4,7,3,"1,998"
"Fairfax County",-,"841 - Popes Head (CD 10)",394,645,5,1,4,0,"1,049"
"Fairfax County",-,"842 - Parkway (CD 11)",756,820,14,7,5,5,"1,607"
"Fairfax County",-,"843 - Fair Lakes (CD 11)","1,293",847,21,2,2,8,"2,173"
"Fairfax County",-,"844 - Centerpointe (CD 11)","1,193",625,23,1,3,4,"1,849"
"Fairfax County",-,"845 - Fountainhead (CD 10)","1,045","1,511",17,7,4,7,"2,591"
"Fairfax County",-,"846 - Greenbriar East (CD 11)","1,397",854,27,2,6,2,"2,288"
"Fairfax County",-,"847 - Greenbriar West (CD 10)",861,673,18,7,2,8,"1,569"
"Fairfax County",-,"848 - Fair Oaks (CD 11)","1,251",784,18,2,3,8,"2,066"
"Fairfax County",-,"849 - Newgate North (CD 10)",579,586,7,3,1,1,"1,177"
"Fairfax County",-,"850 - South Run (CD 10)",815,"1,141",10,4,5,4,"1,979"
"Fairfax County",-,"851 - Willow Springs (CD 11)",834,937,8,0,6,1,"1,786"
"Fairfax County",-,"854 - Newgate South (CD 10)",811,"1,187",16,1,4,1,"2,020"
"Fairfax County",-,"901 - Centre Ridge (CD 11)","1,818",984,32,8,5,10,"2,857"
"Fairfax County",-,"902 - Brookfield (CD 10)","1,689",939,20,6,4,3,"2,661"
"Fairfax County",-,"903 - Cub Run (CD 10)","1,322","1,165",26,2,6,9,"2,530"
"Fairfax County",-,"904 - Stonecroft (CD 10)",610,565,12,3,2,4,"1,196"
"Fairfax County",-,"905 - Franklin (CD 10)",364,302,6,1,1,2,676
"Fairfax County",-,"908 - Kinross East (CD 10)",859,792,15,3,2,4,"1,675"
"Fairfax County",-,"909 - Kinross West (CD 10)",837,700,10,1,0,0,"1,548"
"Fairfax County",-,"910 - London Towne #1 (CD 11)","1,593",740,21,2,5,9,"2,370"
"Fairfax County",-,"911 - Navy (CD 10)","1,239","1,005",21,0,4,2,"2,271"
"Fairfax County",-,"913 - Rocky Run (CD 10)","1,394","1,414",18,2,6,5,"2,839"
"Fairfax County",-,"914 - Vale (CD 10)",732,818,12,2,5,2,"1,571"
"Fairfax County",-,"915 - Virginia Run (CD 10)",720,"1,141",12,1,3,3,"1,880"
"Fairfax County",-,"916 - Waples Mill (CD 10)","1,387","1,533",20,2,10,4,"2,956"
"Fairfax County",-,"917 - Stone North (CD 10)",718,554,10,1,1,2,"1,286"
"Fairfax County",-,"918 - Centreville (CD 11)","1,765","1,036",30,4,5,1,"2,841"
"Fairfax County",-,"919 - Green Trails (CD 11)","1,660","1,022",27,6,3,3,"2,721"
"Fairfax County",-,"920 - Chantilly (CD 10)","1,082",833,8,5,5,5,"1,938"
"Fairfax County",-,"921 - Deer Park (CD 10)","1,083","1,068",25,2,8,6,"2,192"
"Fairfax County",-,"923 - Bull Run (CD 10)",563,857,8,0,1,2,"1,431"
"Fairfax County",-,"924 - London Towne #2 (CD 11)",341,118,4,2,1,0,466
"Fairfax County",-,"925 - Old Mill (CD 10)",761,476,4,0,3,10,"1,254"
"Fairfax County",-,"926 - Powell (CD 11)","1,879","1,025",31,0,10,5,"2,950"
"Fairfax County",-,"927 - Lees Corner #1 (CD 10)",777,537,14,1,1,2,"1,332"
"Fairfax County",-,"928 - Poplar Tree (CD 10)",946,924,18,2,2,1,"1,893"
"Fairfax County",-,"929 - Difficult Run (CD 10)",196,279,7,0,0,0,482
"Fairfax County",-,"930 - Lees Corner #2 (CD 10)",819,667,16,2,7,2,"1,513"
"Fairfax County",-,"931 - Carson (CD 10)",760,545,14,7,1,0,"1,327"
"Fairfax County",-,"932 - Stone South (CD 10)",716,412,13,1,1,3,"1,146"
"Fairfax County",-,"933 - Compton (CD 11)",270,230,1,1,1,0,503
"Fairfax County",-,"Ab - Central Absentee Precinct (CD 10)","10,689","9,929",117,23,23,16,"20,797"
"Fairfax County",-,"Ab - Central Absentee Precinct (CD 11)","24,793","14,016",226,28,78,27,"39,168"
"Fairfax County",-,"Ab - Central Absentee Precinct (CD 8)","17,671","8,306",122,28,46,59,"26,232"
"Fairfax County",-,"Provisional (CD 10)",132,85,2,1,2,229,451
"Fairfax County",-,"Provisional (CD 11)",319,180,4,0,1,514,"1,018"
"Fairfax County",-,"Provisional (CD 8)",233,91,3,1,2,339,669
"Fairfax City",-,"1 - One",855,574,21,3,7,7,"1,467"
"Fairfax City",-,"2 - Two",820,697,19,3,1,2,"1,542"
"Fairfax City",-,"3 - Three","1,228",918,18,3,6,6,"2,179"
"Fairfax City",-,"4 - Four",954,686,22,3,5,4,"1,674"
"Fairfax City",-,"5 - Five",855,608,13,2,8,3,"1,489"
"Fairfax City",-,"6 - Six",852,567,17,2,6,0,"1,444"
"Fairfax City",-,"Ab - Central Absentee Precinct","1,072",714,13,2,5,2,"1,808"
"Fairfax City",-,Provisional,15,11,0,0,0,0,26
"Falls Church City",-,"1 - First Ward","1,244",627,20,4,6,5,"1,906"
"Falls Church City",-,"2 - Second Ward",882,435,11,2,6,1,"1,337"
"Falls Church City",-,"3 - Third Ward","1,164",645,17,4,5,6,"1,841"
"Falls Church City",-,"Ab - Central Absentee Precinct","1,716",434,13,1,8,4,"2,176"
"Falls Church City",-,Provisional,9,6,1,0,0,16,32
"Fauquier County",-,"101 - Kettle Run (CD 5)",292,555,10,1,1,0,859
"Fauquier County",-,"102 - Catlett (CD 1)",642,"1,383",20,6,4,3,"2,058"
"Fauquier County",-,"103 - Casanova (CD 5)",369,490,8,0,1,2,870
"Fauquier County",-,"104 - Lois (CD 1)",284,548,7,3,3,3,848
"Fauquier County",-,"105 - Opal (CD 5)",305,558,6,1,3,0,873
"Fauquier County",-,"106 - Baldwin Ridge (CD 5)",428,676,11,2,4,2,"1,123"
"Fauquier County",-,"201 - Courthouse (CD 5)","1,041","1,133",31,7,3,6,"2,221"
"Fauquier County",-,"202 - Airlie (CD 5)",694,"1,088",19,6,5,2,"1,814"
"Fauquier County",-,"203 - Warrenton (CD 5)",972,"1,038",19,5,6,4,"2,044"
"Fauquier County",-,"301 - Morrisville (CD 1)",460,901,10,6,3,3,"1,383"
"Fauquier County",-,"302 - Remington (CD 5)",808,"1,088",27,6,8,2,"1,939"
"Fauquier County",-,"303 - Bealeton (CD 1)",968,"1,255",26,6,8,3,"2,266"
"Fauquier County",-,"401 - Marshall (CD 5)",767,"1,088",16,1,7,0,"1,879"
"Fauquier County",-,"402 - Leeds (CD 5)",799,911,22,5,6,4,"1,747"
"Fauquier County",-,"403 - Waterloo (CD 5)",745,"1,368",16,6,4,5,"2,144"
"Fauquier County",-,"404 - Springs Valley (CD 5)",360,564,7,0,1,1,933
"Fauquier County",-,"501 - The Plains (CD 5)",763,813,9,2,5,3,"1,595"
"Fauquier County",-,"502 - New Baltimore (CD 5)",575,"1,119",12,3,5,1,"1,715"
"Fauquier County",-,"503 - Broad Run (CD 5)",541,"1,036",16,3,3,3,"1,602"
"Fauquier County",-,"504 - Vint Hill (CD 5)",816,"1,412",13,4,5,6,"2,256"
"Fauquier County",-,"Ab - Central Absentee Precinct (CD 1)",144,254,4,0,0,2,404
"Fauquier County",-,"Ab - Central Absentee Precinct (CD 5)","1,186","1,744",14,4,8,7,"2,963"
"Fauquier County",-,"Provisional (CD 1)",2,3,0,0,0,5,10
"Fauquier County",-,"Provisional (CD 5)",4,9,0,0,0,15,28
"Floyd County",-,"101 - Locust Grove",495,841,20,17,2,3,"1,378"
"Floyd County",-,"201 - Little River",571,891,26,27,12,3,"1,530"
"Floyd County",-,"301 - Courthouse",579,715,14,16,6,1,"1,331"
"Floyd County",-,"401 - Burks Fork",403,869,20,15,4,2,"1,313"
"Floyd County",-,"501 - Indian Valley",351,980,7,14,1,5,"1,358"
"Floyd County",-,"Ab - Central Absentee Precinct",333,375,9,6,7,2,732
"Floyd County",-,Provisional,0,2,0,0,0,2,4
"Fluvanna County",-,"101 - Palmyra","1,195","1,331",17,4,3,2,"2,552"
"Fluvanna County",-,"201 - Columbia",824,835,10,10,2,3,"1,684"
"Fluvanna County",-,"301 - Fork Union","1,093",837,11,15,4,3,"1,963"
"Fluvanna County",-,"401 - Cunningham",803,"1,481",18,7,10,1,"2,320"
"Fluvanna County",-,"501 - Rivanna","1,156","1,406",23,9,5,8,"2,607"
"Fluvanna County",-,"Ab - Central Absentee Precinct",814,785,8,4,1,0,"1,612"
"Fluvanna County",-,Provisional,8,3,0,0,0,0,11
"Franklin County",-,"102 - Burnt Chimney",512,"1,142",9,26,1,3,"1,693"
"Franklin County",-,"103 - Scruggs",687,"1,925",13,19,1,1,"2,646"
"Franklin County",-,"201 - Glade Hill",430,911,5,44,2,1,"1,393"
"Franklin County",-,"202 - Penhook",352,726,3,20,1,1,"1,103"
"Franklin County",-,"203 - Hodgesville",93,158,0,8,0,1,260
"Franklin County",-,"204 - Dudley",317,572,2,13,2,1,907
"Franklin County",-,"301 - Snow Creek",214,462,4,14,1,1,696
"Franklin County",-,"302 - Fork Mountain",180,378,2,37,0,2,599
"Franklin County",-,"303 - Sontag",652,570,3,28,0,1,"1,254"
"Franklin County",-,"304 - Dickinson",276,249,3,24,1,0,553
"Franklin County",-,"401 - Henry",290,872,12,47,4,0,"1,225"
"Franklin County",-,"402 - Ferrum",237,407,6,24,1,3,678
"Franklin County",-,"403 - Endicott",213,428,4,27,0,0,672
"Franklin County",-,"501 - Waidsboro",263,533,1,30,1,2,830
"Franklin County",-,"502 - Callaway",337,759,6,54,0,0,"1,156"
"Franklin County",-,"503 - Bowmans",220,370,8,20,2,0,620
"Franklin County",-,"504 - Gogginsville",287,610,6,25,3,2,933
"Franklin County",-,"601 - Boones Mill",473,963,17,32,2,3,"1,490"
"Franklin County",-,"602 - Bonbrook",440,881,10,29,0,1,"1,361"
"Franklin County",-,"603 - Coopers Cove",291,677,6,16,1,2,993
"Franklin County",-,"701 - Rocky Mount East",633,767,9,50,3,0,"1,462"
"Franklin County",-,"702 - Rocky Mount West",531,504,3,32,4,1,"1,075"
"Franklin County",-,"703 - Rocky Mount South",418,476,5,19,1,1,920
"Franklin County",-,"Ab - Central Absentee Precinct",742,"1,376",8,50,1,7,"2,184"
"Franklin County",-,Provisional,2,2,0,0,0,4,8
"Franklin City",-,"101 - Precinct 1-1",248,537,6,2,2,3,798
"Franklin City",-,"201 - Precinct 2-1",295,384,0,0,0,1,680
"Franklin City",-,"301 - Precinct 3-1",617,37,1,4,1,0,660
"Franklin City",-,"401 - Precinct 4-1",509,40,0,0,0,0,549
"Franklin City",-,"501 - Precinct 5-1",540,5,1,1,0,0,547
"Franklin City",-,"601 - Precinct 6-1",384,291,1,1,1,2,680
"Franklin City",-,"Ab - Central Absentee Precinct",237,202,2,2,0,0,443
"Franklin City",-,Provisional,3,0,0,0,0,0,3
"Frederick County",-,"101 - Russells",360,"1,008",15,8,7,1,"1,399"
"Frederick County",-,"102 - Gore",526,"1,099",17,8,6,12,"1,668"
"Frederick County",-,"103 - Kernstown",590,"1,229",12,6,8,5,"1,850"
"Frederick County",-,"104 - Cedar Creek",413,670,13,10,3,6,"1,115"
"Frederick County",-,"201 - Gainesborough",255,685,11,15,4,6,976
"Frederick County",-,"202 - Albin",445,"1,019",16,7,4,4,"1,495"
"Frederick County",-,"203 - Redland",578,"1,314",26,5,10,6,"1,939"
"Frederick County",-,"204 - Nain",425,921,19,8,11,3,"1,387"
"Frederick County",-,"301 - Clear Brook",317,641,11,13,2,3,987
"Frederick County",-,"302 - Neff's Town",706,946,21,14,9,7,"1,703"
