County/City,Ward,Pct,"Mark R. Warner","James Jim S. Gilmore, III","Glenda Gail Parker","William B. Redpath","All Others","Total Votes Cast"
,,,Democratic,Republican,Independent,Libertarian
"Arlington County",-,"15 - Lyon Park (CD 8)","1,188",343,8,19,1,"1,559"
"Arlington County",-,"16 - Lyon Village (CD 8)","1,143",384,9,19,2,"1,557"
"Arlington County",-,"17 - Overlee Knolls (CD 8)","1,016",412,10,8,4,"1,450"
"Arlington County",-,"18 - Park Lane (CD 8)","1,426",444,17,14,1,"1,902"
"Arlington County",-,"19 - Rosslyn (CD 8)","1,388",441,15,24,2,"1,870"
"Arlington County",-,"20 - Thrifton (CD 8)",950,467,6,13,4,"1,440"
"Arlington County",-,"21 - Virginia Highlands (CD 8)","1,239",529,12,25,3,"1,808"
"Arlington County",-,"22 - Abingdon (CD 8)","1,396",519,9,19,1,"1,944"
"Arlington County",-,"23 - Westover (CD 8)",943,277,1,13,2,"1,236"
"Arlington County",-,"24 - Woodlawn (CD 8)","1,378",406,12,16,3,"1,815"
"Arlington County",-,"25 - Arlington Forest (CD 8)",940,289,7,14,1,"1,251"
"Arlington County",-,"26 - Fillmore (CD 8)","1,512",360,19,27,2,"1,920"
"Arlington County",-,"27 - Jefferson (CD 8)","1,239",394,11,7,2,"1,653"
"Arlington County",-,"28 - Claremont (CD 8)","1,333",375,18,10,2,"1,738"
"Arlington County",-,"29 - Dominion Hills (CD 8)","1,081",380,3,15,0,"1,479"
"Arlington County",-,"30 - Glebe (CD 8)","1,288",138,12,5,1,"1,444"
"Arlington County",-,"31 - Lexington (CD 8)","1,080",370,13,9,1,"1,473"
"Arlington County",-,"32 - Oakridge (CD 8)","1,341",539,15,18,5,"1,918"
"Arlington County",-,"33 - Rock Spring (CD 8)","1,025",465,3,8,1,"1,502"
"Arlington County",-,"34 - Yorktown (CD 8)",986,391,7,13,1,"1,398"
"Arlington County",-,"35 - Madison (CD 8)","1,051",562,5,5,0,"1,623"
"Arlington County",-,"36 - Marshall (CD 8)","1,239",462,10,10,4,"1,725"
"Arlington County",-,"37 - Nottingham (CD 8)",975,392,3,5,2,"1,377"
"Arlington County",-,"38 - Arlington View (CD 8)","1,232",244,24,5,2,"1,507"
"Arlington County",-,"39 - Ashlawn (CD 8)",661,254,5,9,1,930
"Arlington County",-,"40 - Virginia Square (CD 8)","1,024",478,4,25,3,"1,534"
"Arlington County",-,"41 - Woodbury (CD 8)","1,033",375,3,12,0,"1,423"
"Arlington County",-,"42 - Shirlington (CD 8)","1,072",363,7,12,4,"1,458"
"Arlington County",-,"43 - Arlington Mill (CD 8)",999,185,9,9,3,"1,205"
"Arlington County",-,"44 - Dawson Terrace (CD 8)",948,246,10,16,2,"1,222"
"Arlington County",-,"45 - Buckingham (CD 8)","1,368",417,21,28,4,"1,838"
"Arlington County",-,"46 - Central (CD 8)","1,352",508,12,23,6,"1,901"
"Arlington County",-,"47 - Four Mile Run (CD 8)",927,233,11,10,1,"1,182"
"Arlington County",-,"48 - Courtlands (CD 8)",912,374,11,18,1,"1,316"
"Arlington County",-,"49 - Monroe (CD 8)",644,224,2,9,0,879
"Arlington County",-,"50 - Crystal Plaza (CD 8)","1,037",397,10,23,4,"1,471"
"Arlington County",-,"51 - Taylor (CD 8)",373,123,1,2,0,499
"Arlington County",-,"Ab - Central Absentee Precinct (CD 8)","27,292","5,528",234,191,44,"33,289"
"Arlington County",-,"Provisional Votes (CD 8)",42,18,1,1,0,62
"Augusta County",-,"101 - Jolivue (CD 6)",507,442,7,7,1,964
"Augusta County",-,"102 - Expo (CD 6)",466,481,8,3,1,959
"Augusta County",-,"103 - Verona (CD 6)",842,854,21,11,0,"1,728"
"Augusta County",-,"201 - Crimora (CD 6)",716,876,11,9,1,"1,613"
"Augusta County",-,"202 - New Hope (CD 6)",614,605,11,7,1,"1,238"
"Augusta County",-,"203 - Weyers Cave (CD 6)",709,862,12,9,3,"1,595"
"Augusta County",-,"301 - Fort Defiance (CD 6)",903,996,17,13,0,"1,929"
"Augusta County",-,"302 - North River (CD 6)",276,325,6,3,1,611
"Augusta County",-,"303 - Mount Solon (CD 6)",331,529,6,7,1,874
"Augusta County",-,"304 - Churchville Fire Station (CD 6)",300,404,8,4,0,716
"Augusta County",-,"401 - Buffalo Gap (CD 6)",367,492,6,7,0,872
"Augusta County",-,"402 - Churchville Library (CD 6)",415,466,7,6,0,894
"Augusta County",-,"403 - Craigsville (CD 6)",255,335,4,3,0,597
"Augusta County",-,"404 - Deerfield (CD 6)",105,151,3,2,0,261
"Augusta County",-,"405 - Cedar Green (CD 6)",492,438,6,1,0,937
"Augusta County",-,"501 - Greenville (CD 6)",586,704,10,6,0,"1,306"
"Augusta County",-,"502 - Middlebrook (CD 6)",326,415,6,9,0,756
"Augusta County",-,"503 - Spottswood (CD 6)",370,385,3,9,1,768
"Augusta County",-,"504 - White Hill (CD 6)",569,745,8,9,0,"1,331"
