County/City,Ward,Pct,"Timothy Michael Kaine","George Felix Allen","All Others","Total Votes Cast"
"Chesapeake City",-,"32 - Providence","2,042",103,6,"2,151"
"Chesapeake City",-,"33 - Westover",441,549,3,993
"Chesapeake City",-,"34 - Hickory Middle School",693,"1,760",6,"2,459"
"Chesapeake City",-,"35 - Taylor Road",791,378,4,"1,173"
"Chesapeake City",-,"36 - Great Bridge Baptist Church",812,"1,438",7,"2,257"
"Chesapeake City",-,"37 - Bridgetown",557,976,1,"1,534"
"Chesapeake City",-,"38 - Bailey Creek",482,"1,087",2,"1,571"
"Chesapeake City",-,"39 - Lake Drummond",276,483,0,759
"Chesapeake City",-,"40 - River Birch",953,816,3,"1,772"
"Chesapeake City",-,"41 - John T West","1,342","1,039",6,"2,387"
"Chesapeake City",-,"42 - Parkways",854,568,3,"1,425"
"Chesapeake City",-,"43 - Pleasant Crossing",453,"1,076",1,"1,530"
"Chesapeake City",-,"44 - Nansemond",565,534,3,"1,102"
"Chesapeake City",-,"45 - Sunray II",385,187,2,574
"Chesapeake City",-,"46 - Bells Mill II",658,843,8,"1,509"
"Chesapeake City",-,"47 - Green Sea",310,691,2,"1,003"
"Chesapeake City",-,"48 - Jolliff Middle School","1,610",148,4,"1,762"
"Chesapeake City",-,"49 - Waterway","1,132","1,517",6,"2,655"
"Chesapeake City",-,"50 - River Walk",944,789,8,"1,741"
"Chesapeake City",-,"51 - Coopers Way",570,"1,501",6,"2,077"
"Chesapeake City",-,"52 - Shipyard Road",970,645,2,"1,617"
"Chesapeake City",-,"53 - Fairways",667,521,4,"1,192"
"Chesapeake City",-,"54 - Pughsville","1,253",454,0,"1,707"
"Chesapeake City",-,"55 - Georgetown East",890,244,2,"1,136"
"Chesapeake City",-,"56 - Green Tree",786,586,2,"1,374"
"Chesapeake City",-,"57 - Cypress",855,721,8,"1,584"
"Chesapeake City",-,"58 - Expressway",468,186,1,655
"Chesapeake City",-,"59 - Clearfield",397,514,2,913
"Chesapeake City",-,"60 - Parker Road",703,"1,481",2,"2,186"
"Chesapeake City",-,"61 - Centerville",436,"1,090",4,"1,530"
"Chesapeake City",-,"62 - Fentress",669,"1,191",7,"1,867"
"Chesapeake City",-,"63 - Poplar Branch",313,859,1,"1,173"
"Chesapeake City",-,"Ab - Central Absentee Precinct","6,944","4,940",13,"11,897"
"Chesapeake City",-,Provisional,86,52,1,139
"Chesterfield County",-,"101 - Bellwood (CD 4)",604,644,8,"1,256"
"Chesterfield County",-,"102 - South Chester (CD 4)","1,084","1,169",6,"2,259"
"Chesterfield County",-,"103 - Enon (CD 4)",895,"1,551",7,"2,453"
"Chesterfield County",-,"104 - North Chester (CD 4)",891,"1,451",4,"2,346"
"Chesterfield County",-,"105 - Drewrys Bluff (CD 4)","1,133",621,8,"1,762"
"Chesterfield County",-,"106 - Harrowgate (CD 4)","1,567","1,394",13,"2,974"
"Chesterfield County",-,"107 - Wells (CD 4)","1,087","1,058",7,"2,152"
"Chesterfield County",-,"108 - Ecoff (CD 4)","1,035","1,794",12,"2,841"
"Chesterfield County",-,"109 - Elizabeth Scott (CD 4)","1,440","1,687",2,"3,129"
"Chesterfield County",-,"110 - Dutch Gap (CD 4)",647,795,1,"1,443"
"Chesterfield County",-,"111 - Iron Bridge (CD 4)","1,514","1,741",7,"3,262"
"Chesterfield County",-,"112 - Carver (CD 4)",942,921,5,"1,868"
"Chesterfield County",-,"201 - Gates (CD 4)",777,932,7,"1,716"
"Chesterfield County",-,"202 - Beulah (CD 4)","1,406",848,5,"2,259"
"Chesterfield County",-,"203 - Bird (CD 4)",954,652,0,"1,606"
"Chesterfield County",-,"204 - Jacobs (CD 4)",738,721,4,"1,463"
"Chesterfield County",-,"205 - Falling Creek (CD 4)","1,572",904,6,"2,482"
"Chesterfield County",-,"206 - Belmont (CD 7)","1,086",234,1,"1,321"
"Chesterfield County",-,"207 - Chippenham (CD 4)",647,210,2,859
"Chesterfield County",-,"208 - Meadowbrook (CD 4)","1,524",618,6,"2,148"
"Chesterfield County",-,"209 - Salem Church (CD 4)","1,236","1,420",4,"2,660"
"Chesterfield County",-,"210 - Five Forks (CD 4)","1,550","1,060",4,"2,614"
"Chesterfield County",-,"211 - Nash (CD 4)",895,"1,884",4,"2,783"
"Chesterfield County",-,"212 - St. Luke's (CD 4)",587,729,3,"1,319"
"Chesterfield County",-,"213 - Southside (CD 4)","2,397",760,2,"3,159"
"Chesterfield County",-,"214 - Hopkins (CD 4)",356,52,0,408
"Chesterfield County",-,"301 - Ettrick (CD 4)","3,109",475,16,"3,600"
"Chesterfield County",-,"302 - Deer Run (CD 4)",390,589,3,982
"Chesterfield County",-,"303 - Matoaca (CD 4)","1,443","1,316",7,"2,766"
"Chesterfield County",-,"304 - Winfrees Store (CD 4)",802,"1,828",9,"2,639"
"Chesterfield County",-,"305 - Beach (CD 4)",609,"1,069",2,"1,680"
"Chesterfield County",-,"306 - Winterpock (CD 4)",721,"1,886",4,"2,611"
"Chesterfield County",-,"307 - Cosby (CD 4)","1,049","1,599",10,"2,658"
"Chesterfield County",-,"308 - South Manchester (CD 4)",425,367,1,793
"Chesterfield County",-,"309 - Skinquarter (CD 7)",778,"1,762",6,"2,546"
"Chesterfield County",-,"310 - Tomahawk (CD 7)",972,"1,386",5,"2,363"
"Chesterfield County",-,"313 - Woolridge (CD 7)","1,109","1,744",6,"2,859"
"Chesterfield County",-,"315 - Bailey Bridge (CD 4)",715,"1,606",3,"2,324"
"Chesterfield County",-,"316 - Spring Run (CD 4)",971,"1,406",6,"2,383"
"Chesterfield County",-,"317 - Birkdale (CD 4)",892,"1,518",5,"2,415"
"Chesterfield County",-,"401 - Harbour Pointe (CD 7)",662,833,6,"1,501"
"Chesterfield County",-,"402 - Genito (CD 7)","1,653","1,882",10,"3,545"
"Chesterfield County",-,"403 - Brandermill (CD 7)","1,021","1,441",12,"2,474"
"Chesterfield County",-,"404 - Providence (CD 7)","1,183",961,8,"2,152"
"Chesterfield County",-,"405 - La Prade (CD 7)","1,055","1,207",4,"2,266"
"Chesterfield County",-,"406 - Smoketree (CD 7)",735,"1,242",7,"1,984"
"Chesterfield County",-,"407 - Monacan (CD 7)",544,719,0,"1,263"
"Chesterfield County",-,"408 - Reams (CD 7)","1,676","1,144",8,"2,828"
"Chesterfield County",-,"409 - Manchester (CD 7)",601,554,0,"1,155"
"Chesterfield County",-,"410 - Wagstaff (CD 7)",611,698,3,"1,312"
"Chesterfield County",-,"411 - Swift Creek (CD 7)",983,"1,244",6,"2,233"
"Chesterfield County",-,"413 - Shenandoah (CD 7)","1,057",910,7,"1,974"
"Chesterfield County",-,"414 - Crenshaw (CD 4)","1,531","1,718",10,"3,259"
"Chesterfield County",-,"415 - Evergreen (CD 7)","1,042","1,356",0,"2,398"
"Chesterfield County",-,"416 - Evergreen West (CD 7)",439,504,0,943
"Chesterfield County",-,"417 - Edgewater (CD 7)",288,502,0,790
"Chesterfield County",-,"501 - Huguenot (CD 7)",831,876,2,"1,709"
"Chesterfield County",-,"502 - Crestwood (CD 7)",575,682,5,"1,262"
"Chesterfield County",-,"503 - Midlothian (CD 7)","1,470","2,624",10,"4,104"
"Chesterfield County",-,"504 - Robious (CD 7)","1,060","1,983",11,"3,054"
"Chesterfield County",-,"505 - Bon Air (CD 7)","1,109","1,264",4,"2,377"
"Chesterfield County",-,"506 - Greenfield (CD 7)","1,205","1,136",5,"2,346"
"Chesterfield County",-,"507 - Salisbury (CD 7)",956,"2,002",0,"2,958"
"Chesterfield County",-,"508 - Belgrade (CD 7)","1,097","1,285",7,"2,389"
"Chesterfield County",-,"509 - Cranbeck (CD 7)",713,638,4,"1,355"
"Chesterfield County",-,"510 - Sycamore (CD 7)",929,"1,485",6,"2,420"
"Chesterfield County",-,"511 - Black Heath (CD 7)",573,"1,036",4,"1,613"
"Chesterfield County",-,"513 - Beaufont (CD 7)",778,297,3,"1,078"
"Chesterfield County",-,"514 - Watkins (CD 7)","1,049","1,672",6,"2,727"
"Chesterfield County",-,"515 - Davis (CD 7)","1,478",401,4,"1,883"
"Chesterfield County",-,"516 - Pocoshock (CD 7)",983,282,1,"1,266"
"Chesterfield County",-,"517 - Roseland (CD 7)",84,193,0,277
"Chesterfield County",-,"Ab - Central Absentee Precinct (CD 4)","4,915","4,681",19,"9,615"
"Chesterfield County",-,"Ab - Central Absentee Precinct (CD 7)","3,652","4,175",18,"7,845"
"Chesterfield County",-,"Provisional (CD 4)",98,65,0,163
"Chesterfield County",-,"Provisional (CD 7)",54,49,0,103
"Clarke County",-,"101 - Russell",532,909,1,"1,442"
"Clarke County",-,"201 - Berryville",627,620,5,"1,252"
"Clarke County",-,"301 - Millwood",437,551,0,988
"Clarke County",-,"302 - Pine Grove",201,249,0,450
"Clarke County",-,"401 - White Post",599,757,0,"1,356"
"Clarke County",-,"501 - Buckmarsh",435,575,8,"1,018"
"Clarke County",-,"502 - Blue Ridge",177,187,1,365
"Clarke County",-,"Ab - Central Absentee Precinct",409,375,1,785
"Clarke County",-,Provisional,2,1,0,3
"Colonial Heights City",-,"1 - First",470,706,3,"1,179"
"Colonial Heights City",-,"2 - Second",441,859,3,"1,303"
"Colonial Heights City",-,"3 - Third",517,953,4,"1,474"
"Colonial Heights City",-,"4 - Fourth",575,"1,087",2,"1,664"
"Colonial Heights City",-,"5 - Fifth",362,"1,395",2,"1,759"
"Colonial Heights City",-,"Ab - Central Absentee Precinct",297,772,0,"1,069"
"Covington City",-,"101 - Precinct 1-1",189,131,0,320
"Covington City",-,"201 - Precinct 2-1",243,186,2,431
"Covington City",-,"301 - Precinct 3-1",255,129,0,384
"Covington City",-,"401 - Precinct 4-1",258,276,0,534
"Covington City",-,"501 - Precinct 5-1",269,273,0,542
"Covington City",-,"Ab - Central Absentee Precinct",92,76,0,168
"Craig County",-,"101 - Court House",168,332,1,501
"Craig County",-,"201 - Ammendale Precinct",134,393,1,528
"Craig County",-,"202 - North Mountain",33,54,0,87
"Craig County",-,"301 - Givens & Reynolds Store",141,151,0,292
"Craig County",-,"302 - Mcguires Store",64,74,1,139
"Craig County",-,"303 - Marshalls Store",24,94,0,118
"Craig County",-,"401 - Barbours Creek",56,111,0,167
"Craig County",-,"402 - Paint Bank",24,23,0,47
"Craig County",-,"403 - Craig Springs",54,164,0,218
"Craig County",-,"404 - Forks Of Johns Creek",29,32,0,61
"Craig County",-,"501 - Craig City",156,327,0,483
"Craig County",-,Provisional,0,0,0,0
"Culpeper County",-,"101 - West Fairfax","1,121","1,147",3,"2,271"
"Culpeper County",-,"201 - East Fairfax","1,147",814,2,"1,963"
"Culpeper County",-,"302 - Eggbornsville",383,756,1,"1,140"
"Culpeper County",-,"303 - Cardova",363,546,1,910
"Culpeper County",-,"304 - Willow Shade",233,241,0,474
"Culpeper County",-,"401 - Eldorado",500,732,1,"1,233"
"Culpeper County",-,"402 - Browns Store",687,"1,160",0,"1,847"
"Culpeper County",-,"501 - Jeffersonton",583,"1,096",1,"1,680"
"Culpeper County",-,"502 - Rixeyville",502,"1,006",2,"1,510"
"Culpeper County",-,"601 - Mitchells",117,155,0,272
"Culpeper County",-,"602 - Pearl Sample",624,942,1,"1,567"
"Culpeper County",-,"603 - South Ridge",308,300,0,608
"Culpeper County",-,"702 - Brandy Station",547,992,5,"1,544"
"Culpeper County",-,"703 - Lignum",304,530,0,834
"Culpeper County",-,"704 - Richardsville",143,257,0,400
"Culpeper County",-,"Ab - Central Absentee Precinct",885,"1,057",4,"1,946"
"Culpeper County",-,Provisional,10,12,0,22
"Cumberland County",-,"101 - Precinct 1",446,524,0,970
"Cumberland County",-,"201 - Precinct 2",375,574,4,953
"Cumberland County",-,"301 - Precinct 3",597,325,3,925
"Cumberland County",-,"401 - Precinct 4",411,504,0,915
"Cumberland County",-,"501 - Precinct 5",439,444,2,885
"Cumberland County",-,"Ab - Central Absentee Precinct",143,173,0,316
"Cumberland County",-,Provisional,0,0,0,0
"Danville City",-,"1 - Ward One",394,41,0,435
"Danville City",-,"2 - Ward Two",397,190,1,588
"Danville City",-,"3 - Ward Three",533,43,0,576
"Danville City",-,"4 - Ward Four","1,053",893,3,"1,949"
"Danville City",-,"5 - Ward Five",296,308,1,605
"Danville City",-,"6 - Ward Six",540,69,0,609
"Danville City",-,"7 - Ward Seven",905,141,0,"1,046"
"Danville City",-,"8 - Ward Eight",559,335,2,896
"Danville City",-,"9 - Ward Nine",478,341,1,820
"Danville City",-,"10 - Ward Ten",566,485,0,"1,051"
"Danville City",-,"11 - Ward Eleven","1,080",560,0,"1,640"
"Danville City",-,"12 - Ward Twelve","1,020",678,1,"1,699"
"Danville City",-,"13 - Ward Thirteen",937,509,1,"1,447"
"Danville City",-,"14 - Ward Fourteen",248,15,1,264
"Danville City",-,"15 - Ward Fifteen",680,648,3,"1,331"
"Danville City",-,"16 - Ward Sixteen",639,855,2,"1,496"
"Danville City",-,"17 - Ward Seventeen",400,855,2,"1,257"
"Danville City",-,"Ab - Central Absentee Precinct","1,112",929,5,"2,046"
"Danville City",-,Provisional,3,7,0,10
"Dickenson County",-,"101 - South Clintwood",487,813,1,"1,301"
"Dickenson County",-,"201 - Nora",177,255,0,432
"Dickenson County",-,"202 - Frying Pan",63,115,0,178
"Dickenson County",-,"203 - Clinchco",279,295,0,574
"Dickenson County",-,"301 - West Dante",36,159,0,195
"Dickenson County",-,"302 - Herald",86,253,0,339
"Dickenson County",-,"303 - Ridge",108,276,0,384
"Dickenson County",-,"304 - Longs Fork",103,222,0,325
"Dickenson County",-,"401 - Haysi-colley",360,269,0,629
"Dickenson County",-,"402 - Haysi",284,293,0,577
"Dickenson County",-,"501 - Tarpon",139,137,0,276
"Dickenson County",-,"502 - North Clintwood",142,225,0,367
"Dickenson County",-,"503 - North Clintwood",189,383,0,572
"Dickenson County",-,"Ab - Central Absentee Precinct",314,369,0,683
"Dickenson County",-,Provisional,1,0,1,2
"Dinwiddie County",-,"101 - White Oak",158,377,2,537
"Dinwiddie County",-,"102 - Rocky Run",316,582,1,899
"Dinwiddie County",-,"103 - Church Road",338,975,3,"1,316"
"Dinwiddie County",-,"201 - Rohoic",382,300,1,683
"Dinwiddie County",-,"202 - Sutherland",809,"1,092",1,"1,902"
"Dinwiddie County",-,"301 - Reams",213,314,0,527
"Dinwiddie County",-,"302 - New Hope",396,543,0,939
"Dinwiddie County",-,"303 - Little Zion",865,564,0,"1,429"
"Dinwiddie County",-,"401 - Dinwiddie",665,788,1,"1,454"
"Dinwiddie County",-,"402 - Mckenney",386,415,0,801
"Dinwiddie County",-,"403 - Cherry Hill",349,219,0,568
"Dinwiddie County",-,"501 - Edgehill",229,83,0,312
"Dinwiddie County",-,"502 - Chesdin","1,383",628,3,"2,014"
"Emporia City",-,"101 - Precinct 1-1",333,113,0,446
"Emporia City",-,"201 - Precinct 2-1",234,42,0,276
"Emporia City",-,"301 - Precinct 3-1",179,216,0,395
"Emporia City",-,"401 - Precinct 4-1",249,232,0,481
"Emporia City",-,"501 - Precinct 5-1",279,20,0,299
"Emporia City",-,"601 - District 6",178,234,0,412
"Emporia City",-,"701 - District 7",233,100,0,333
"Essex County",-,"101 - Greater Tappahannock",611,513,0,"1,124"
"Essex County",-,"201 - North",888,380,0,"1,268"
"Essex County",-,"301 - South",527,778,1,"1,306"
"Essex County",-,"401 - Central",610,654,2,"1,266"
"Essex County",-,"Ab - Central Absentee Precinct",327,236,0,563
"Essex County",-,Provisional,1,1,2,4
"Fairfax County",-,"104 - Chapel (CD 11)",898,736,2,"1,636"
"Fairfax County",-,"105 - Fairview (CD 11)","1,836","1,262",9,"3,107"
"Fairfax County",-,"106 - Heritage (CD 11)","1,707",646,8,"2,361"
"Fairfax County",-,"108 - Kings Park (CD 11)",955,728,5,"1,688"
"Fairfax County",-,"109 - Little Run (CD 11)","1,279",976,7,"2,262"
"Fairfax County",-,"110 - North Springfield (CD 11)","1,612","1,046",6,"2,664"
"Fairfax County",-,"113 - Canterbury (CD 11)","1,576","1,167",6,"2,749"
"Fairfax County",-,"115 - Ravensworth (CD 11)",682,536,4,"1,222"
"Fairfax County",-,"116 - Wakefield (CD 11)",920,622,7,"1,549"
"Fairfax County",-,"117 - Woodson (CD 11)","1,047",786,3,"1,836"
"Fairfax County",-,"118 - Lake Braddock (CD 11)","1,777",908,10,"2,695"
"Fairfax County",-,"119 - Laurel (CD 11)","1,581","1,166",12,"2,759"
"Fairfax County",-,"120 - Sideburn (CD 11)","1,094","1,130",2,"2,226"
"Fairfax County",-,"121 - Villa (CD 11)",754,602,6,"1,362"
"Fairfax County",-,"123 - Robinson (CD 11)","1,614","1,219",6,"2,839"
"Fairfax County",-,"125 - Signal Hill (CD 11)","1,226",905,3,"2,134"
"Fairfax County",-,"126 - Bonnie Brae (CD 11)",999,609,4,"1,612"
"Fairfax County",-,"127 - Burke Centre (CD 11)","1,778","1,161",3,"2,942"
"Fairfax County",-,"128 - Cardinal (CD 11)",920,589,4,"1,513"
"Fairfax County",-,"129 - Keene Mill (CD 11)",675,437,1,"1,113"
"Fairfax County",-,"130 - Terra Centre (CD 11)",928,712,3,"1,643"
"Fairfax County",-,"131 - Eagle View (CD 11)","1,324",911,5,"2,240"
"Fairfax County",-,"132 - Monument (CD 11)","1,401",882,3,"2,286"
"Fairfax County",-,"133 - Danbury (CD 11)",285,167,0,452
"Fairfax County",-,"134 - University (CD 11)","1,182",371,11,"1,564"
"Fairfax County",-,"202 - Flint Hill (CD 11)","1,130",932,5,"2,067"
"Fairfax County",-,"203 - Floris (CD 11)","1,431","1,077",3,"2,511"
"Fairfax County",-,"204 - Madison (CD 11)",412,193,2,607
"Fairfax County",-,"208 - Reston #1 (CD 11)","1,387",501,4,"1,892"
"Fairfax County",-,"209 - Reston #2 (CD 11)","1,480",580,8,"2,068"
"Fairfax County",-,"213 - Vienna #1 (CD 11)","1,626","1,072",4,"2,702"
"Fairfax County",-,"214 - Vienna #2 (CD 11)","1,241",908,3,"2,152"
"Fairfax County",-,"216 - Vienna #4 (CD 11)",650,390,0,"1,040"
"Fairfax County",-,"218 - Vienna #6 (CD 11)","1,031",524,2,"1,557"
"Fairfax County",-,"219 - Westbriar (CD 11)","1,366","1,000",5,"2,371"
"Fairfax County",-,"220 - Dogwood (CD 11)","1,812",762,4,"2,578"
"Fairfax County",-,"221 - Hunters Woods (CD 11)","1,153",659,5,"1,817"
"Fairfax County",-,"222 - Reston #3 (CD 11)","1,093",363,4,"1,460"
"Fairfax County",-,"223 - Glade (CD 11)","1,722",800,7,"2,529"
"Fairfax County",-,"224 - South Lakes (CD 11)","2,031",938,8,"2,977"
"Fairfax County",-,"225 - Terraset (CD 11)","1,833",668,5,"2,506"
"Fairfax County",-,"226 - Wolftrap (CD 11)","1,334","1,099",2,"2,435"
"Fairfax County",-,"227 - Sunrise Valley (CD 11)",703,517,4,"1,224"
"Fairfax County",-,"229 - Fox Mill (CD 10)","1,795","1,385",6,"3,186"
"Fairfax County",-,"233 - North Point (CD 11)","1,889","1,266",4,"3,159"
"Fairfax County",-,"234 - Aldrin (CD 11)","1,860","1,270",3,"3,133"
"Fairfax County",-,"235 - Frying Pan (CD 11)","1,326",643,7,"1,976"
"Fairfax County",-,"236 - Stuart (CD 11)",572,334,1,907
"Fairfax County",-,"237 - Mcnair (CD 11)","1,671",765,5,"2,441"
"Fairfax County",-,"238 - Cameron Glen (CD 11)","1,074",845,0,"1,919"
"Fairfax County",-,"240 - Colvin (CD 10)",757,837,1,"1,595"
"Fairfax County",-,"301 - Chain Bridge (CD 10)","1,014",860,1,"1,875"
"Fairfax County",-,"302 - Chesterbrook (CD 8)",808,673,1,"1,482"
"Fairfax County",-,"303 - Churchill (CD 10)",555,385,2,942
"Fairfax County",-,"304 - Cooper (CD 10)",649,674,6,"1,329"
"Fairfax County",-,"305 - El Nido (CD 8)",796,506,1,"1,303"
"Fairfax County",-,"306 - Great Falls (CD 10)",633,712,3,"1,348"
"Fairfax County",-,"307 - Haycock (CD 8)",939,645,3,"1,587"
"Fairfax County",-,"309 - Kenmore (CD 10)","1,077","1,120",3,"2,200"
"Fairfax County",-,"310 - Kirby (CD 8)",806,514,2,"1,322"
"Fairfax County",-,"311 - Langley (CD 10)",642,627,4,"1,273"
"Fairfax County",-,"312 - Longfellow (CD 8)","1,003",635,5,"1,643"
"Fairfax County",-,"314 - Mclean (CD 10)",854,617,2,"1,473"
"Fairfax County",-,"315 - Pimmit (CD 8)","1,393",798,4,"2,195"
"Fairfax County",-,"316 - Salona #1 (CD 8)",317,272,3,592
"Fairfax County",-,"317 - Westhampton (CD 8)",893,538,5,"1,436"
"Fairfax County",-,"318 - Westmoreland (CD 8)",544,360,1,905
"Fairfax County",-,"319 - Herndon #1 (CD 11)","1,521",969,7,"2,497"
"Fairfax County",-,"320 - Herndon #2 (CD 11)","1,794",821,4,"2,619"
"Fairfax County",-,"321 - Clearview (CD 10)","1,697","1,301",8,"3,006"
"Fairfax County",-,"322 - Forestville (CD 10)",830,"1,146",1,"1,977"
"Fairfax County",-,"323 - Shouse (CD 10)",849,589,5,"1,443"
"Fairfax County",-,"324 - Herndon #3 (CD 11)","1,595",735,4,"2,334"
"Fairfax County",-,"325 - Hutchison (CD 11)","1,099",412,5,"1,516"
"Fairfax County",-,"327 - Sugarland (CD 10)","1,170",960,3,"2,133"
"Fairfax County",-,"328 - Hickory (CD 10)",980,"1,032",9,"2,021"
"Fairfax County",-,"329 - Seneca (CD 10)","1,076","1,134",5,"2,215"
"Fairfax County",-,"331 - Spring Hill (CD 10)",704,658,1,"1,363"
"Fairfax County",-,"332 - Coates (CD 11)","1,381",557,7,"1,945"
"Fairfax County",-,"333 - Salona #2 (CD 8)",589,389,2,980
"Fairfax County",-,"401 - Bush Hill (CD 8)","1,280",873,6,"2,159"
"Fairfax County",-,"402 - Cameron (CD 8)",474,261,1,736
"Fairfax County",-,"404 - Franconia (CD 8)","1,441",784,6,"2,231"
"Fairfax County",-,"405 - Groveton (CD 8)",891,286,1,"1,178"
"Fairfax County",-,"406 - Hayfield (CD 8)",838,782,2,"1,622"
"Fairfax County",-,"408 - Mount Eagle (CD 8)","1,190",352,4,"1,546"
"Fairfax County",-,"409 - Pioneer (CD 8)","2,258",941,12,"3,211"
"Fairfax County",-,"410 - Rose Hill (CD 8)","1,726","1,066",6,"2,798"
"Fairfax County",-,"411 - Virginia Hills (CD 8)",955,525,2,"1,482"
"Fairfax County",-,"413 - Fairfield (CD 8)","1,209",204,3,"1,416"
"Fairfax County",-,"415 - Crestwood (CD 8)","1,033",613,4,"1,650"
"Fairfax County",-,"417 - Garfield (CD 8)","1,450",765,6,"2,221"
"Fairfax County",-,"418 - Lynbrook (CD 8)",906,466,3,"1,375"
"Fairfax County",-,"419 - Lane (CD 8)","1,484",623,5,"2,112"
"Fairfax County",-,"420 - Villages (CD 8)","1,711",928,5,"2,644"
"Fairfax County",-,"421 - Kingstowne (CD 8)","1,502",790,4,"2,296"
"Fairfax County",-,"422 - Van Dorn (CD 8)","1,539",739,2,"2,280"
"Fairfax County",-,"423 - Clermont (CD 8)","1,059",699,4,"1,762"
"Fairfax County",-,"424 - Huntley (CD 8)","1,157",662,4,"1,823"
"Fairfax County",-,"426 - Greenspring (CD 11)",803,607,1,"1,411"
"Fairfax County",-,"427 - Island Creek (CD 8)","1,107",630,2,"1,739"
"Fairfax County",-,"428 - Pinewood (CD 8)","1,473",359,2,"1,834"
"Fairfax County",-,"429 - Hybla Valley (CD 8)","1,784",365,3,"2,152"
"Fairfax County",-,"501 - Baileys (CD 8)","1,499",492,3,"1,994"
"Fairfax County",-,"502 - Barcroft (CD 11)",526,288,1,815
"Fairfax County",-,"503 - Belvedere (CD 11)",672,308,3,983
"Fairfax County",-,"504 - Bristow (CD 11)","1,100",447,3,"1,550"
"Fairfax County",-,"505 - Glen Forest (CD 8)","1,267",484,7,"1,758"
"Fairfax County",-,"506 - Holmes (CD 11)",514,215,3,732
"Fairfax County",-,"506 - Holmes (CD 8)",626,185,3,814
"Fairfax County",-,"507 - Lincolnia (CD 8)","1,353",569,8,"1,930"
"Fairfax County",-,"508 - Masonville (CD 11)","1,168",633,3,"1,804"
"Fairfax County",-,"510 - Parklawn (CD 8)",901,519,6,"1,426"
"Fairfax County",-,"511 - Ravenwood (CD 11)","1,013",585,2,"1,600"
"Fairfax County",-,"512 - Sleepy Hollow (CD 11)",584,349,0,933
"Fairfax County",-,"513 - Saint Albans (CD 11)",719,342,2,"1,063"
"Fairfax County",-,"513 - Saint Albans (CD 8)",335,218,0,553
"Fairfax County",-,"515 - Westlawn (CD 8)",743,363,2,"1,108"
"Fairfax County",-,"516 - Weyanoke (CD 8)","1,415",517,3,"1,935"
"Fairfax County",-,"517 - Willston (CD 8)",818,311,2,"1,131"
"Fairfax County",-,"518 - Columbia (CD 11)","1,088",608,6,"1,702"
"Fairfax County",-,"519 - Hummer (CD 11)",774,482,4,"1,260"
"Fairfax County",-,"520 - Skyline (CD 8)","2,066",534,3,"2,603"
"Fairfax County",-,"521 - Brook Hill (CD 8)",869,549,6,"1,424"
"Fairfax County",-,"522 - Camelot (CD 11)",548,480,1,"1,029"
"Fairfax County",-,"523 - Poe (CD 8)","1,061",609,10,"1,680"
"Fairfax County",-,"525 - Walnut Hill (CD 8)","1,507",821,9,"2,337"
"Fairfax County",-,"526 - Bren Mar (CD 8)","1,577",590,3,"2,170"
"Fairfax County",-,"527 - Edsall (CD 8)",881,494,2,"1,377"
"Fairfax County",-,"528 - Ridgelea (CD 11)",460,377,2,839
"Fairfax County",-,"601 - Belle Haven (CD 8)",785,634,1,"1,420"
"Fairfax County",-,"602 - Belleview (CD 8)",977,582,3,"1,562"
"Fairfax County",-,"604 - Bucknell (CD 8)","1,796",568,5,"2,369"
"Fairfax County",-,"605 - Fort Hunt (CD 8)",803,776,2,"1,581"
"Fairfax County",-,"606 - Hollin Hall (CD 8)",912,742,8,"1,662"
"Fairfax County",-,"607 - Huntington (CD 8)","1,611",637,8,"2,256"
"Fairfax County",-,"608 - Kirkside (CD 8)",886,389,1,"1,276"
"Fairfax County",-,"609 - Marlan (CD 8)",798,638,4,"1,440"
"Fairfax County",-,"610 - Sherwood (CD 8)",891,419,2,"1,312"
"Fairfax County",-,"611 - Stratford (CD 8)","1,045",873,3,"1,921"
"Fairfax County",-,"612 - Waynewood (CD 8)",471,459,2,932
"Fairfax County",-,"613 - Westgate (CD 8)","1,140","1,411",2,"2,553"
"Fairfax County",-,"614 - Riverside (CD 8)",679,709,6,"1,394"
"Fairfax County",-,"615 - Woodley (CD 8)","1,073",773,5,"1,851"
"Fairfax County",-,"616 - Gunston (CD 8)",871,810,3,"1,684"
"Fairfax County",-,"617 - Lorton (CD 8)","1,146",333,2,"1,481"
"Fairfax County",-,"618 - Newington (CD 11)","2,064","1,243",19,"3,326"
"Fairfax County",-,"619 - Belvoir (CD 8)","1,070",676,2,"1,748"
"Fairfax County",-,"621 - Grosvenor (CD 8)","1,006",413,5,"1,424"
"Fairfax County",-,"622 - Lorton Station (CD 8)","1,223",453,0,"1,676"
"Fairfax County",-,"623 - Alban (CD 8)",562,346,2,910
"Fairfax County",-,"625 - Lorton Center (CD 8)",857,485,3,"1,345"
"Fairfax County",-,"626 - Saratoga (CD 8)","2,117","1,314",5,"3,436"
"Fairfax County",-,"627 - Woodlawn (CD 8)","1,685",606,3,"2,294"
"Fairfax County",-,"628 - Laurel Hill (CD 11)","1,646",719,4,"2,369"
"Fairfax County",-,"629 - South County (CD 11)","1,042",896,4,"1,942"
"Fairfax County",-,"701 - Blake (CD 11)","1,929","1,058",4,"2,991"
"Fairfax County",-,"703 - Fort Buffalo (CD 8)",864,300,3,"1,167"
"Fairfax County",-,"704 - Freedom Hill (CD 11)",876,566,2,"1,444"
