County/City,Ward,Pct,"Joseph Robinette Biden, Jr","Donald J. Trump","Jo Jorgensen","All Others","Total Votes Cast"
"Chesapeake City",-,"26 - Johnson Park (CD 3)",201,158,14,3,376
"Chesapeake City",-,"27 - Silverwood (CD 3)",176,347,13,3,539
"Chesapeake City",-,"28 - Sunray I (CD 4)",47,178,4,0,229
"Chesapeake City",-,"29 - Tanglewood (CD 3)",129,404,27,1,561
"Chesapeake City",-,"30 - South Norfolk (CD 3)",246,24,4,2,276
"Chesapeake City",-,"31 - Carver School (CD 3)",424,170,12,3,609
"Chesapeake City",-,"32 - Providence (CD 3)",586,67,10,4,667
"Chesapeake City",-,"33 - Westover (CD 3)",134,391,8,3,536
"Chesapeake City",-,"34 - Hickory Middle School (CD 4)",131,693,20,6,850
"Chesapeake City",-,"35 - Taylor Road (CD 3)",252,154,14,3,423
"Chesapeake City",-,"36 - Great Bridge Baptist Church (CD 4)",185,538,13,7,743
"Chesapeake City",-,"37 - Bridgetown (CD 4)",140,387,15,0,542
"Chesapeake City",-,"38 - Bailey Creek (CD 3)",90,395,19,1,505
"Chesapeake City",-,"39 - Lake Drummond (CD 4)",141,398,23,0,562
"Chesapeake City",-,"41 - John T West (CD 4)",315,570,32,7,924
"Chesapeake City",-,"42 - Parkways (CD 3)",245,237,9,6,497
"Chesapeake City",-,"43 - Pleasant Crossing (CD 4)",91,491,13,4,599
"Chesapeake City",-,"44 - Nansemond (CD 3)",202,249,4,2,457
"Chesapeake City",-,"45 - Sunray II (CD 4)",78,152,5,1,236
"Chesapeake City",-,"46 - Bells Mill II (CD 4)",152,421,15,0,588
"Chesapeake City",-,"48 - Jolliff Middle School (CD 4)",462,110,13,3,588
"Chesapeake City",-,"49 - Waterway (CD 4)",139,369,11,4,523
"Chesapeake City",-,"50 - River Walk (CD 4)",259,348,15,4,626
"Chesapeake City",-,"51 - Coopers Way (CD 4)",164,775,21,4,964
"Chesapeake City",-,"52 - Shipyard Road (CD 4)",130,244,9,2,385
"Chesapeake City",-,"53 - Fairways (CD 3)",315,454,22,9,800
"Chesapeake City",-,"54 - Pughsville (CD 3)",295,172,16,3,486
"Chesapeake City",-,"55 - Georgetown East (CD 3)",101,74,7,1,183
"Chesapeake City",-,"56 - Green Tree (CD 3)",178,253,5,3,439
"Chesapeake City",-,"57 - Cypress (CD 3)",260,236,11,5,512
"Chesapeake City",-,"58 - Expressway (CD 4)",128,84,7,2,221
"Chesapeake City",-,"59 - Clearfield (CD 4)",178,382,15,2,577
"Chesapeake City",-,"60 - Parker Road (CD 4)",103,390,11,1,505
"Chesapeake City",-,"61 - Centerville (CD 4)",139,744,20,2,905
"Chesapeake City",-,"62 - Fentress (CD 4)",183,685,25,2,895
"Chesapeake City",-,"63 - Poplar Branch (CD 4)",60,357,11,1,429
"Chesapeake City",-,"64 - Deep Creek Ii (CD 4)",176,303,17,1,497
"Chesapeake City",-,"65 - Waterway Ii (CD 4)",152,314,19,3,488
"Chesapeake City",-,"AB - Central Absentee Precinct (CD 3)","27,418","12,035",452,114,"40,019"
"Chesapeake City",-,"Ab - Central Absentee Precinct (CD 4)","26,370","23,467",668,166,"50,671"
"Chesapeake City",-,"Provisional (CD 3)",178,88,6,1,273
"Chesapeake City",-,"Provisional (CD 4)",143,150,14,1,308
"Chesterfield County",-,"101 - Bellwood (CD 4)",315,446,13,3,777
"Chesterfield County",-,"102 - South Chester (CD 4)",434,610,20,3,"1,067"
"Chesterfield County",-,"103 - Enon (CD 4)",428,971,31,4,"1,434"
"Chesterfield County",-,"104 - North Chester (CD 4)",291,781,24,6,"1,102"
"Chesterfield County",-,"105 - Drewrys Bluff (CD 7)",406,363,10,1,780
"Chesterfield County",-,"106 - Harrowgate (CD 4)",500,726,24,5,"1,255"
"Chesterfield County",-,"107 - Wells (CD 4)",421,533,15,3,972
"Chesterfield County",-,"108 - Ecoff (CD 4)",267,599,24,6,896
"Chesterfield County",-,"109 - Elizabeth Scott (CD 4)",478,849,29,4,"1,360"
"Chesterfield County",-,"110 - Dutch Gap (CD 4)",222,500,13,3,738
"Chesterfield County",-,"111 - Iron Bridge (CD 4)",129,306,17,1,453
"Chesterfield County",-,"112 - Carver (CD 4)",269,385,14,2,670
"Chesterfield County",-,"113 - Iron Bridge North (CD 4)",219,297,11,8,535
"Chesterfield County",-,"201 - Gates (CD 4)",226,426,15,3,670
"Chesterfield County",-,"202 - Beulah (CD 7)",397,356,17,3,773
"Chesterfield County",-,"203 - Bird (CD 4)",110,209,7,1,327
"Chesterfield County",-,"204 - Jacobs (CD 7)",187,341,10,3,541
"Chesterfield County",-,"205 - Falling Creek (CD 7)",336,204,10,5,555
"Chesterfield County",-,"206 - Belmont (CD 7)",385,103,12,0,500
"Chesterfield County",-,"207 - Chippenham (CD 7)",197,104,4,0,305
"Chesterfield County",-,"208 - Meadowbrook (CD 7)",319,209,8,3,539
"Chesterfield County",-,"209 - Salem Church (CD 4)",392,642,22,3,"1,059"
"Chesterfield County",-,"210 - Five Forks (CD 7)",415,423,24,1,863
"Chesterfield County",-,"211 - Nash (CD 4)",168,616,23,3,810
"Chesterfield County",-,"212 - St. Luke's (CD 7)",163,283,7,5,458
"Chesterfield County",-,"213 - Southside (CD 7)",234,120,6,2,362
"Chesterfield County",-,"214 - Hopkins (CD 7)",108,23,1,0,132
"Chesterfield County",-,"215 - North Bird (CD 7)",189,144,3,0,336
"Chesterfield County",-,"216 - Ridgedale (CD 7)",347,146,13,3,509
"Chesterfield County",-,"301 - Ettrick (CD 4)",448,175,8,0,631
"Chesterfield County",-,"302 - Deer Run (CD 7)",121,328,13,4,466
"Chesterfield County",-,"303 - Matoaca (CD 4)",254,565,17,3,839
"Chesterfield County",-,"304 - Winfrees Store (CD 4)",115,691,14,1,821
"Chesterfield County",-,"305 - Beach (CD 4)",71,362,4,0,437
"Chesterfield County",-,"306 - Winterpock (CD 7)",167,927,10,5,"1,109"
"Chesterfield County",-,"307 - Cosby (CD 7)",463,975,27,3,"1,468"
"Chesterfield County",-,"308 - South Manchester (CD 7)",104,151,7,0,262
"Chesterfield County",-,"309 - Skinquarter (CD 7)",154,531,26,3,714
"Chesterfield County",-,"310 - Tomahawk (CD 7)",300,628,39,5,972
"Chesterfield County",-,"313 - Woolridge (CD 7)",328,826,16,11,"1,181"
"Chesterfield County",-,"314 - Longhouse (CD 4)",55,383,9,5,452
"Chesterfield County",-,"315 - Bailey Bridge (CD 7)",183,755,18,2,958
"Chesterfield County",-,"316 - Spring Run (CD 7)",357,804,25,3,"1,189"
"Chesterfield County",-,"317 - Birkdale (CD 7)",259,660,22,8,949
"Chesterfield County",-,"318 - West Beach (CD 7)",86,292,5,3,386
"Chesterfield County",-,"319 - Magnolia (CD 7)",287,857,26,4,"1,174"
"Chesterfield County",-,"401 - Harbour Pointe (CD 7)",174,398,10,1,583
"Chesterfield County",-,"402 - Genito (CD 7)",113,190,10,2,315
"Chesterfield County",-,"403 - Brandermill (CD 7)",274,548,18,4,844
"Chesterfield County",-,"404 - Providence (CD 7)",295,379,22,3,699
"Chesterfield County",-,"405 - La Prade (CD 7)",161,308,11,3,483
"Chesterfield County",-,"406 - Smoketree (CD 7)",193,422,15,3,633
"Chesterfield County",-,"407 - Monacan (CD 7)",113,302,10,4,429
"Chesterfield County",-,"408 - Reams (CD 7)",337,392,26,3,758
"Chesterfield County",-,"409 - Manchester (CD 7)",296,309,13,2,620
"Chesterfield County",-,"410 - Wagstaff (CD 7)",199,319,20,4,542
"Chesterfield County",-,"411 - Swift Creek (CD 7)",282,557,22,7,868
"Chesterfield County",-,"412 - Clover Hill (CD 7)",243,519,19,2,783
"Chesterfield County",-,"413 - Shenandoah (CD 7)",335,443,21,3,802
"Chesterfield County",-,"414 - Crenshaw (CD 7)",443,827,34,4,"1,308"
"Chesterfield County",-,"415 - Evergreen (CD 7)",253,443,14,8,718
"Chesterfield County",-,"416 - Evergreen West (CD 7)",216,298,15,1,530
"Chesterfield County",-,"417 - Edgewater (CD 7)",155,292,9,3,459
"Chesterfield County",-,"501 - Huguenot (CD 7)",330,410,24,7,771
"Chesterfield County",-,"502 - Crestwood (CD 7)",192,264,10,0,466
"Chesterfield County",-,"503 - Midlothian (CD 7)",212,452,15,2,681
"Chesterfield County",-,"504 - Robious (CD 7)",274,702,16,8,"1,000"
"Chesterfield County",-,"505 - Bon Air (CD 7)",256,421,20,7,704
"Chesterfield County",-,"506 - Greenfield (CD 7)",418,476,34,5,933
"Chesterfield County",-,"507 - Salisbury (CD 7)",285,843,27,12,"1,167"
"Chesterfield County",-,"508 - Belgrade (CD 7)",257,408,20,6,691
"Chesterfield County",-,"509 - Cranbeck (CD 7)",316,342,14,2,674
"Chesterfield County",-,"510 - Sycamore (CD 7)",210,417,25,4,656
"Chesterfield County",-,"511 - Black Heath (CD 7)",209,480,22,3,714
"Chesterfield County",-,"513 - Beaufont (CD 7)",270,168,6,3,447
"Chesterfield County",-,"514 - Watkins (CD 7)",267,557,23,5,852
"Chesterfield County",-,"515 - Davis (CD 7)",461,211,15,3,690
"Chesterfield County",-,"516 - Pocoshock (CD 7)",221,156,6,3,386
"Chesterfield County",-,"517 - Roseland (CD 7)",221,474,17,6,718
"Chesterfield County",-,"518 - Midlothian North (CD 7)",221,587,16,6,830
"Chesterfield County",-,"Ab - Central Absentee Precinct (CD 4)","21,230","17,173",384,87,"38,874"
"Chesterfield County",-,"Ab - Central Absentee Precinct (CD 7)","64,275","39,987","1,207",324,"105,793"
"Chesterfield County",-,"Provisional (CD 4)",110,62,7,0,179
"Chesterfield County",-,"Provisional (CD 7)",314,165,17,2,498
"Clarke County",-,"101 - Russell",104,550,15,1,670
"Clarke County",-,"201 - Berryville",156,352,13,6,527
"Clarke County",-,"301 - Millwood",99,368,12,0,479
"Clarke County",-,"302 - Pine Grove",80,191,8,5,284
"Clarke County",-,"401 - White Post",182,580,25,4,791
"Clarke County",-,"501 - Buckmarsh",99,372,6,3,480
"Clarke County",-,"502 - Blue Ridge",71,219,9,1,300
"Clarke County",-,"Ab - Central Absentee Precinct","3,121","2,554",90,27,"5,792"
"Clarke County",-,Provisional,8,6,0,0,14
"Colonial Heights City",-,"1 - First",185,444,14,0,643
"Colonial Heights City",-,"2 - Second",167,446,13,4,630
"Colonial Heights City",-,"3 - Third",196,460,14,3,673
"Colonial Heights City",-,"4 - Fourth",193,489,13,1,696
"Colonial Heights City",-,"5 - Fifth",129,583,17,1,730
"Colonial Heights City",-,"Ab - Central Absentee Precinct","2,095","3,577",64,23,"5,759"
"Colonial Heights City",-,Provisional,7,8,0,0,15
"Covington City",-,"101 - Precinct 1-1",81,181,4,0,266
"Covington City",-,"201 - Precinct 2-1",64,174,7,2,247
"Covington City",-,"301 - Precinct 3-1",90,130,6,2,228
"Covington City",-,"401 - Precinct 4-1",74,280,11,1,366
"Covington City",-,"501 - Precinct 5-1",77,305,2,0,384
"Covington City",-,"Ab - Central Absentee Precinct",578,510,20,4,"1,112"
"Covington City",-,Provisional,0,0,0,0,0
"Craig County",-,"101 - Court House",38,298,5,0,341
"Craig County",-,"201 - Ammendale Precinct",49,368,8,2,427
"Craig County",-,"301 - Givens & Reynolds Store",47,242,5,1,295
"Craig County",-,"303 - Marshalls Store",39,159,1,0,199
"Craig County",-,"401 - Barbours Creek",28,158,7,1,194
"Craig County",-,"402 - Paint Bank",10,33,0,0,43
"Craig County",-,"403 - Craig Springs",24,164,1,0,189
"Craig County",-,"501 - Craig City",38,299,3,0,340
"Craig County",-,"AB - Central Absentee Precinct",313,804,10,2,"1,129"
"Craig County",-,Provisional,1,11,0,0,12
"Culpeper County",-,"101 - West Fairfax",384,745,22,6,"1,157"
"Culpeper County",-,"201 - East Fairfax",387,585,18,5,995
"Culpeper County",-,"302 - Eggbornsville",104,682,17,4,807
"Culpeper County",-,"303 - Cardova",121,582,8,1,712
"Culpeper County",-,"304 - Willow Shade",100,195,9,2,306
"Culpeper County",-,"401 - Eldorado",139,733,17,2,891
"Culpeper County",-,"402 - Browns Store",185,972,20,3,"1,180"
"Culpeper County",-,"501 - Jeffersonton",206,929,18,7,"1,160"
"Culpeper County",-,"502 - Rixeyville",169,848,20,4,"1,041"
"Culpeper County",-,"601 - Mitchells",62,165,1,1,229
"Culpeper County",-,"602 - Pearl Sample",167,681,22,4,874
"Culpeper County",-,"603 - South Ridge",114,218,3,1,336
"Culpeper County",-,"702 - Brandy Station",207,940,17,3,"1,167"
"Culpeper County",-,"703 - Lignum",125,507,11,1,644
"Culpeper County",-,"704 - Richardsville",73,349,6,1,429
"Culpeper County",-,"Ab - Central Absentee Precinct","8,016","6,836",191,36,"15,079"
"Culpeper County",-,Provisional,58,45,6,0,109
"Cumberland County",-,"101 - Precinct 1",191,539,11,4,745
"Cumberland County",-,"201 - Precinct 2",123,434,10,2,569
"Cumberland County",-,"301 - Precinct 3",162,232,4,0,398
"Cumberland County",-,"401 - Precinct 4",141,429,5,0,575
"Cumberland County",-,"501 - Precinct 5",186,340,3,1,530
"Cumberland County",-,"Ab - Central Absentee Precinct","1,422","1,039",20,4,"2,485"
"Cumberland County",-,Provisional,2,6,0,0,8
"Danville City",-,"1 - Ward One",173,44,5,2,224
"Danville City",-,"2 - Ward Two",121,96,8,3,228
"Danville City",-,"3 - Ward Three",249,119,11,1,380
"Danville City",-,"4 - Ward Four",411,411,9,2,833
"Danville City",-,"6 - Ward Six",205,33,4,1,243
"Danville City",-,"7 - Ward Seven",342,85,3,0,430
"Danville City",-,"8 - Ward Eight",278,130,6,1,415
"Danville City",-,"9 - Ward Nine",193,196,6,1,396
"Danville City",-,"10 - Ward Ten",270,221,9,1,501
"Danville City",-,"11 - Ward Eleven",379,171,10,0,560
"Danville City",-,"12 - Ward Twelve",346,268,3,1,618
"Danville City",-,"13 - Ward Thirteen",359,236,11,4,610
"Danville City",-,"14 - Ward Fourteen",85,6,0,0,91
"Danville City",-,"15 - Ward Fifteen",261,335,15,0,611
"Danville City",-,"16 - Ward Sixteen",260,480,9,4,753
"Danville City",-,"17 - Ward Seventeen",128,379,10,3,520
"Danville City",-,"Ab - Central Absentee Precinct","7,555","4,186",74,29,"11,844"
"Danville City",-,Provisional,95,32,2,3,132
"Dickenson County",-,"101 - South Clintwood",59,461,2,0,522
"Dickenson County",-,"201 - Nora",34,276,3,0,313
"Dickenson County",-,"202 - Frying Pan",15,130,0,0,145
"Dickenson County",-,"203 - Clinchco",55,310,3,0,368
"Dickenson County",-,"301 - West Dante",12,184,0,0,196
"Dickenson County",-,"302 - Herald",22,325,0,1,348
"Dickenson County",-,"303 - Ridge",43,335,3,0,381
"Dickenson County",-,"401 - Haysi-colley",141,698,7,0,846
"Dickenson County",-,"501 - Tarpon",38,138,2,0,178
"Dickenson County",-,"502 - North Clintwood",54,428,6,0,488
"Dickenson County",-,"Ab - Central Absentee Precinct","1,030","2,462",18,7,"3,517"
"Dickenson County",-,Provisional,0,1,0,0,1
"Dinwiddie County",-,"101 - White Oak",49,367,5,0,421
"Dinwiddie County",-,"102 - Rocky Run",68,397,5,1,471
"Dinwiddie County",-,"103 - Church Road",59,647,9,6,721
"Dinwiddie County",-,"201 - Rohoic",184,208,6,2,400
"Dinwiddie County",-,"202 - Sutherland",232,651,9,0,892
"Dinwiddie County",-,"301 - Reams",89,329,5,0,423
"Dinwiddie County",-,"302 - New Hope",108,400,2,1,511
"Dinwiddie County",-,"303 - Little Zion",222,345,4,0,571
"Dinwiddie County",-,"401 - Dinwiddie",126,435,9,0,570
"Dinwiddie County",-,"402 - Mckenney",146,315,4,1,466
"Dinwiddie County",-,"403 - Cherry Hill",117,189,8,0,314
"Dinwiddie County",-,"501 - Edgehill",67,49,1,0,117
"Dinwiddie County",-,"502 - Chesdin",477,377,18,1,873
"Dinwiddie County",-,"Ab - Central Absentee Precinct","4,265","3,982",59,17,"8,323"
"Dinwiddie County",-,Provisional,15,4,0,0,19
"Emporia City",-,"101 - Precinct 1-1",162,68,4,0,234
"Emporia City",-,"201 - Precinct 2-1",116,8,1,0,125
"Emporia City",-,"301 - Precinct 3-1",97,107,0,0,204
"Emporia City",-,"401 - Precinct 4-1",115,122,2,0,239
"Emporia City",-,"501 - Precinct 5-1",118,8,1,0,127
"Emporia City",-,"601 - District 6",77,144,1,0,222
"Emporia City",-,"701 - District 7",131,53,1,0,185
"Emporia City",-,"AB - Central Absentee Precinct",796,244,3,2,"1,045"
"Emporia City",-,Provisional,0,0,0,0,0
"Essex County",-,"101 - Greater Tappahannock",215,230,12,1,458
"Essex County",-,"201 - North",300,201,7,1,509
"Essex County",-,"301 - South",201,534,9,0,744
"Essex County",-,"401 - Central",183,369,4,0,556
"Essex County",-,"Ab - Central Absentee Precinct","2,131","1,736",26,5,"3,898"
"Essex County",-,Provisional,8,5,0,0,13
"Fairfax County",-,"104 - Chapel (CD 11)",320,349,15,9,693
"Fairfax County",-,"105 - Fairview (CD 11)",687,617,25,11,"1,340"
"Fairfax County",-,"106 - Heritage (CD 11)",730,500,17,8,"1,255"
"Fairfax County",-,"108 - Kings Park (CD 11)",411,392,21,9,833
"Fairfax County",-,"109 - Little Run (CD 11)",234,186,4,5,429
"Fairfax County",-,"110 - North Springfield (CD 11)",658,689,17,17,"1,381"
"Fairfax County",-,"113 - Canterbury (CD 11)",518,542,20,21,"1,101"
"Fairfax County",-,"114 - Olde Creek (CD 11)",341,308,12,7,668
"Fairfax County",-,"115 - Ravensworth (CD 11)",354,381,12,9,756
"Fairfax County",-,"116 - Wakefield (CD 11)",357,315,13,9,694
"Fairfax County",-,"117 - Woodson (CD 11)",313,384,14,17,728
"Fairfax County",-,"118 - Lake Braddock (CD 11)",659,496,26,6,"1,187"
"Fairfax County",-,"119 - Laurel (CD 11)",594,587,26,10,"1,217"
"Fairfax County",-,"120 - Sideburn (CD 11)",394,519,21,14,948
"Fairfax County",-,"121 - Villa (CD 11)",373,374,14,8,769
"Fairfax County",-,"123 - Robinson (CD 11)",466,520,23,8,"1,017"
"Fairfax County",-,"125 - Signal Hill (CD 11)",426,401,18,9,854
"Fairfax County",-,"126 - Bonnie Brae (CD 11)",438,321,12,5,776
"Fairfax County",-,"127 - Burke Centre (CD 11)",742,527,25,15,"1,309"
"Fairfax County",-,"128 - Cardinal (CD 11)",428,340,15,11,794
"Fairfax County",-,"129 - Keene Mill (CD 11)",312,279,10,9,610
"Fairfax County",-,"130 - Terra Centre (CD 11)",418,361,19,10,808
"Fairfax County",-,"131 - Eagle View (CD 11)",405,437,28,4,874
"Fairfax County",-,"132 - Monument (CD 11)",316,288,17,5,626
"Fairfax County",-,"133 - Danbury (CD 11)",195,111,12,6,324
"Fairfax County",-,"134 - University (CD 11)",275,52,12,8,347
"Fairfax County",-,"201 - Armstrong (CD 11)",482,358,23,6,869
"Fairfax County",-,"202 - Flint Hill (CD 11)",299,391,18,6,714
"Fairfax County",-,"203 - Floris (CD 11)",465,455,17,1,938
"Fairfax County",-,"204 - Madison (CD 11)",151,106,4,0,261
"Fairfax County",-,"208 - Reston #1 (CD 11)",558,352,22,7,939
"Fairfax County",-,"209 - Reston #2 (CD 11)",622,271,21,11,925
"Fairfax County",-,"213 - Vienna #1 (CD 11)",447,468,29,14,958
"Fairfax County",-,"214 - Vienna #2 (CD 11)",311,358,18,18,705
"Fairfax County",-,"216 - Vienna #4 (CD 11)",206,192,6,5,409
"Fairfax County",-,"218 - Vienna #6 (CD 11)",232,221,13,4,470
"Fairfax County",-,"219 - Westbriar (CD 11)",398,386,20,11,815
"Fairfax County",-,"220 - Dogwood (CD 11)",698,420,23,14,"1,155"
"Fairfax County",-,"221 - Hunters Woods (CD 11)",338,283,11,7,639
"Fairfax County",-,"222 - Reston #3 (CD 11)",356,163,18,4,541
"Fairfax County",-,"223 - Glade (CD 11)",459,316,28,15,818
"Fairfax County",-,"224 - South Lakes (CD 11)",566,444,29,10,"1,049"
"Fairfax County",-,"225 - Hughes (CD 11)",587,325,37,4,953
"Fairfax County",-,"226 - Wolftrap (CD 11)",414,455,16,18,903
"Fairfax County",-,"227 - Sunrise Valley (CD 11)",239,213,10,4,466
"Fairfax County",-,"229 - Fox Mill (CD 10)",554,646,32,13,"1,245"
"Fairfax County",-,"233 - North Point (CD 11)",372,450,17,6,845
"Fairfax County",-,"234 - Aldrin (CD 11)",344,275,13,8,640
"Fairfax County",-,"235 - Frying Pan (CD 11)",407,294,11,7,719
"Fairfax County",-,"236 - Stuart (CD 11)",262,171,18,3,454
"Fairfax County",-,"237 - Mcnair (CD 11)",533,313,12,9,867
"Fairfax County",-,"238 - Cameron Glen (CD 11)",233,270,15,7,525
"Fairfax County",-,"240 - Colvin (CD 10)",232,296,12,8,548
"Fairfax County",-,"301 - Chain Bridge (CD 10)",231,363,12,10,616
"Fairfax County",-,"302 - Chesterbrook (CD 8)",170,222,9,8,409
"Fairfax County",-,"303 - Churchill (CD 10)",197,198,10,7,412
"Fairfax County",-,"304 - Cooper (CD 10)",160,251,3,7,421
"Fairfax County",-,"305 - El Nido (CD 8)",246,231,17,12,506
"Fairfax County",-,"306 - Great Falls (CD 10)",206,360,7,7,580
"Fairfax County",-,"307 - Haycock (CD 8)",282,240,14,14,550
"Fairfax County",-,"309 - Kenmore (CD 10)",289,348,11,6,654
"Fairfax County",-,"310 - Kirby (CD 8)",228,219,12,7,466
"Fairfax County",-,"311 - Langley (CD 10)",176,257,12,10,455
"Fairfax County",-,"312 - Longfellow (CD 8)",236,282,9,9,536
"Fairfax County",-,"314 - Mclean (CD 10)",139,192,10,5,346
"Fairfax County",-,"315 - Pimmit (CD 8)",407,401,22,2,832
"Fairfax County",-,"316 - Salona #1 (CD 8)",76,105,6,3,190
"Fairfax County",-,"317 - Westhampton (CD 8)",188,231,14,8,441
"Fairfax County",-,"318 - Westmoreland (CD 8)",191,149,5,3,348
"Fairfax County",-,"319 - Herndon #1 (CD 11)",541,478,30,6,"1,055"
"Fairfax County",-,"320 - Herndon #2 (CD 11)",582,434,19,15,"1,050"
"Fairfax County",-,"321 - Clearview (CD 10)",496,531,33,14,"1,074"
"Fairfax County",-,"322 - Forestville (CD 10)",316,588,23,9,936
"Fairfax County",-,"323 - Shouse (CD 10)",300,311,6,8,625
"Fairfax County",-,"324 - Herndon #3 (CD 11)",522,383,20,12,937
"Fairfax County",-,"325 - Hutchison (CD 11)",532,202,15,3,752
"Fairfax County",-,"327 - Sugarland (CD 10)",391,464,22,10,887
"Fairfax County",-,"328 - Hickory (CD 10)",239,392,15,11,657
"Fairfax County",-,"329 - Seneca (CD 10)",405,541,15,9,970
"Fairfax County",-,"331 - Spring Hill (CD 10)",196,214,8,4,422
"Fairfax County",-,"332 - Coates (CD 11)",694,433,29,14,"1,170"
"Fairfax County",-,"333 - Salona #2 (CD 8)",156,147,11,10,324
"Fairfax County",-,"401 - Bush Hill (CD 8)",550,481,32,5,"1,068"
"Fairfax County",-,"402 - Cameron (CD 8)",259,165,8,3,435
"Fairfax County",-,"403 - Forestdale (CD 8)",247,153,8,5,413
"Fairfax County",-,"404 - Franconia (CD 8)",484,369,11,8,872
"Fairfax County",-,"405 - Groveton (CD 8)",405,178,8,5,596
"Fairfax County",-,"406 - Hayfield (CD 8)",328,421,15,10,774
"Fairfax County",-,"408 - Mount Eagle (CD 8)",524,215,18,7,764
"Fairfax County",-,"409 - Pioneer (CD 8)",817,492,19,3,"1,331"
"Fairfax County",-,"410 - Rose Hill (CD 8)",708,617,26,8,"1,359"
"Fairfax County",-,"411 - Virginia Hills (CD 8)",532,310,17,6,865
"Fairfax County",-,"413 - Fairfield (CD 8)",611,181,9,5,806
"Fairfax County",-,"415 - Crestwood (CD 8)",614,540,15,6,"1,175"
"Fairfax County",-,"417 - Garfield (CD 8)",809,514,17,15,"1,355"
"Fairfax County",-,"418 - Lynbrook (CD 8)",566,301,12,2,881
"Fairfax County",-,"419 - Lane (CD 8)",572,377,22,5,976
"Fairfax County",-,"420 - Villages (CD 8)",594,408,20,7,"1,029"
"Fairfax County",-,"421 - Kingstowne (CD 8)",460,336,20,13,829
"Fairfax County",-,"422 - Van Dorn (CD 8)",537,327,15,9,888
"Fairfax County",-,"423 - Clermont (CD 8)",498,383,25,8,914
"Fairfax County",-,"424 - Huntley (CD 8)",475,374,15,5,869
"Fairfax County",-,"426 - Greenspring (CD 11)",357,233,3,3,596
"Fairfax County",-,"427 - Island Creek (CD 8)",484,307,24,6,821
"Fairfax County",-,"428 - Pinewood (CD 8)",630,187,7,4,828
"Fairfax County",-,"429 - Hybla Valley (CD 8)",823,210,11,6,"1,050"
"Fairfax County",-,"501 - Baileys (CD 8)",641,253,18,10,922
"Fairfax County",-,"502 - Barcroft (CD 11)",167,150,2,5,324
"Fairfax County",-,"503 - Belvedere (CD 11)",205,158,5,14,382
"Fairfax County",-,"504 - Bristow (CD 11)",529,356,12,3,900
"Fairfax County",-,"505 - Glen Forest (CD 8)",534,294,9,4,841
"Fairfax County",-,"506 - Holmes #1 (CD 8)",153,70,5,0,228
"Fairfax County",-,"507 - Lincolnia (CD 8)",495,289,17,10,811
"Fairfax County",-,"508 - Masonville (CD 11)",361,339,17,4,721
"Fairfax County",-,"509 - Plaza (CD 8)",425,102,4,1,532
"Fairfax County",-,"510 - Parklawn (CD 8)",381,235,11,3,630
"Fairfax County",-,"511 - Ravenwood (CD 11)",362,269,12,7,650
"Fairfax County",-,"512 - Sleepy Hollow (CD 11)",264,217,9,4,494
"Fairfax County",-,"513 - Saint Albans (CD 11)",241,174,7,4,426
"Fairfax County",-,"513 - Saint Albans (CD 8)",133,95,6,2,236
"Fairfax County",-,"514 - Crossroads (CD 8)",112,37,3,2,154
"Fairfax County",-,"515 - Westlawn (CD 8)",357,235,6,2,600
"Fairfax County",-,"516 - Weyanoke (CD 8)",607,335,14,5,961
"Fairfax County",-,"517 - Willston (CD 8)",336,230,7,4,577
"Fairfax County",-,"518 - Columbia (CD 11)",475,386,16,6,883
"Fairfax County",-,"519 - Hummer (CD 11)",287,259,7,3,556
"Fairfax County",-,"520 - Skyline (CD 8)",500,176,6,5,687
"Fairfax County",-,"521 - Brook Hill (CD 8)",358,360,11,10,739
"Fairfax County",-,"522 - Camelot (CD 11)",219,230,10,4,463
"Fairfax County",-,"523 - Poe (CD 8)",372,314,9,1,696
"Fairfax County",-,"525 - Walnut Hill (CD 8)",475,406,16,11,908
"Fairfax County",-,"526 - Bren Mar (CD 8)",679,322,18,13,"1,032"
"Fairfax County",-,"527 - Edsall (CD 8)",429,359,12,4,804
"Fairfax County",-,"528 - Ridgelea (CD 11)",214,200,11,4,429
"Fairfax County",-,"530 - Holmes #2 (CD 11)",380,145,10,2,537
"Fairfax County",-,"601 - Belle Haven (CD 8)",336,320,13,20,689
"Fairfax County",-,"602 - Belleview (CD 8)",257,268,19,7,551
"Fairfax County",-,"604 - Bucknell (CD 8)",779,317,25,10,"1,131"
"Fairfax County",-,"605 - Fort Hunt (CD 8)",363,395,17,19,794
"Fairfax County",-,"606 - Hollin Hall (CD 8)",344,364,13,18,739
"Fairfax County",-,"607 - Huntington (CD 8)",538,337,19,15,909
"Fairfax County",-,"608 - Kirkside (CD 8)",290,182,16,12,500
"Fairfax County",-,"609 - Marlan (CD 8)",203,258,16,6,483
"Fairfax County",-,"610 - Sherwood (CD 8)",367,188,5,6,566
"Fairfax County",-,"611 - Stratford (CD 8)",424,446,20,12,902
"Fairfax County",-,"612 - Waynewood (CD 8)",287,237,3,10,537
"Fairfax County",-,"613 - Westgate (CD 8)",391,716,22,17,"1,146"
"Fairfax County",-,"614 - Riverside (CD 8)",281,364,16,1,662
"Fairfax County",-,"615 - Woodley (CD 8)",476,396,14,13,899
"Fairfax County",-,"616 - Gunston (CD 8)",403,590,22,7,"1,022"
