county,precinct,office,district,party,candidate,votes
ALBEMARLE COUNTY,501 - KESWICK,Governor,,DEM,Terence Richard McAuliffe,355
ALBEMARLE COUNTY,502 - STONY POINT,Governor,,OTH,All Others,8
ALBEMARLE COUNTY,502 - STONY POINT,Governor,,REP,"Kenneth Thomas Cuccinelli, II",334
ALBEMARLE COUNTY,502 - STONY POINT,Governor,,LIB,Robert Christopher Sarvis,87
ALBEMARLE COUNTY,502 - STONY POINT,Governor,,DEM,Terence Richard McAuliffe,384
ALBEMARLE COUNTY,503 - HOLLYMEAD,Governor,,OTH,All Others,15
ALBEMARLE COUNTY,503 - HOLLYMEAD,Governor,,REP,"Kenneth Thomas Cuccinelli, II",469
ALBEMARLE COUNTY,503 - HOLLYMEAD,Governor,,LIB,Robert Christopher Sarvis,129
ALBEMARLE COUNTY,503 - HOLLYMEAD,Governor,,DEM,Terence Richard McAuliffe,595
ALBEMARLE COUNTY,504 - FREE BRIDGE,Governor,,OTH,All Others,23
ALBEMARLE COUNTY,504 - FREE BRIDGE,Governor,,REP,"Kenneth Thomas Cuccinelli, II",550
ALBEMARLE COUNTY,504 - FREE BRIDGE,Governor,,LIB,Robert Christopher Sarvis,146
ALBEMARLE COUNTY,504 - FREE BRIDGE,Governor,,DEM,Terence Richard McAuliffe,997
ALBEMARLE COUNTY,506 - BAKER-BUTLER,Governor,,OTH,All Others,13
ALBEMARLE COUNTY,506 - BAKER-BUTLER,Governor,,REP,"Kenneth Thomas Cuccinelli, II",649
ALBEMARLE COUNTY,506 - BAKER-BUTLER,Governor,,LIB,Robert Christopher Sarvis,160
ALBEMARLE COUNTY,506 - BAKER-BUTLER,Governor,,DEM,Terence Richard McAuliffe,731
ALBEMARLE COUNTY,601 - CROZET,Governor,,OTH,All Others,17
ALBEMARLE COUNTY,601 - CROZET,Governor,,REP,"Kenneth Thomas Cuccinelli, II",677
ALBEMARLE COUNTY,601 - CROZET,Governor,,LIB,Robert Christopher Sarvis,192
ALBEMARLE COUNTY,601 - CROZET,Governor,,DEM,Terence Richard McAuliffe,1057
ALBEMARLE COUNTY,602 - FREE UNION,Governor,,OTH,All Others,6
ALBEMARLE COUNTY,602 - FREE UNION,Governor,,REP,"Kenneth Thomas Cuccinelli, II",287
ALBEMARLE COUNTY,602 - FREE UNION,Governor,,LIB,Robert Christopher Sarvis,63
ALBEMARLE COUNTY,602 - FREE UNION,Governor,,DEM,Terence Richard McAuliffe,349
ALBEMARLE COUNTY,603 - EARLYSVILLE,Governor,,OTH,All Others,18
ALBEMARLE COUNTY,603 - EARLYSVILLE,Governor,,REP,"Kenneth Thomas Cuccinelli, II",717
ALBEMARLE COUNTY,603 - EARLYSVILLE,Governor,,LIB,Robert Christopher Sarvis,167
ALBEMARLE COUNTY,603 - EARLYSVILLE,Governor,,DEM,Terence Richard McAuliffe,752
ALBEMARLE COUNTY,604 - BROWNSVILLE,Governor,,OTH,All Others,17
ALBEMARLE COUNTY,604 - BROWNSVILLE,Governor,,REP,"Kenneth Thomas Cuccinelli, II",712
ALBEMARLE COUNTY,604 - BROWNSVILLE,Governor,,LIB,Robert Christopher Sarvis,206
ALBEMARLE COUNTY,604 - BROWNSVILLE,Governor,,DEM,Terence Richard McAuliffe,1009
ALBEMARLE COUNTY,AB - CENTRAL ABSENTEE PRECINCT,Governor,,OTH,All Others,34
ALBEMARLE COUNTY,AB - CENTRAL ABSENTEE PRECINCT,Governor,,REP,"Kenneth Thomas Cuccinelli, II",601
ALBEMARLE COUNTY,AB - CENTRAL ABSENTEE PRECINCT,Governor,,LIB,Robert Christopher Sarvis,96
ALBEMARLE COUNTY,AB - CENTRAL ABSENTEE PRECINCT,Governor,,DEM,Terence Richard McAuliffe,1243
ALBEMARLE COUNTY,PROVISIONAL,Governor,,REP,"Kenneth Thomas Cuccinelli, II",12
ALBEMARLE COUNTY,PROVISIONAL,Governor,,DEM,Terence Richard McAuliffe,20
ALEXANDRIA CITY,101 - LADREY SENIOR BUILDING,Governor,,OTH,All Others,8
ALEXANDRIA CITY,101 - LADREY SENIOR BUILDING,Governor,,REP,"Kenneth Thomas Cuccinelli, II",293
ALEXANDRIA CITY,101 - LADREY SENIOR BUILDING,Governor,,LIB,Robert Christopher Sarvis,49
ALEXANDRIA CITY,101 - LADREY SENIOR BUILDING,Governor,,DEM,Terence Richard McAuliffe,644
ALEXANDRIA CITY,102 - CITY HALL,Governor,,OTH,All Others,7
ALEXANDRIA CITY,102 - CITY HALL,Governor,,REP,"Kenneth Thomas Cuccinelli, II",402
ALEXANDRIA CITY,102 - CITY HALL,Governor,,LIB,Robert Christopher Sarvis,93
ALEXANDRIA CITY,102 - CITY HALL,Governor,,DEM,Terence Richard McAuliffe,761
ALEXANDRIA CITY,103 - LYLES CROUCH SCHOOL,Governor,,OTH,All Others,10
ALEXANDRIA CITY,103 - LYLES CROUCH SCHOOL,Governor,,REP,"Kenneth Thomas Cuccinelli, II",499
ALEXANDRIA CITY,103 - LYLES CROUCH SCHOOL,Governor,,LIB,Robert Christopher Sarvis,102
ALEXANDRIA CITY,103 - LYLES CROUCH SCHOOL,Governor,,DEM,Terence Richard McAuliffe,1159
ALEXANDRIA CITY,104 - DURANT CENTER,Governor,,OTH,All Others,8
ALEXANDRIA CITY,104 - DURANT CENTER,Governor,,REP,"Kenneth Thomas Cuccinelli, II",355
ALEXANDRIA CITY,104 - DURANT CENTER,Governor,,LIB,Robert Christopher Sarvis,92
ALEXANDRIA CITY,104 - DURANT CENTER,Governor,,DEM,Terence Richard McAuliffe,1216
ALEXANDRIA CITY,105 - LEE CENTER,Governor,,OTH,All Others,4
ALEXANDRIA CITY,105 - LEE CENTER,Governor,,REP,"Kenneth Thomas Cuccinelli, II",340
ALEXANDRIA CITY,105 - LEE CENTER,Governor,,LIB,Robert Christopher Sarvis,106
ALEXANDRIA CITY,105 - LEE CENTER,Governor,,DEM,Terence Richard McAuliffe,1038
ALEXANDRIA CITY,106 - CORA KELLY CENTER,Governor,,OTH,All Others,5
ALEXANDRIA CITY,106 - CORA KELLY CENTER,Governor,,REP,"Kenneth Thomas Cuccinelli, II",256
ALEXANDRIA CITY,106 - CORA KELLY CENTER,Governor,,LIB,Robert Christopher Sarvis,64
ALEXANDRIA CITY,106 - CORA KELLY CENTER,Governor,,DEM,Terence Richard McAuliffe,1213
ALEXANDRIA CITY,107 - MT VERNON RECREATION CENTER,Governor,,OTH,All Others,16
